"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","26.15","26.50","27.08","25.84","23.31M","-1.88%"
"May 14, 2020","26.65","25.00","26.80","24.75","36.08M","4.31%"
"May 13, 2020","25.55","26.65","26.85","25.23","26.18M","-2.89%"
"May 12, 2020","26.31","27.44","27.55","26.26","23.76M","-3.52%"
"May 11, 2020","27.27","26.90","28.13","26.80","17.16M","0.63%"
"May 08, 2020","27.10","27.10","27.71","26.80","17.47M","3.20%"
"May 07, 2020","26.26","27.44","27.45","26.07","26.28M","-2.70%"
"May 06, 2020","26.99","27.96","28.13","26.75","20.06M","-2.91%"
"May 05, 2020","27.80","28.02","28.55","27.56","15.70M","0.14%"
"May 04, 2020","27.76","27.37","27.76","26.99","16.48M","-2.60%"
"Apr 30, 2020","28.50","28.31","28.78","27.85","23.77M","-3.59%"
"Apr 29, 2020","29.56","30.04","30.21","28.73","24.44M","1.44%"
"Apr 28, 2020","29.14","27.22","29.25","27.11","42.99M","13.43%"
"Apr 27, 2020","25.69","25.50","26.20","25.11","32.00M","5.72%"
"Apr 24, 2020","24.30","27.63","27.70","24.00","73.31M","-13.37%"
"Apr 23, 2020","28.05","29.20","29.63","27.61","21.56M","-2.81%"
"Apr 22, 2020","28.86","28.89","29.15","28.63","20.10M","-0.45%"
"Apr 20, 2020","28.99","29.00","29.49","28.52","17.64M","-1.99%"
"Apr 17, 2020","29.58","29.55","30.06","29.03","18.57M","2.71%"
"Apr 16, 2020","28.80","30.10","30.38","28.80","20.60M","-2.87%"
"Apr 15, 2020","29.65","29.48","30.24","29.00","16.68M","-1.85%"
"Apr 14, 2020","30.21","30.94","31.65","30.00","17.66M","-0.10%"
"Apr 13, 2020","30.24","29.76","30.30","28.70","17.93M","1.99%"
"Apr 09, 2020","29.65","30.34","30.88","29.46","17.45M","-0.27%"
"Apr 08, 2020","29.73","29.30","30.55","28.58","19.79M","1.92%"
"Apr 07, 2020","29.17","29.45","30.50","29.17","21.42M","4.70%"
"Apr 06, 2020","27.86","27.15","28.30","26.74","21.34M","9.25%"
"Apr 03, 2020","25.50","26.85","26.89","25.00","18.81M","-5.63%"
"Apr 02, 2020","27.02","26.95","27.80","26.31","15.66M","1.16%"
"Apr 01, 2020","26.71","26.90","27.28","26.05","19.78M","-4.23%"
"Mar 31, 2020","27.89","29.20","29.50","27.43","18.64M","-3.79%"
"Mar 30, 2020","28.99","28.90","29.46","28.31","15.71M","2.66%"
"Mar 27, 2020","28.24","28.78","29.50","28.02","20.69M","-7.38%"
"Mar 26, 2020","30.49","29.34","31.67","29.28","25.52M","5.03%"
"Mar 25, 2020","29.03","25.93","30.57","25.73","24.90M","12.00%"
"Mar 24, 2020","25.92","24.20","26.48","23.80","25.62M","17.13%"
"Mar 23, 2020","22.13","25.00","25.00","21.91","26.59M","-10.04%"
"Mar 20, 2020","24.60","27.00","27.90","24.33","29.57M","-3.79%"
"Mar 19, 2020","25.57","25.50","27.69","23.34","41.43M","-3.91%"
"Mar 18, 2020","26.61","29.17","30.16","25.30","37.99M","-16.50%"
"Mar 17, 2020","31.87","31.40","33.29","30.05","26.84M","4.84%"
"Mar 16, 2020","30.40","30.50","32.80","29.55","31.12M","-16.69%"
"Mar 13, 2020","36.49","36.24","37.67","31.71","40.67M","16.77%"
"Mar 12, 2020","31.25","29.20","31.95","26.56","31.42M","-13.22%"
"Mar 11, 2020","36.01","38.41","38.63","34.06","24.69M","-8.63%"
"Mar 10, 2020","39.41","39.32","40.49","37.44","30.78M","5.26%"
"Mar 09, 2020","37.44","38.26","39.99","36.12","25.07M","-11.04%"
"Mar 06, 2020","42.09","41.59","42.51","41.03","19.03M","-1.88%"
"Mar 05, 2020","42.89","45.03","45.34","42.09","25.85M","-5.91%"
"Mar 04, 2020","45.59","46.22","46.46","44.77","19.23M","0.11%"
"Mar 03, 2020","45.54","46.48","47.12","44.88","21.55M","-2.93%"
"Mar 02, 2020","46.91","46.59","47.25","46.07","13.21M","0.62%"
"Feb 28, 2020","46.63","45.92","46.63","44.33","26.38M","2.34%"
"Feb 27, 2020","45.56","44.58","47.35","44.16","31.47M","1.24%"
"Feb 26, 2020","45.00","46.37","46.39","44.92","15.21M","-7.29%"
"Feb 21, 2020","48.54","48.14","48.54","47.66","6.44M","0.08%"
"Feb 20, 2020","48.50","49.31","49.36","48.01","12.05M","-1.03%"
"Feb 19, 2020","49.00","48.82","49.63","48.47","11.15M","0.24%"
"Feb 18, 2020","48.88","48.28","49.21","48.03","8.93M","0.96%"
"Feb 17, 2020","48.42","49.39","49.55","48.42","6.75M","-1.50%"
"Feb 14, 2020","49.16","50.18","50.26","48.88","10.02M","-1.91%"
"Feb 13, 2020","50.12","50.64","50.83","49.75","13.81M","-1.55%"
"Feb 12, 2020","50.91","51.15","51.64","49.97","16.62M","0.58%"
"Feb 11, 2020","50.61","49.23","50.94","48.99","18.10M","4.50%"
"Feb 10, 2020","48.43","49.02","49.30","48.20","7.79M","-0.99%"
"Feb 07, 2020","48.91","48.87","49.62","48.58","7.80M","0.10%"
"Feb 06, 2020","48.87","50.30","50.34","48.57","9.66M","-1.69%"
"Feb 05, 2020","49.70","48.52","50.58","48.42","23.69M","4.46%"
"Feb 04, 2020","47.58","48.61","48.91","47.58","11.77M","-1.09%"
"Feb 03, 2020","48.11","47.88","48.46","47.35","10.20M","0.49%"
"Jan 31, 2020","47.87","48.43","48.44","47.55","16.13M","-2.53%"
"Jan 30, 2020","49.11","48.03","49.30","47.70","12.54M","0.69%"
"Jan 29, 2020","48.78","50.30","50.67","48.68","8.40M","-2.47%"
"Jan 28, 2020","50.01","50.10","50.44","49.39","7.65M","0.82%"
"Jan 27, 2020","49.60","49.37","50.36","49.04","12.02M","-0.98%"
"Jan 24, 2020","50.10","50.69","50.77","50.10","9.15M","-1.32%"
"Jan 23, 2020","50.77","47.87","50.77","47.71","21.62M","5.62%"
"Jan 22, 2020","48.07","48.14","48.31","47.62","10.46M","0.79%"
"Jan 21, 2020","47.69","48.87","48.96","47.39","14.48M","-2.89%"
"Jan 20, 2020","49.11","49.31","49.65","48.59","8.50M","-0.64%"
"Jan 17, 2020","49.43","49.17","49.58","49.04","11.42M","1.35%"
"Jan 16, 2020","48.77","48.79","49.09","48.30","11.87M","0.45%"
"Jan 15, 2020","48.55","49.24","49.33","48.17","14.50M","-1.83%"
"Jan 14, 2020","49.46","49.59","49.79","49.06","8.77M","-0.54%"
"Jan 13, 2020","49.72","49.29","49.80","48.92","14.18M","1.12%"
"Jan 10, 2020","49.17","50.45","50.73","48.88","15.35M","-2.35%"
"Jan 09, 2020","50.35","51.48","51.61","50.03","24.74M","-2.03%"
"Jan 08, 2020","51.40","52.03","52.26","51.32","21.47M","-0.91%"
"Jan 07, 2020","51.87","52.27","52.30","51.57","10.64M","-0.75%"
"Jan 06, 2020","52.27","52.66","52.66","51.73","10.00M","-1.32%"
"Jan 03, 2020","52.97","52.37","53.16","52.12","9.47M","-0.17%"
"Jan 02, 2020","53.06","52.61","53.22","52.44","13.16M","1.86%"
"Dec 30, 2019","52.09","52.37","52.60","52.09","7.84M","-0.28%"
