"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","16.55","16.46","16.58","16.05","2.53M","4.68%"
"May 15, 2020","15.81","16.23","16.59","15.75","5.09M","-3.48%"
"May 14, 2020","16.38","15.52","16.45","15.02","6.46M","4.33%"
"May 13, 2020","15.70","16.00","16.29","15.42","6.29M","-0.76%"
"May 12, 2020","15.82","16.50","16.63","15.82","5.31M","-3.18%"
"May 11, 2020","16.34","16.51","17.15","16.32","5.03M","-1.74%"
"May 08, 2020","16.63","16.40","16.82","16.24","4.53M","4.46%"
"May 07, 2020","15.92","16.52","16.67","15.79","10.86M","-3.28%"
"May 06, 2020","16.46","16.82","17.02","16.23","5.02M","-2.31%"
"May 05, 2020","16.85","16.97","17.56","16.77","5.41M","-0.13%"
"May 04, 2020","16.87","16.94","17.03","16.46","5.95M","-3.82%"
"Apr 30, 2020","17.54","17.44","18.00","17.34","7.24M","-6.45%"
"Apr 29, 2020","18.75","18.45","18.75","17.99","4.67M","3.87%"
"Apr 28, 2020","18.05","17.33","18.15","17.28","6.86M","9.85%"
"Apr 27, 2020","16.43","16.71","17.31","16.31","6.45M","3.26%"
"Apr 24, 2020","15.91","17.48","17.73","15.53","14.74M","-10.96%"
"Apr 23, 2020","17.87","18.49","18.63","17.66","6.46M","-2.88%"
"Apr 22, 2020","18.40","18.37","18.82","18.09","4.97M","0.00%"
"Apr 20, 2020","18.40","18.41","18.78","18.22","3.86M","-2.38%"
"Apr 17, 2020","18.85","19.13","19.28","18.45","3.65M","1.29%"
"Apr 16, 2020","18.61","19.18","19.42","18.50","5.46M","-1.95%"
"Apr 15, 2020","18.98","19.53","19.61","18.98","6.02M","-3.94%"
"Apr 14, 2020","19.76","19.98","20.36","19.65","6.12M","2.44%"
"Apr 13, 2020","19.29","18.91","19.29","18.33","4.52M","2.71%"
"Apr 09, 2020","18.78","19.18","19.72","18.78","5.18M","-1.10%"
"Apr 08, 2020","18.99","18.62","19.36","18.50","5.12M","1.80%"
"Apr 07, 2020","18.65","19.34","19.40","18.44","8.68M","5.55%"
"Apr 06, 2020","17.67","16.80","18.03","16.78","6.56M","10.13%"
