"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","43.25","43.18","43.34","43.07","615.80K","-0.07%"
"Oct 28, 2019","43.28","43.11","43.41","43.09","1.91M","1.86%"
"Oct 25, 2019","42.49","42.09","42.63","42.04","643.18K","0.81%"
"Oct 24, 2019","42.15","42.59","42.64","42.03","885.55K","-0.66%"
"Oct 23, 2019","42.43","42.33","42.45","42.19","959.09K","1.29%"
"Oct 22, 2019","41.89","41.65","42.09","41.63","814.36K","0.41%"
"Oct 21, 2019","41.72","41.89","41.90","41.56","1.38M","1.71%"
"Oct 18, 2019","41.02","41.48","41.62","41.02","1.10M","-0.27%"
"Oct 17, 2019","41.13","41.68","41.71","41.13","862.06K","-1.06%"
"Oct 16, 2019","41.57","41.87","41.99","41.48","1.56M","-1.09%"
"Oct 15, 2019","42.03","41.58","42.29","41.41","2.07M","-0.14%"
"Oct 14, 2019","42.09","42.37","42.50","42.08","1.33M","-2.52%"
"Oct 11, 2019","43.18","43.04","43.63","43.01","2.17M","2.71%"
"Oct 10, 2019","42.04","41.62","42.12","41.44","4.13M","2.49%"
"Oct 09, 2019","41.02","41.02","41.13","40.66","1.36M","0.10%"
"Oct 08, 2019","40.98","41.20","41.24","40.92","1.38M","-0.73%"
"Oct 07, 2019","41.28","41.46","41.80","41.28","1.09M","-1.27%"
"Oct 04, 2019","41.81","41.16","41.81","41.15","1.47M","1.01%"
"Oct 03, 2019","41.39","40.58","41.54","40.57","1.30M","0.34%"
"Oct 02, 2019","41.25","41.49","41.58","40.96","1.44M","-2.92%"
"Oct 01, 2019","42.49","42.94","43.00","42.42","1.12M","-0.82%"
"Sep 30, 2019","42.84","42.62","42.96","42.60","1.46M","-0.56%"
"Sep 27, 2019","43.08","43.10","43.32","42.93","787.90K","0.30%"
"Sep 26, 2019","42.95","43.24","43.24","42.90","717.67K","-0.23%"
"Sep 25, 2019","43.05","42.43","43.16","42.41","1.59M","0.89%"
"Sep 24, 2019","42.67","42.97","43.14","42.48","1.84M","-3.26%"
"Sep 23, 2019","44.11","43.53","44.11","43.50","1.38M","-0.68%"
"Sep 20, 2019","44.41","44.64","44.82","44.39","1.26M","-0.96%"
"Sep 19, 2019","44.84","44.83","45.03","44.73","697.00K","0.58%"
"Sep 18, 2019","44.58","44.73","44.91","44.22","938.29K","-1.04%"
"Sep 17, 2019","45.05","44.90","45.12","44.68","828.54K","-0.73%"
"Sep 16, 2019","45.38","45.58","45.76","45.23","1.42M","-0.40%"
"Sep 13, 2019","45.56","45.88","45.88","45.48","1.69M","2.38%"
"Sep 12, 2019","44.50","44.25","44.80","44.10","1.17M","1.02%"
"Sep 11, 2019","44.05","43.96","44.12","43.76","1.24M","-0.05%"
"Sep 10, 2019","44.07","43.47","44.11","43.38","1.05M","1.01%"
"Sep 09, 2019","43.63","43.18","43.63","43.18","1.38M","1.16%"
"Sep 06, 2019","43.13","43.45","43.48","43.12","1.04M","-0.37%"
"Sep 05, 2019","43.29","42.85","43.38","42.81","1.61M","-2.30%"
"Sep 04, 2019","44.31","43.84","44.37","43.75","1.93M","3.70%"
"Sep 03, 2019","42.73","42.29","42.77","42.22","1.34M","-1.07%"
"Aug 30, 2019","43.19","42.89","43.27","42.80","3.26M","3.10%"
"Aug 29, 2019","41.89","42.29","42.35","41.86","1.01M","0.58%"
"Aug 28, 2019","41.65","41.22","41.91","41.13","966.03K","1.49%"
"Aug 27, 2019","41.04","41.28","41.33","40.92","969.36K","-0.24%"
"Aug 26, 2019","41.14","41.04","41.32","40.94","691.26K","0.73%"
"Aug 23, 2019","40.84","41.40","41.84","40.77","1.36M","-1.21%"
"Aug 22, 2019","41.34","41.69","41.74","41.27","1.69M","-0.46%"
"Aug 21, 2019","41.53","41.70","41.79","41.34","2.69M","-1.05%"
"Aug 20, 2019","41.97","42.09","42.25","41.86","1.19M","-2.30%"
"Aug 19, 2019","42.96","43.21","43.22","42.93","705.10K","0.73%"
"Aug 16, 2019","42.65","42.75","42.91","42.51","1.24M","-0.70%"
"Aug 15, 2019","42.95","42.91","43.01","42.54","993.35K","0.59%"
"Aug 14, 2019","42.70","42.89","43.11","42.70","1.25M","-3.00%"
"Aug 13, 2019","44.02","43.13","44.15","42.99","1.30M","2.11%"
"Aug 12, 2019","43.11","43.67","43.69","43.03","1.18M","-0.76%"
"Aug 09, 2019","43.44","43.76","43.88","43.28","1.41M","-2.05%"
"Aug 08, 2019","44.35","43.67","44.56","43.59","1.65M","2.66%"
"Aug 07, 2019","43.20","42.46","43.27","42.40","1.18M","-0.53%"
"Aug 06, 2019","43.43","43.91","43.93","43.16","1.20M","-0.32%"
"Aug 05, 2019","43.57","43.73","43.96","43.31","1.61M","-3.01%"
"Aug 02, 2019","44.92","45.26","45.45","44.76","1.27M","-2.01%"
"Aug 01, 2019","45.84","46.52","47.13","45.64","1.67M","-3.98%"
"Jul 31, 2019","47.74","48.46","48.66","47.26","1.00M","-2.15%"
"Jul 30, 2019","48.79","48.66","48.92","48.42","614.09K","-0.51%"
"Jul 29, 2019","49.04","48.93","49.05","48.68","872.18K","0.97%"
"Jul 26, 2019","48.57","48.64","48.65","48.38","1.29M","-0.27%"
"Jul 25, 2019","48.70","48.72","49.06","48.44","1.23M","-0.45%"
"Jul 24, 2019","48.92","48.75","49.13","48.75","1.25M","-4.08%"
"Jul 23, 2019","51.00","51.22","51.24","50.70","1.10M","0.37%"
"Jul 22, 2019","50.81","51.02","51.08","50.63","528.48K","0.04%"
"Jul 19, 2019","50.79","50.79","51.01","50.64","813.14K","1.16%"
"Jul 18, 2019","50.21","50.05","50.30","49.77","938.19K","-0.42%"
"Jul 17, 2019","50.42","50.51","50.74","50.37","772.68K","0.56%"
"Jul 16, 2019","50.14","50.07","50.52","50.04","793.71K","-0.54%"
"Jul 15, 2019","50.41","50.35","50.47","50.15","508.53K","0.94%"
"Jul 12, 2019","49.94","49.91","50.11","49.73","612.62K","0.08%"
"Jul 11, 2019","49.90","49.66","49.93","49.48","991.01K","-0.52%"
"Jul 10, 2019","50.16","50.26","50.28","49.88","937.91K","1.33%"
"Jul 09, 2019","49.50","49.26","49.54","49.22","1.51M","-0.68%"
"Jul 08, 2019","49.84","49.80","50.09","49.58","1.19M","0.95%"
"Jul 05, 2019","49.37","48.96","49.43","48.69","1.34M","-4.51%"
"Jul 03, 2019","51.70","51.65","51.77","51.37","463.66K","-0.21%"
"Jul 02, 2019","51.81","51.60","51.87","51.41","803.32K","0.84%"
"Jul 01, 2019","51.38","51.83","51.84","51.15","1.17M","0.53%"
"Jun 28, 2019","51.11","51.31","51.32","50.95","697.14K","0.12%"
"Jun 27, 2019","51.05","51.24","51.25","50.80","868.63K","0.49%"
"Jun 26, 2019","50.80","50.53","51.02","50.45","798.67K","1.15%"
"Jun 25, 2019","50.22","50.79","50.85","50.18","907.50K","-0.28%"
"Jun 24, 2019","50.36","50.18","50.41","49.97","817.07K","1.31%"
"Jun 21, 2019","49.71","50.08","50.15","49.69","709.61K","-0.88%"
