"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","23.27","22.59","23.32","22.59","-","3.01%"
"May 15, 2020","22.59","23.30","23.51","22.38","6.43M","-4.72%"
"May 14, 2020","23.71","23.25","23.71","22.80","6.20M","2.60%"
"May 13, 2020","23.11","22.95","23.13","22.64","4.98M","1.14%"
"May 12, 2020","22.85","23.83","24.04","22.85","3.62M","-2.97%"
"May 11, 2020","23.55","23.37","24.00","23.18","6.82M","1.20%"
"May 08, 2020","23.27","24.15","24.36","23.11","4.31M","-0.94%"
"May 07, 2020","23.49","24.34","24.46","23.17","16.97M","-4.20%"
"May 06, 2020","24.52","24.91","25.07","24.15","15.78M","-1.53%"
"May 05, 2020","24.90","25.71","25.91","24.90","4.05M","-1.58%"
"May 04, 2020","25.30","25.44","25.62","24.83","5.01M","-4.71%"
"Apr 30, 2020","26.55","25.33","26.66","25.33","5.85M","2.12%"
"Apr 29, 2020","26.00","25.69","26.09","25.20","3.99M","2.93%"
"Apr 28, 2020","25.26","26.45","26.45","25.13","5.55M","-0.16%"
"Apr 27, 2020","25.30","24.75","26.17","24.75","4.42M","3.69%"
"Apr 24, 2020","24.40","25.58","25.95","23.56","7.91M","-6.80%"
"Apr 23, 2020","26.18","26.90","27.35","25.76","3.76M","-2.86%"
"Apr 22, 2020","26.95","26.18","26.95","26.04","3.28M","2.67%"
"Apr 20, 2020","26.25","25.63","26.91","25.40","3.48M","1.27%"
"Apr 17, 2020","25.92","26.39","26.57","25.33","4.40M","0.47%"
"Apr 16, 2020","25.80","26.60","26.98","25.73","3.27M","-1.56%"
"Apr 15, 2020","26.21","25.85","27.06","25.53","4.93M","0.27%"
"Apr 14, 2020","26.14","26.40","27.02","25.60","4.07M","0.19%"
"Apr 13, 2020","26.09","25.82","26.40","25.20","2.92M","1.20%"
"Apr 09, 2020","25.78","25.79","26.28","25.41","3.43M","1.06%"
"Apr 08, 2020","25.51","25.12","25.82","24.60","3.82M","2.12%"
"Apr 07, 2020","24.98","25.30","26.05","24.77","4.87M","5.71%"
"Apr 06, 2020","23.63","24.51","25.01","23.58","3.47M","1.46%"
"Apr 03, 2020","23.29","23.53","23.82","22.13","5.18M","-0.81%"
"Apr 02, 2020","23.48","24.04","24.83","23.48","4.92M","-2.41%"
"Apr 01, 2020","24.06","24.13","24.64","23.48","6.11M","-3.18%"
"Mar 31, 2020","24.85","24.78","25.38","24.01","5.56M","0.24%"
"Mar 30, 2020","24.79","24.44","25.55","24.03","5.63M","1.18%"
"Mar 27, 2020","24.50","25.34","25.67","24.31","6.19M","-7.72%"
"Mar 26, 2020","26.55","26.54","27.44","25.97","5.43M","0.04%"
"Mar 25, 2020","26.54","24.23","28.60","24.23","5.46M","7.41%"
"Mar 24, 2020","24.71","23.61","25.95","23.56","6.91M","10.31%"
"Mar 23, 2020","22.40","24.10","24.10","22.04","8.65M","-8.53%"
"Mar 20, 2020","24.49","25.50","25.75","22.90","10.43M","0.08%"
"Mar 19, 2020","24.47","25.93","26.68","24.31","13.65M","-8.86%"
"Mar 18, 2020","26.85","24.40","27.20","24.40","13.15M","0.67%"
"Mar 17, 2020","26.67","24.31","27.61","24.14","12.41M","10.76%"
"Mar 16, 2020","24.08","23.55","25.47","23.55","9.81M","-9.51%"
"Mar 13, 2020","26.61","27.50","28.06","24.53","10.99M","5.55%"
"Mar 12, 2020","25.21","26.00","26.85","23.93","6.78M","-9.25%"
"Mar 11, 2020","27.78","28.49","28.62","26.44","6.28M","-4.21%"
"Mar 10, 2020","29.00","29.00","29.57","28.03","9.83M","2.15%"
"Mar 09, 2020","28.39","29.00","29.49","28.39","7.98M","-6.86%"
"Mar 06, 2020","30.48","29.53","30.82","28.33","8.30M","0.13%"
"Mar 05, 2020","30.44","31.00","31.25","30.41","7.05M","-1.93%"
"Mar 04, 2020","31.04","31.19","31.48","30.63","4.75M","1.34%"
"Mar 03, 2020","30.63","31.57","31.92","30.60","6.88M","-3.07%"
"Mar 02, 2020","31.60","31.85","32.04","31.30","5.09M","-0.78%"
"Feb 28, 2020","31.85","31.60","31.85","30.69","7.32M","1.21%"
"Feb 27, 2020","31.47","31.55","32.43","31.37","7.30M","-0.82%"
"Feb 26, 2020","31.73","31.80","32.25","31.20","7.68M","-3.85%"
"Feb 21, 2020","33.00","33.30","33.32","32.53","3.96M","-1.32%"
"Feb 20, 2020","33.44","34.07","34.12","33.38","4.62M","-1.59%"
"Feb 19, 2020","33.98","33.41","34.08","33.25","3.03M","1.95%"
"Feb 18, 2020","33.33","33.60","33.60","32.91","3.45M","-1.19%"
"Feb 17, 2020","33.73","34.67","34.67","33.53","4.57M","-2.18%"
"Feb 14, 2020","34.48","35.00","35.22","34.48","4.11M","-2.43%"
"Feb 13, 2020","35.34","35.26","35.60","34.83","6.43M","0.23%"
"Feb 12, 2020","35.26","35.30","35.87","34.89","11.96M","0.77%"
"Feb 11, 2020","34.99","34.50","35.47","34.45","5.17M","2.94%"
