"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","5.41","5.42","5.44","5.40","3.53M","-0.18%"
"Oct 25, 2019","5.42","5.39","5.43","5.38","4.26M","-0.18%"
"Oct 24, 2019","5.43","5.48","5.50","5.40","2.75M","-0.91%"
"Oct 23, 2019","5.48","5.46","5.49","5.45","2.30M","1.29%"
"Oct 22, 2019","5.41","5.41","5.48","5.38","5.45M","-1.10%"
"Oct 21, 2019","5.47","5.48","5.49","5.44","2.84M","1.67%"
"Oct 18, 2019","5.38","5.31","5.38","5.31","3.25M","1.51%"
"Oct 17, 2019","5.30","5.31","5.34","5.24","4.51M","-0.19%"
"Oct 16, 2019","5.31","5.31","5.35","5.30","4.05M","1.14%"
"Oct 15, 2019","5.25","5.11","5.28","5.09","4.75M","2.54%"
"Oct 14, 2019","5.12","5.07","5.13","5.05","2.97M","-1.16%"
"Oct 11, 2019","5.18","5.15","5.22","5.15","5.87M","1.57%"
"Oct 10, 2019","5.10","5.06","5.12","5.04","3.31M","2.41%"
"Oct 09, 2019","4.98","4.97","5.01","4.94","2.84M","0.61%"
"Oct 08, 2019","4.95","4.96","4.98","4.93","3.34M","-1.79%"
"Oct 07, 2019","5.04","5.00","5.08","5.00","3.63M","0.20%"
"Oct 04, 2019","5.03","4.95","5.03","4.93","2.92M","0.80%"
"Oct 03, 2019","4.99","4.95","5.00","4.91","4.20M","0.20%"
"Oct 02, 2019","4.98","5.02","5.05","4.95","3.28M","-2.92%"
"Oct 01, 2019","5.13","5.21","5.22","5.11","2.86M","-1.35%"
"Sep 30, 2019","5.20","5.19","5.23","5.17","2.11M","0.39%"
"Sep 27, 2019","5.18","5.16","5.20","5.15","2.41M","0.97%"
"Sep 26, 2019","5.13","5.13","5.15","5.11","5.53M","0.20%"
"Sep 25, 2019","5.12","5.05","5.14","5.04","2.46M","0.39%"
"Sep 24, 2019","5.10","5.15","5.16","5.07","2.97M","-0.97%"
"Sep 23, 2019","5.15","5.17","5.18","5.12","3.17M","-3.56%"
"Sep 20, 2019","5.34","5.29","5.36","5.27","7.09M","1.91%"
"Sep 19, 2019","5.24","5.23","5.27","5.21","2.10M","0.77%"
"Sep 18, 2019","5.20","5.20","5.23","5.17","1.96M","0.00%"
"Sep 17, 2019","5.20","5.15","5.21","5.13","2.47M","-1.14%"
"Sep 16, 2019","5.26","5.26","5.29","5.25","1.86M","-1.68%"
"Sep 13, 2019","5.35","5.31","5.38","5.29","5.65M","1.90%"
"Sep 12, 2019","5.25","5.14","5.26","5.12","5.35M","1.74%"
"Sep 11, 2019","5.16","5.17","5.19","5.12","2.87M","-1.53%"
"Sep 10, 2019","5.24","5.17","5.24","5.15","5.03M","3.15%"
"Sep 09, 2019","5.08","5.06","5.08","5.04","3.32M","2.63%"
"Sep 06, 2019","4.95","4.97","4.98","4.94","2.20M","0.00%"
"Sep 05, 2019","4.95","4.93","4.98","4.92","4.09M","3.77%"
"Sep 04, 2019","4.77","4.79","4.81","4.75","4.81M","1.49%"
"Sep 03, 2019","4.70","4.69","4.72","4.67","2.58M","-1.05%"
"Aug 30, 2019","4.75","4.79","4.79","4.72","1.86M","-0.21%"
"Aug 29, 2019","4.76","4.75","4.79","4.75","1.98M","1.06%"
"Aug 28, 2019","4.71","4.70","4.75","4.69","3.47M","0.00%"
"Aug 27, 2019","4.71","4.76","4.78","4.71","2.66M","-1.05%"
"Aug 26, 2019","4.76","4.76","4.78","4.73","3.07M","1.71%"
"Aug 23, 2019","4.68","4.75","4.80","4.67","3.40M","-2.30%"
"Aug 22, 2019","4.79","4.82","4.84","4.76","2.66M","2.35%"
"Aug 21, 2019","4.68","4.69","4.71","4.68","2.83M","1.30%"
"Aug 20, 2019","4.62","4.67","4.70","4.62","4.29M","-1.91%"
"Aug 19, 2019","4.71","4.80","4.81","4.70","2.94M","-2.28%"
"Aug 16, 2019","4.82","4.74","4.84","4.74","4.15M","2.77%"
"Aug 15, 2019","4.69","4.73","4.78","4.65","4.10M","-0.42%"
"Aug 14, 2019","4.71","4.75","4.77","4.69","10.58M","-2.89%"
"Aug 13, 2019","4.85","4.79","4.90","4.79","21.16M","1.89%"
"Aug 12, 2019","4.76","4.81","4.83","4.75","3.10M","-3.84%"
"Aug 09, 2019","4.95","4.95","4.99","4.91","2.93M","-0.60%"
"Aug 08, 2019","4.98","4.98","5.04","4.95","2.68M","0.81%"
"Aug 07, 2019","4.94","4.88","4.95","4.87","4.71M","0.00%"
"Aug 06, 2019","4.94","4.95","4.98","4.89","5.51M","0.00%"
"Aug 05, 2019","4.94","4.94","4.97","4.89","4.21M","-1.59%"
"Aug 02, 2019","5.02","5.02","5.04","4.96","5.57M","0.80%"
"Aug 01, 2019","4.98","5.08","5.11","4.96","5.03M","-2.54%"
"Jul 31, 2019","5.11","5.08","5.13","5.07","4.04M","-1.35%"
"Jul 30, 2019","5.18","5.16","5.20","5.13","3.19M","-2.45%"
"Jul 29, 2019","5.31","5.33","5.34","5.31","1.63M","-1.12%"
"Jul 26, 2019","5.37","5.38","5.39","5.33","2.42M","-0.37%"
"Jul 25, 2019","5.39","5.50","5.51","5.39","2.63M","-0.37%"
"Jul 24, 2019","5.41","5.41","5.45","5.41","1.99M","0.00%"
"Jul 23, 2019","5.41","5.40","5.45","5.40","1.82M","2.27%"
"Jul 22, 2019","5.29","5.31","5.32","5.26","1.96M","-1.12%"
"Jul 19, 2019","5.35","5.36","5.37","5.32","1.95M","-1.47%"
"Jul 18, 2019","5.43","5.44","5.46","5.41","3.13M","-0.73%"
"Jul 17, 2019","5.47","5.50","5.52","5.47","3.21M","-1.08%"
"Jul 16, 2019","5.53","5.58","5.61","5.52","4.79M","-0.54%"
