"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","5.22","5.16","5.22","5.09","3.55M","0.97%"
"Oct 24, 2019","5.17","5.21","5.28","5.13","4.01M","-0.77%"
"Oct 23, 2019","5.21","5.12","5.26","5.12","4.29M","1.17%"
"Oct 22, 2019","5.15","5.23","5.24","5.13","2.96M","-1.15%"
"Oct 21, 2019","5.21","5.13","5.25","5.10","3.65M","2.56%"
"Oct 18, 2019","5.08","5.21","5.22","5.01","2.75M","-2.50%"
"Oct 17, 2019","5.21","5.16","5.23","5.11","3.48M","1.96%"
"Oct 16, 2019","5.11","5.23","5.25","5.08","5.91M","-2.48%"
"Oct 15, 2019","5.24","5.21","5.34","5.21","4.49M","0.38%"
"Oct 14, 2019","5.22","5.28","5.30","5.17","3.78M","-1.88%"
"Oct 11, 2019","5.32","5.14","5.34","5.14","7.21M","5.14%"
"Oct 10, 2019","5.06","4.95","5.15","4.95","6.08M","1.81%"
"Oct 09, 2019","4.97","4.95","5.01","4.86","6.78M","1.64%"
"Oct 08, 2019","4.89","5.08","5.08","4.88","7.71M","-4.12%"
"Oct 07, 2019","5.10","5.17","5.29","5.08","6.86M","-1.16%"
"Oct 04, 2019","5.16","5.12","5.19","5.07","4.88M","1.18%"
"Oct 03, 2019","5.10","5.03","5.17","4.92","7.57M","1.59%"
"Oct 02, 2019","5.02","5.08","5.08","4.95","8.89M","-2.52%"
"Oct 01, 2019","5.15","5.27","5.39","5.08","7.89M","-1.90%"
"Sep 30, 2019","5.25","5.26","5.36","5.10","10.58M","-0.19%"
"Sep 27, 2019","5.26","5.43","5.46","5.24","9.83M","-3.49%"
"Sep 26, 2019","5.45","5.62","5.62","5.38","14.74M","-2.15%"
"Sep 25, 2019","5.57","5.81","5.83","5.40","22.07M","-4.13%"
"Sep 24, 2019","5.81","6.31","6.37","5.73","37.91M","-22.64%"
"Sep 23, 2019","7.51","7.48","7.53","7.40","7.01M","-0.40%"
"Sep 20, 2019","7.54","7.55","7.64","7.50","3.48M","-0.40%"
"Sep 19, 2019","7.57","7.55","7.58","7.48","3.04M","0.66%"
"Sep 18, 2019","7.52","7.60","7.63","7.45","3.28M","-1.05%"
"Sep 17, 2019","7.60","7.61","7.70","7.45","4.52M","0.13%"
"Sep 16, 2019","7.59","7.46","7.76","7.46","6.18M","1.61%"
"Sep 13, 2019","7.47","7.41","7.52","7.36","3.83M","0.81%"
"Sep 12, 2019","7.41","7.52","7.53","7.33","4.17M","-1.33%"
"Sep 11, 2019","7.51","7.20","7.53","7.16","5.61M","5.03%"
"Sep 10, 2019","7.15","6.93","7.16","6.89","3.72M","2.44%"
"Sep 09, 2019","6.98","7.17","7.20","6.90","5.90M","-2.92%"
"Sep 06, 2019","7.19","7.31","7.34","7.17","2.44M","-1.24%"
"Sep 05, 2019","7.28","7.00","7.30","6.99","3.91M","5.35%"
"Sep 04, 2019","6.91","6.82","6.95","6.80","3.32M","2.22%"
"Sep 03, 2019","6.76","6.79","6.87","6.66","3.74M","-1.60%"
"Aug 30, 2019","6.87","7.00","7.01","6.85","2.53M","-1.29%"
"Aug 29, 2019","6.96","6.88","6.98","6.87","2.36M","2.20%"
"Aug 28, 2019","6.81","6.70","6.83","6.64","2.14M","1.19%"
"Aug 27, 2019","6.73","6.87","6.90","6.70","3.22M","-1.90%"
"Aug 26, 2019","6.86","7.01","7.06","6.81","2.39M","-1.72%"
"Aug 23, 2019","6.98","7.21","7.32","6.93","4.40M","-0.85%"
"Aug 22, 2019","7.04","7.11","7.12","6.96","3.98M","-0.71%"
"Aug 21, 2019","7.09","6.95","7.21","6.92","3.68M","2.90%"
"Aug 20, 2019","6.89","6.91","6.94","6.81","2.06M","-1.01%"
"Aug 19, 2019","6.96","6.93","6.99","6.85","2.36M","1.61%"
"Aug 16, 2019","6.85","6.75","6.93","6.73","2.10M","2.54%"
"Aug 15, 2019","6.68","6.79","6.80","6.64","2.56M","-1.04%"
"Aug 14, 2019","6.75","6.85","6.86","6.75","2.73M","-3.57%"
"Aug 13, 2019","7.00","6.80","7.03","6.75","3.08M","2.34%"
"Aug 12, 2019","6.84","6.97","6.97","6.82","1.96M","-1.72%"
"Aug 09, 2019","6.96","7.01","7.06","6.93","2.39M","-1.42%"
"Aug 08, 2019","7.06","6.89","7.07","6.84","2.79M","3.37%"
"Aug 07, 2019","6.83","6.72","6.86","6.64","3.74M","0.74%"
"Aug 06, 2019","6.78","6.93","7.08","6.73","3.94M","-1.02%"
"Aug 05, 2019","6.85","7.00","7.00","6.76","4.19M","-4.06%"
"Aug 02, 2019","7.14","7.22","7.23","7.06","3.86M","-1.79%"
"Aug 01, 2019","7.27","7.32","7.36","7.20","3.38M","-0.41%"
"Jul 31, 2019","7.30","7.44","7.45","7.20","2.87M","-1.75%"
"Jul 30, 2019","7.43","7.28","7.44","7.25","2.99M","1.23%"
"Jul 29, 2019","7.34","7.39","7.40","7.23","2.32M","-0.41%"
"Jul 26, 2019","7.37","7.23","7.39","7.23","3.08M","2.08%"
"Jul 25, 2019","7.22","7.30","7.33","7.19","2.87M","-1.10%"
"Jul 24, 2019","7.30","7.22","7.31","7.17","2.09M","0.97%"
"Jul 23, 2019","7.23","7.13","7.23","7.11","4.43M","1.54%"
"Jul 22, 2019","7.12","7.10","7.15","7.01","4.79M","0.56%"
"Jul 19, 2019","7.08","7.08","7.13","7.02","4.84M","0.71%"
"Jul 18, 2019","7.03","7.09","7.11","6.89","5.05M","-0.99%"
"Jul 17, 2019","7.10","7.16","7.18","7.08","4.34M","-0.56%"
"Jul 16, 2019","7.14","7.17","7.24","7.13","4.42M","-0.70%"
