"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","8.79","8.65","8.80","8.64","1.61M","0.92%"
"Oct 28, 2019","8.71","8.72","8.77","8.70","2.49M","0.23%"
"Oct 25, 2019","8.69","8.55","8.72","8.54","2.88M","2.60%"
"Oct 24, 2019","8.47","8.55","8.56","8.44","3.62M","-0.70%"
"Oct 23, 2019","8.53","8.47","8.54","8.45","2.90M","1.31%"
"Oct 22, 2019","8.42","8.50","8.59","8.41","7.35M","-1.17%"
"Oct 21, 2019","8.52","8.60","8.62","8.48","2.90M","0.47%"
"Oct 18, 2019","8.48","8.46","8.50","8.42","4.62M","1.19%"
"Oct 17, 2019","8.38","8.50","8.51","8.35","5.38M","0.36%"
"Oct 16, 2019","8.35","8.41","8.47","8.34","4.15M","0.00%"
"Oct 15, 2019","8.35","8.04","8.52","8.02","11.56M","5.83%"
"Oct 14, 2019","7.89","7.87","7.97","7.86","3.91M","-1.50%"
"Oct 11, 2019","8.01","7.98","8.10","7.96","10.30M","8.10%"
"Oct 10, 2019","7.41","7.16","7.43","7.14","7.06M","5.56%"
"Oct 09, 2019","7.02","7.06","7.08","7.01","3.44M","0.29%"
"Oct 08, 2019","7.00","6.97","7.05","6.95","2.87M","-0.85%"
"Oct 07, 2019","7.06","7.01","7.10","7.00","2.62M","-0.70%"
"Oct 04, 2019","7.11","6.97","7.11","6.94","2.42M","1.14%"
"Oct 03, 2019","7.03","6.97","7.04","6.90","3.43M","-0.28%"
"Oct 02, 2019","7.05","7.12","7.13","7.03","2.39M","-2.89%"
"Oct 01, 2019","7.26","7.35","7.36","7.24","4.83M","-1.09%"
"Sep 30, 2019","7.34","7.39","7.41","7.33","1.90M","-0.41%"
"Sep 27, 2019","7.37","7.34","7.40","7.32","2.14M","0.82%"
"Sep 26, 2019","7.31","7.32","7.36","7.30","2.65M","0.69%"
"Sep 25, 2019","7.26","7.18","7.32","7.16","3.12M","0.14%"
"Sep 24, 2019","7.25","7.33","7.34","7.23","2.61M","-2.03%"
"Sep 23, 2019","7.40","7.37","7.42","7.33","2.21M","-1.33%"
"Sep 20, 2019","7.50","7.52","7.58","7.46","4.18M","0.81%"
"Sep 19, 2019","7.44","7.45","7.52","7.42","3.18M","1.09%"
"Sep 18, 2019","7.36","7.38","7.42","7.31","4.49M","-1.60%"
"Sep 17, 2019","7.48","7.46","7.49","7.41","2.62M","-1.71%"
"Sep 16, 2019","7.61","7.60","7.64","7.58","2.97M","-2.06%"
"Sep 13, 2019","7.77","7.72","7.79","7.70","6.10M","5.57%"
"Sep 12, 2019","7.36","7.26","7.41","7.22","3.55M","0.00%"
"Sep 11, 2019","7.36","7.34","7.36","7.26","3.14M","0.68%"
"Sep 10, 2019","7.31","7.34","7.35","7.25","5.42M","5.03%"
"Sep 09, 2019","6.96","6.85","6.97","6.84","5.79M","1.31%"
"Sep 06, 2019","6.87","6.87","6.89","6.85","2.28M","0.44%"
"Sep 05, 2019","6.84","6.81","6.87","6.81","3.04M","2.24%"
"Sep 04, 2019","6.69","6.68","6.69","6.63","2.75M","1.06%"
"Sep 03, 2019","6.62","6.57","6.63","6.55","3.30M","-0.30%"
"Aug 30, 2019","6.64","6.66","6.67","6.58","3.01M","-0.60%"
"Aug 29, 2019","6.68","6.65","6.69","6.64","1.90M","0.91%"
"Aug 28, 2019","6.62","6.58","6.63","6.54","1.66M","-0.60%"
"Aug 27, 2019","6.66","6.73","6.73","6.63","2.94M","-0.45%"
"Aug 26, 2019","6.69","6.72","6.74","6.63","1.67M","0.15%"
"Aug 23, 2019","6.68","6.78","6.82","6.67","2.26M","-1.62%"
"Aug 22, 2019","6.79","6.80","6.82","6.74","1.98M","1.19%"
"Aug 21, 2019","6.71","6.75","6.76","6.70","2.49M","0.30%"
"Aug 20, 2019","6.69","6.69","6.71","6.63","2.87M","-1.62%"
"Aug 19, 2019","6.80","6.80","6.83","6.78","1.66M","0.89%"
"Aug 16, 2019","6.74","6.69","6.77","6.69","2.68M","2.28%"
"Aug 15, 2019","6.59","6.63","6.66","6.58","3.54M","-0.45%"
"Aug 14, 2019","6.62","6.67","6.68","6.61","3.08M","-2.65%"
"Aug 13, 2019","6.80","6.78","6.86","6.76","3.44M","0.00%"
"Aug 12, 2019","6.80","6.84","6.85","6.78","2.11M","-2.02%"
"Aug 09, 2019","6.94","6.93","6.99","6.88","2.57M","-1.14%"
"Aug 08, 2019","7.02","7.00","7.05","6.98","2.49M","-2.09%"
"Aug 07, 2019","7.17","7.07","7.19","7.05","2.29M","-0.28%"
"Aug 06, 2019","7.19","7.22","7.22","7.11","3.27M","1.13%"
"Aug 05, 2019","7.11","7.15","7.16","7.03","4.76M","-3.79%"
"Aug 02, 2019","7.39","7.40","7.41","7.33","3.35M","0.41%"
"Aug 01, 2019","7.36","7.54","7.55","7.33","3.75M","-1.60%"
"Jul 31, 2019","7.48","7.51","7.55","7.41","5.12M","-1.97%"
"Jul 30, 2019","7.63","7.64","7.66","7.60","2.95M","-1.80%"
"Jul 29, 2019","7.77","7.84","7.85","7.76","1.69M","-1.27%"
"Jul 26, 2019","7.87","7.91","7.92","7.85","1.89M","0.51%"
"Jul 25, 2019","7.83","7.92","8.02","7.83","3.23M","-1.88%"
"Jul 24, 2019","7.98","7.94","7.98","7.93","1.80M","0.88%"
"Jul 23, 2019","7.91","7.93","7.98","7.91","2.04M","1.15%"
"Jul 22, 2019","7.82","7.81","7.82","7.76","1.34M","0.64%"
"Jul 19, 2019","7.77","7.74","7.78","7.73","1.36M","-0.38%"
"Jul 18, 2019","7.80","7.77","7.81","7.76","1.11M","1.17%"
"Jul 17, 2019","7.71","7.73","7.74","7.69","1.02M","-1.15%"
"Jul 16, 2019","7.80","7.78","7.83","7.77","1.24M","0.00%"
"Jul 15, 2019","7.80","7.82","7.86","7.79","2.48M","-0.89%"
