"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","49.22","48.83","49.35","48.71","989.95K","0.72%"
"Oct 24, 2019","48.87","49.26","49.37","48.70","1.31M","-0.33%"
"Oct 23, 2019","49.03","49.00","49.07","48.80","1.26M","0.97%"
"Oct 22, 2019","48.56","48.48","48.73","48.27","1.42M","0.37%"
"Oct 21, 2019","48.38","48.49","48.53","48.18","1.14M","1.79%"
"Oct 18, 2019","47.53","48.12","48.13","47.52","1.17M","-0.29%"
"Oct 17, 2019","47.67","48.34","48.34","47.63","1.37M","-1.04%"
"Oct 16, 2019","48.17","48.39","48.58","48.14","1.32M","-1.05%"
"Oct 15, 2019","48.68","48.07","48.97","47.94","2.47M","0.12%"
"Oct 14, 2019","48.62","48.77","48.91","48.59","1.19M","-2.00%"
"Oct 11, 2019","49.61","49.37","50.06","49.37","2.77M","2.56%"
"Oct 10, 2019","48.37","48.18","48.48","47.91","2.15M","1.75%"
"Oct 09, 2019","47.54","47.62","47.71","47.16","1.51M","0.15%"
"Oct 08, 2019","47.47","47.64","47.75","47.40","1.48M","-0.69%"
"Oct 07, 2019","47.80","48.06","48.41","47.78","1.29M","-1.26%"
"Oct 04, 2019","48.41","47.77","48.44","47.65","1.45M","1.13%"
"Oct 03, 2019","47.87","46.95","48.06","46.84","2.07M","0.40%"
"Oct 02, 2019","47.68","47.73","48.03","47.34","3.29M","-2.71%"
"Oct 01, 2019","49.01","49.46","49.54","48.93","1.35M","-0.75%"
"Sep 30, 2019","49.38","49.22","49.59","49.18","1.64M","-0.78%"
"Sep 27, 2019","49.77","49.69","49.98","49.56","1.51M","0.59%"
"Sep 26, 2019","49.48","49.90","49.90","49.43","1.18M","-0.30%"
"Sep 25, 2019","49.63","49.00","49.73","48.92","1.92M","0.85%"
"Sep 24, 2019","49.21","49.51","49.62","48.96","3.51M","-2.75%"
"Sep 23, 2019","50.60","50.09","50.72","49.97","1.72M","-0.76%"
"Sep 20, 2019","50.99","51.23","51.43","50.90","1.43M","-0.70%"
