"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","16.69","17.20","17.23","16.69","186.00K","-2.97%"
"Oct 15, 2019","17.20","18.01","18.58","17.01","5.35M","-2.77%"
"Oct 14, 2019","17.69","17.16","17.95","17.07","4.96M","4.67%"
"Oct 11, 2019","16.90","16.40","16.90","16.20","3.18M","4.97%"
"Oct 10, 2019","16.10","16.91","17.41","16.06","7.12M","-3.88%"
"Oct 09, 2019","16.75","15.64","16.75","15.01","4.20M","8.27%"
"Oct 08, 2019","15.47","15.40","15.76","14.96","3.23M","-0.19%"
"Oct 07, 2019","15.50","15.73","15.89","15.33","2.82M","-3.49%"
"Oct 04, 2019","16.06","16.85","17.07","15.96","2.80M","-3.83%"
"Oct 03, 2019","16.70","17.66","17.84","16.68","2.80M","-4.73%"
"Oct 02, 2019","17.53","18.00","18.21","17.36","2.20M","-4.31%"
"Oct 01, 2019","18.32","18.90","18.95","18.18","1.37M","-2.86%"
"Sep 30, 2019","18.86","18.99","19.11","18.83","532.70K","-0.79%"
"Sep 27, 2019","19.01","19.24","19.28","18.98","654.90K","-0.89%"
"Sep 26, 2019","19.18","19.22","19.47","19.02","926.00K","0.00%"
"Sep 25, 2019","19.18","19.06","19.32","18.54","1.08M","0.47%"
"Sep 24, 2019","19.09","19.45","19.62","19.03","666.40K","-1.80%"
"Sep 23, 2019","19.44","19.48","19.54","19.14","1.29M","-1.22%"
"Sep 20, 2019","19.68","19.57","19.78","18.88","2.33M","1.34%"
"Sep 19, 2019","19.42","19.59","19.83","19.38","1.30M","-0.15%"
"Sep 18, 2019","19.45","19.01","19.54","18.91","1.17M","2.05%"
"Sep 17, 2019","19.06","19.10","19.45","18.82","1.50M","-0.99%"
"Sep 16, 2019","19.25","19.69","19.69","18.90","2.58M","4.45%"
"Sep 13, 2019","18.43","18.60","18.94","18.34","1.61M","-0.91%"
"Sep 12, 2019","18.60","18.80","19.07","18.30","1.68M","-0.48%"
"Sep 11, 2019","18.69","17.75","18.69","17.67","2.47M","6.80%"
"Sep 10, 2019","17.50","18.35","18.57","17.18","3.21M","-4.48%"
"Sep 09, 2019","18.32","19.30","19.47","18.18","2.42M","-5.03%"
"Sep 06, 2019","19.29","19.83","20.00","19.20","1.24M","-2.28%"
"Sep 05, 2019","19.74","19.80","20.04","19.70","1.11M","0.25%"
"Sep 04, 2019","19.69","20.20","20.33","19.63","1.30M","-1.10%"
"Sep 03, 2019","19.91","20.15","20.53","19.89","1.29M","-1.19%"
"Sep 02, 2019","20.15","20.05","20.39","19.84","2.77M","1.51%"
"Aug 30, 2019","19.85","20.86","20.95","19.85","3.35M","-3.17%"
"Aug 29, 2019","20.50","21.07","21.31","20.50","2.80M","-0.97%"
"Aug 28, 2019","20.70","19.67","20.97","19.37","4.01M","4.55%"
"Aug 27, 2019","19.80","19.75","19.94","18.76","3.11M","1.23%"
"Aug 26, 2019","19.56","20.46","20.98","19.56","2.39M","-2.15%"
"Aug 23, 2019","19.99","20.02","21.18","19.77","4.04M","-3.57%"
"Aug 22, 2019","20.73","21.49","21.85","20.00","5.45M","-1.43%"
"Aug 21, 2019","21.03","19.84","21.15","19.51","6.64M","5.63%"
"Aug 20, 2019","19.91","17.88","20.36","17.00","9.09M","6.76%"
"Aug 19, 2019","18.65","19.95","20.29","18.30","6.63M","-5.33%"
"Aug 16, 2019","19.70","22.02","22.30","18.04","12.33M","-6.64%"
"Aug 15, 2019","21.10","24.10","24.59","20.77","10.40M","-10.21%"
"Aug 14, 2019","23.50","22.40","23.98","22.35","9.56M","6.33%"
"Aug 13, 2019","22.10","21.35","22.26","20.59","5.55M","6.25%"
"Aug 12, 2019","20.80","20.90","21.70","20.50","5.91M","2.06%"
"Aug 09, 2019","20.38","19.61","20.65","19.44","6.99M","5.71%"
"Aug 08, 2019","19.28","17.45","19.28","17.45","4.05M","10.68%"
"Aug 07, 2019","17.42","17.05","17.42","16.86","1.52M","2.17%"
"Aug 06, 2019","17.05","17.20","17.45","16.90","1.18M","0.12%"
"Aug 05, 2019","17.03","17.20","17.57","16.86","1.68M","-3.40%"
"Aug 02, 2019","17.63","17.80","17.99","16.66","6.92M","-0.17%"
"Aug 01, 2019","17.66","17.35","17.85","17.12","7.66M","7.36%"
"Jul 31, 2019","16.45","15.91","17.50","15.88","14.16M","4.44%"
"Jul 30, 2019","15.75","16.00","16.04","14.60","12.95M","16.32%"
"Jul 29, 2019","13.54","13.98","13.99","13.51","1.20M","-2.38%"
"Jul 26, 2019","13.87","13.82","14.05","13.64","2.74M","0.22%"
"Jul 25, 2019","13.84","13.83","13.96","13.63","1.69M","0.95%"
"Jul 24, 2019","13.71","14.08","14.15","13.71","1.99M","-2.63%"
"Jul 23, 2019","14.08","13.88","14.13","13.53","3.34M","2.33%"
"Jul 22, 2019","13.76","13.78","13.95","13.57","1.82M","-0.07%"
"Jul 19, 2019","13.77","13.75","14.00","13.47","5.08M","1.25%"
"Jul 18, 2019","13.60","13.71","13.84","13.36","2.65M","0.07%"
"Jul 17, 2019","13.59","14.10","14.25","13.52","5.54M","-2.16%"
"Jul 16, 2019","13.89","12.89","13.89","12.38","8.97M","6.03%"
"Jul 15, 2019","13.10","13.68","13.68","13.02","4.58M","-4.17%"
"Jul 12, 2019","13.67","14.47","14.65","13.45","6.89M","-1.65%"
"Jul 11, 2019","13.90","13.00","14.29","12.82","20.93M","-0.64%"
"Jul 10, 2019","13.99","15.30","16.50","13.99","27.35M","-2.78%"
"Jul 08, 2019","14.39","13.71","14.57","13.50","17.03M","10.86%"
"Jul 05, 2019","12.98","12.21","13.55","12.21","17.83M","9.44%"
"Jul 04, 2019","11.86","11.09","11.86","10.95","9.44M","10.33%"
"Jul 03, 2019","10.75","10.46","10.76","10.43","5.14M","3.17%"
"Jul 02, 2019","10.42","10.33","10.46","10.19","2.40M","1.17%"
"Jul 01, 2019","10.30","10.25","10.33","10.25","2.28M","1.48%"
"Jun 28, 2019","10.15","10.20","10.28","10.14","4.11M","0.30%"
"Jun 27, 2019","10.12","9.81","10.12","9.65","4.61M","3.48%"
"Jun 26, 2019","9.78","9.98","10.08","9.76","1.86M","-2.00%"
"Jun 25, 2019","9.98","9.95","10.05","9.83","1.76M","0.50%"
"Jun 24, 2019","9.93","10.02","10.30","9.90","3.78M","-0.80%"
"Jun 21, 2019","10.01","10.01","10.01","9.82","34.28M","0.81%"
"Jun 19, 2019","9.93","9.95","10.08","9.88","5.48M","-0.20%"
"Jun 18, 2019","9.95","9.97","10.08","9.88","2.88M","1.02%"
"Jun 17, 2019","9.85","10.22","10.26","9.75","6.32M","-2.96%"
"Jun 14, 2019","10.15","10.15","10.33","10.06","1.88M","0.40%"
"Jun 13, 2019","10.11","10.43","10.56","10.06","2.59M","-1.94%"
"Jun 12, 2019","10.31","10.69","10.88","10.31","3.78M","-3.28%"
"Jun 11, 2019","10.66","10.86","10.98","10.66","4.27M","-0.47%"
"Jun 10, 2019","10.71","10.56","10.71","10.18","3.77M","1.42%"
"Jun 07, 2019","10.56","10.56","10.79","10.49","3.34M","1.64%"
"Jun 06, 2019","10.39","10.03","10.41","9.40","8.65M","4.84%"
"Jun 05, 2019","9.91","10.64","10.64","9.91","4.71M","-6.86%"
"Jun 04, 2019","10.64","11.13","11.22","10.64","2.74M","-3.18%"
"Jun 03, 2019","10.99","11.18","11.31","10.93","4.92M","-1.70%"
"May 31, 2019","11.18","11.53","11.53","11.17","2.46M","-3.29%"
"May 30, 2019","11.56","11.59","11.84","11.51","2.99M","-0.17%"
"May 29, 2019","11.58","11.37","11.63","11.28","5.37M","1.67%"
"May 28, 2019","11.39","10.91","11.41","10.91","6.51M","4.50%"
"May 27, 2019","10.90","10.81","10.98","10.78","2.02M","1.49%"
"May 24, 2019","10.74","10.74","10.87","10.56","2.30M","0.19%"
"May 23, 2019","10.72","10.54","10.73","10.43","1.58M","1.90%"
"May 22, 2019","10.52","10.68","10.88","10.41","2.87M","-1.50%"
"May 21, 2019","10.68","10.23","10.79","10.22","3.20M","5.33%"
"May 20, 2019","10.14","9.58","10.27","9.58","3.90M","5.41%"
"May 17, 2019","9.62","9.81","9.97","9.50","3.87M","-1.94%"
"May 16, 2019","9.81","9.45","10.00","9.26","6.17M","4.36%"
"May 15, 2019","9.40","9.15","9.41","9.07","3.89M","2.40%"
"May 14, 2019","9.18","9.61","9.70","9.03","3.46M","-2.86%"
"May 13, 2019","9.45","9.81","9.81","9.43","2.67M","-4.26%"
"May 10, 2019","9.87","10.21","10.41","9.86","1.93M","-3.14%"
"May 09, 2019","10.19","10.39","10.54","10.13","1.82M","-1.92%"
"May 08, 2019","10.39","10.57","10.64","10.39","2.42M","-1.33%"
"May 07, 2019","10.53","10.56","10.62","10.31","1.56M","0.00%"
"May 06, 2019","10.53","10.48","10.66","10.44","1.59M","-1.59%"
"May 03, 2019","10.70","10.59","10.70","10.11","3.57M","1.04%"
"May 02, 2019","10.59","10.81","11.11","10.43","4.27M","-1.85%"
"Apr 30, 2019","10.79","10.79","10.86","10.66","1.58M","1.41%"
"Apr 29, 2019","10.64","10.73","10.93","10.64","2.88M","-0.65%"
"Apr 26, 2019","10.71","10.71","10.73","10.53","1.40M","0.75%"
"Apr 25, 2019","10.63","10.64","10.74","10.53","2.69M","0.57%"
"Apr 24, 2019","10.57","10.45","10.64","10.36","5.92M","1.83%"
"Apr 23, 2019","10.38","10.74","11.06","10.31","6.46M","-1.89%"
"Apr 22, 2019","10.58","10.03","10.80","10.03","7.19M","6.01%"
"Apr 18, 2019","9.98","9.48","10.03","9.38","4.11M","6.62%"
"Apr 17, 2019","9.36","9.06","9.53","8.96","5.38M","3.77%"
"Apr 16, 2019","9.02","9.04","9.13","8.91","1.14M","-0.33%"
