"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","25.11","24.35","26.03","24.30","771.43K","3.55%"
"Oct 24, 2019","24.25","25.13","25.18","24.11","416.42K","-2.69%"
"Oct 23, 2019","24.92","24.52","25.13","24.12","334.29K","0.85%"
"Oct 22, 2019","24.71","25.68","25.92","24.65","256.78K","-2.98%"
"Oct 21, 2019","25.47","25.37","25.89","24.98","240.10K","0.91%"
"Oct 18, 2019","25.24","25.48","25.80","25.05","242.94K","-2.40%"
"Oct 17, 2019","25.86","26.04","26.32","25.65","242.11K","-0.08%"
"Oct 16, 2019","25.88","26.50","26.60","25.52","330.04K","-3.00%"
"Oct 15, 2019","26.68","26.53","27.08","26.14","226.72K","1.06%"
"Oct 14, 2019","26.40","26.91","27.16","26.15","230.47K","-2.55%"
"Oct 11, 2019","27.09","28.45","28.73","27.05","459.38K","-2.41%"
"Oct 10, 2019","27.76","26.20","28.08","26.00","692.43K","7.47%"
"Oct 09, 2019","25.83","25.48","26.06","24.58","313.81K","2.58%"
"Oct 08, 2019","25.18","26.51","26.96","25.11","435.82K","-5.12%"
"Oct 07, 2019","26.54","26.78","27.69","26.54","461.60K","-1.30%"
"Oct 04, 2019","26.89","25.79","27.00","25.51","472.56K","5.00%"
"Oct 03, 2019","25.61","26.55","26.65","25.43","632.25K","-3.47%"
"Oct 02, 2019","26.53","25.32","26.76","24.72","433.33K","3.55%"
"Oct 01, 2019","25.62","25.98","26.32","25.10","517.22K","-1.54%"
"Sep 30, 2019","26.02","26.30","26.39","25.17","358.68K","-0.15%"
"Sep 27, 2019","26.06","24.78","26.35","24.74","443.59K","4.62%"
"Sep 26, 2019","24.91","25.10","25.80","24.40","553.56K","1.59%"
"Sep 25, 2019","24.52","23.46","24.68","23.15","600.78K","4.12%"
"Sep 24, 2019","23.55","23.39","23.87","22.88","342.25K","0.00%"
"Sep 23, 2019","23.55","23.43","23.71","22.89","543.13K","-1.01%"
"Sep 20, 2019","23.79","24.48","24.85","23.53","521.77K","-2.30%"
"Sep 19, 2019","24.35","23.20","24.86","22.89","894.18K","0.41%"
"Sep 18, 2019","24.25","24.80","24.80","23.68","594.52K","-2.69%"
"Sep 17, 2019","24.92","24.87","25.03","24.21","551.50K","-1.31%"
"Sep 16, 2019","25.25","24.23","25.94","24.22","512.61K","2.27%"
"Sep 13, 2019","24.69","24.64","25.58","24.41","816.06K","0.78%"
"Sep 12, 2019","24.50","25.07","25.19","24.05","424.95K","-1.13%"
"Sep 11, 2019","24.78","25.22","25.86","23.43","918.99K","-1.00%"
"Sep 10, 2019","25.03","24.21","26.07","24.21","512.49K","1.62%"
"Sep 09, 2019","24.63","24.88","26.20","24.43","545.31K","-0.93%"
"Sep 06, 2019","24.86","25.07","26.72","24.78","1.16M","-0.36%"
"Sep 05, 2019","24.95","24.05","25.49","23.62","1.29M","5.72%"
"Sep 04, 2019","23.60","22.07","24.42","21.41","1.75M","7.76%"
"Sep 03, 2019","21.90","24.98","25.90","21.90","1.30M","-6.05%"
"Aug 30, 2019","23.31","24.80","24.82","23.22","1.15M","-6.35%"
"Aug 29, 2019","24.89","25.40","26.39","23.77","1.65M","-5.97%"
"Aug 28, 2019","26.47","26.72","27.72","25.76","1.00M","-2.14%"
"Aug 27, 2019","27.05","29.50","29.77","26.94","1.61M","-9.35%"
"Aug 26, 2019","29.84","31.29","31.98","29.64","735.56K","-3.46%"
"Aug 23, 2019","30.91","32.96","33.33","30.81","1.09M","-6.93%"
"Aug 22, 2019","33.21","34.01","35.27","33.07","652.19K","-1.45%"
"Aug 21, 2019","33.70","32.68","34.08","32.34","703.82K","4.27%"
"Aug 20, 2019","32.32","33.09","34.28","32.20","869.47K","-0.37%"
"Aug 19, 2019","32.44","37.75","37.75","32.38","1.40M","-15.26%"
"Aug 16, 2019","38.28","39.62","40.43","38.10","930.97K","-1.64%"
"Aug 15, 2019","38.92","38.50","39.89","36.67","1.24M","7.87%"
"Aug 14, 2019","36.08","35.34","37.68","34.57","1.47M","-3.22%"
