"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","37.90","38.36","38.40","37.67","8.22M","-3.41%"
"Oct 28, 2019","39.24","39.78","39.80","39.17","9.08M","-0.28%"
"Oct 25, 2019","39.35","39.05","39.44","39.03","5.45M","0.36%"
"Oct 24, 2019","39.21","39.60","39.61","38.94","8.86M","0.38%"
"Oct 23, 2019","39.06","38.88","39.11","38.80","8.48M","1.43%"
"Oct 22, 2019","38.51","38.64","38.94","38.45","8.62M","0.63%"
"Oct 21, 2019","38.27","38.08","38.40","38.04","7.08M","2.11%"
"Oct 18, 2019","37.48","37.62","37.73","37.47","4.00M","-0.74%"
"Oct 17, 2019","37.76","37.71","37.88","37.51","5.26M","1.48%"
"Oct 16, 2019","37.21","37.47","37.62","37.18","4.80M","-0.40%"
"Oct 15, 2019","37.36","37.47","37.66","37.27","5.26M","-0.16%"
"Oct 14, 2019","37.42","37.28","37.52","37.20","3.25M","-0.11%"
"Oct 11, 2019","37.46","37.51","37.59","37.36","6.94M","0.81%"
"Oct 10, 2019","37.16","37.25","37.35","37.00","8.35M","-0.03%"
"Oct 09, 2019","37.17","37.28","37.38","37.12","4.52M","0.87%"
"Oct 08, 2019","36.85","37.01","37.27","36.83","8.36M","-0.27%"
"Oct 07, 2019","36.95","37.11","37.40","36.94","5.66M","-0.03%"
"Oct 04, 2019","36.96","36.58","36.97","36.45","6.83M","1.62%"
"Oct 03, 2019","36.37","36.19","36.42","35.88","7.93M","-0.60%"
"Oct 02, 2019","36.59","37.00","37.05","36.40","8.59M","-2.94%"
"Oct 01, 2019","37.70","38.07","38.10","37.50","5.64M","-0.76%"
"Sep 30, 2019","37.99","38.11","38.38","37.98","4.13M","-0.71%"
"Sep 27, 2019","38.26","38.10","38.49","38.05","3.77M","0.03%"
"Sep 26, 2019","38.25","38.34","38.35","38.05","8.08M","0.21%"
"Sep 25, 2019","38.17","37.76","38.21","37.70","12.10M","0.10%"
"Sep 24, 2019","38.13","38.55","38.55","38.07","6.44M","-1.63%"
"Sep 23, 2019","38.76","38.68","38.95","38.68","3.81M","-0.59%"
"Sep 20, 2019","38.99","39.02","39.27","38.90","5.47M","0.78%"
"Sep 19, 2019","38.69","39.14","39.14","38.68","5.85M","0.26%"
"Sep 18, 2019","38.59","38.56","38.82","38.47","6.90M","0.13%"
"Sep 17, 2019","38.54","39.57","39.57","38.37","14.10M","-2.06%"
"Sep 16, 2019","39.35","39.85","39.85","39.04","19.99M","3.91%"
"Sep 13, 2019","37.87","37.82","37.96","37.72","4.07M","0.53%"
"Sep 12, 2019","37.67","37.38","37.75","37.26","5.30M","-0.34%"
"Sep 11, 2019","37.80","38.24","38.40","37.68","12.27M","-0.11%"
"Sep 10, 2019","37.84","37.89","38.36","37.79","6.79M","0.91%"
"Sep 09, 2019","37.50","37.56","37.66","37.42","5.31M","0.13%"
"Sep 06, 2019","37.45","37.17","37.49","37.01","5.98M","0.21%"
"Sep 05, 2019","37.37","37.63","37.73","37.32","5.92M","0.16%"
"Sep 04, 2019","37.31","37.32","37.46","37.26","4.32M","0.97%"
"Sep 03, 2019","36.95","36.69","37.00","36.57","3.91M","0.00%"
"Aug 30, 2019","36.95","37.06","37.13","36.76","4.76M","0.00%"
"Aug 29, 2019","36.95","37.15","37.17","36.88","7.09M","0.33%"
"Aug 28, 2019","36.83","36.79","37.16","36.63","7.61M","0.63%"
"Aug 27, 2019","36.60","36.65","36.68","36.22","6.31M","0.83%"
"Aug 26, 2019","36.30","36.54","36.56","36.25","5.18M","0.25%"
"Aug 23, 2019","36.21","36.37","36.66","36.13","7.48M","-0.85%"
"Aug 22, 2019","36.52","36.70","36.78","36.47","4.55M","-0.63%"
"Aug 21, 2019","36.75","36.82","36.91","36.56","5.03M","0.82%"
"Aug 20, 2019","36.45","36.48","36.55","36.31","4.83M","-1.09%"
"Aug 19, 2019","36.85","36.73","36.95","36.62","6.06M","1.54%"
"Aug 16, 2019","36.29","36.11","36.30","35.98","5.37M","0.67%"
"Aug 15, 2019","36.05","35.92","36.09","35.73","8.90M","-0.58%"
"Aug 14, 2019","36.26","36.42","36.53","36.15","10.80M","-2.53%"
"Aug 13, 2019","37.20","36.60","37.34","36.52","9.71M","1.50%"
"Aug 12, 2019","36.65","36.86","36.94","36.58","6.26M","-0.43%"
"Aug 09, 2019","36.81","36.93","37.11","36.75","7.63M","-1.00%"
"Aug 08, 2019","37.18","36.82","37.20","36.70","10.51M","-0.99%"
"Aug 07, 2019","37.55","37.06","37.62","36.88","9.87M","-0.16%"
"Aug 06, 2019","37.61","37.56","37.74","37.14","11.45M","-0.13%"
"Aug 05, 2019","37.66","37.48","37.78","37.35","11.96M","-2.13%"
"Aug 02, 2019","38.48","38.65","38.84","38.12","9.60M","-1.33%"
"Aug 01, 2019","39.00","39.05","39.45","38.77","10.61M","-1.86%"
"Jul 31, 2019","39.74","40.22","40.23","39.42","6.70M","-0.63%"
"Jul 30, 2019","39.99","39.73","40.22","39.63","8.39M","2.30%"
"Jul 29, 2019","39.09","39.09","39.16","38.72","12.64M","0.28%"
"Jul 26, 2019","38.98","39.06","39.11","38.86","9.89M","-0.03%"
"Jul 25, 2019","38.99","39.29","39.30","38.96","6.61M","-0.38%"
"Jul 24, 2019","39.14","39.32","39.54","39.07","8.82M","-0.84%"
