"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","29.14","28.90","29.19","28.78","38.70K","0.52%"
"Nov 19, 2019","28.99","28.89","29.24","28.72","15.80K","0.38%"
"Nov 18, 2019","28.88","29.17","29.60","28.76","24.40K","-0.35%"
"Nov 14, 2019","28.98","28.62","29.06","28.60","29.70K","0.98%"
"Nov 13, 2019","28.70","29.01","29.01","28.33","22.90K","-1.54%"
"Nov 12, 2019","29.15","29.08","29.15","28.79","93.90K","-0.24%"
"Nov 11, 2019","29.22","29.52","29.52","28.80","19.60K","-0.17%"
"Nov 08, 2019","29.27","29.80","29.80","29.13","11.60K","-2.82%"
"Nov 07, 2019","30.12","30.00","30.29","29.78","111.30K","0.47%"
"Nov 06, 2019","29.98","29.68","29.98","29.50","85.40K","0.44%"
"Nov 05, 2019","29.85","29.91","30.02","29.66","6.70K","-0.50%"
"Nov 04, 2019","30.00","29.60","30.00","29.48","27.70K","1.04%"
"Nov 01, 2019","29.69","28.92","29.69","28.92","25.50K","2.91%"
"Oct 31, 2019","28.85","29.69","29.69","28.65","32.90K","-2.83%"
"Oct 30, 2019","29.69","29.75","29.75","29.44","3.00K","-0.07%"
"Oct 29, 2019","29.71","29.57","29.79","29.57","5.50K","0.03%"
"Oct 28, 2019","29.70","29.23","29.93","29.23","49.20K","1.40%"
"Oct 25, 2019","29.29","28.53","29.29","28.53","8.50K","3.53%"
"Oct 24, 2019","28.29","28.55","28.55","28.25","1.20K","-0.88%"
"Oct 23, 2019","28.54","28.65","28.65","28.39","10.70K","-0.56%"
"Oct 22, 2019","28.70","28.50","28.93","28.25","5.10K","-0.35%"
"Oct 21, 2019","28.80","28.65","28.80","28.50","4.40K","0.56%"
"Oct 18, 2019","28.64","28.81","28.81","28.29","3.70K","-0.42%"
"Oct 17, 2019","28.76","29.44","29.44","28.73","6.70K","-2.18%"
"Oct 16, 2019","29.40","29.05","29.40","29.00","3.30K","-0.14%"
"Oct 15, 2019","29.44","29.29","29.45","29.04","16.10K","2.33%"
"Oct 14, 2019","28.77","29.02","29.37","28.77","3.70K","-1.74%"
"Oct 11, 2019","29.28","28.93","29.32","28.93","15.70K","2.88%"
"Oct 10, 2019","28.46","28.50","28.85","28.42","4.10K","1.03%"
"Oct 09, 2019","28.17","28.69","28.69","27.96","2.40K","0.86%"
"Oct 08, 2019","27.93","28.57","28.57","27.88","3.20K","-1.62%"
"Oct 07, 2019","28.39","28.60","28.70","28.13","3.90K","-0.73%"
"Oct 04, 2019","28.60","27.90","28.60","27.90","6.90K","3.62%"
"Oct 03, 2019","27.60","27.59","27.77","26.93","15.90K","0.40%"
"Oct 02, 2019","27.49","28.50","28.50","27.20","8.30K","-3.61%"
"Oct 01, 2019","28.52","28.85","29.06","28.52","4.70K","-1.14%"
"Sep 30, 2019","28.85","28.55","28.85","28.50","13.40K","1.23%"
"Sep 27, 2019","28.50","28.66","28.90","28.50","9.90K","0.04%"
"Sep 26, 2019","28.49","28.44","28.56","28.30","12.00K","1.21%"
"Sep 25, 2019","28.15","27.80","28.63","27.80","14.60K","0.11%"
"Sep 24, 2019","28.12","28.35","28.35","27.90","6.60K","-1.88%"
"Sep 23, 2019","28.66","28.20","28.67","28.00","17.50K","1.45%"
"Sep 20, 2019","28.25","28.50","28.79","28.23","17.90K","-0.81%"
"Sep 19, 2019","28.48","28.26","28.75","28.12","22.80K","0.32%"
"Sep 18, 2019","28.39","27.97","28.39","27.85","6.80K","-0.04%"
"Sep 17, 2019","28.40","28.00","28.55","27.90","7.80K","0.85%"
"Sep 16, 2019","28.16","27.86","28.16","27.80","4.70K","-0.74%"
"Sep 13, 2019","28.37","28.60","28.60","28.03","8.20K","0.07%"
"Sep 12, 2019","28.35","27.51","28.39","27.50","15.20K","3.58%"
