"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","93.39","93.02","93.49","93.00","15.22K","-0.12%"
"Nov 07, 2019","93.50","92.15","93.50","92.15","58.33K","1.63%"
"Nov 06, 2019","92.00","92.50","93.00","91.55","165.76K","-0.54%"
"Nov 05, 2019","92.50","92.48","92.98","92.40","96.75K","0.00%"
"Nov 04, 2019","92.50","92.48","92.80","92.48","87.80K","0.02%"
"Nov 01, 2019","92.48","92.49","92.78","92.18","72.91K","0.00%"
"Oct 31, 2019","92.48","92.00","92.70","92.00","68.16K","0.53%"
"Oct 30, 2019","91.99","92.10","92.45","91.87","59.00K","-0.12%"
"Oct 29, 2019","92.10","91.70","92.26","91.70","89.84K","0.45%"
"Oct 28, 2019","91.69","91.98","92.59","91.69","90.33K","0.00%"
"Oct 25, 2019","91.69","92.10","92.35","91.02","114.64K","-0.34%"
"Oct 24, 2019","92.00","92.55","92.85","91.59","62.37K","-0.55%"
"Oct 23, 2019","92.51","93.00","93.50","92.03","65.75K","-0.53%"
"Oct 22, 2019","93.00","93.24","93.25","92.12","44.61K","-0.27%"
"Oct 21, 2019","93.25","91.95","93.25","91.90","55.50K","1.49%"
"Oct 18, 2019","91.88","91.90","92.00","91.76","41.07K","-0.01%"
"Oct 17, 2019","91.89","91.74","91.89","91.51","53.53K","0.15%"
"Oct 16, 2019","91.75","91.52","91.75","91.30","46.11K","0.31%"
"Oct 15, 2019","91.47","91.17","91.64","91.01","35.93K","0.30%"
"Oct 14, 2019","91.20","91.38","91.92","90.64","57.18K","-0.05%"
"Oct 11, 2019","91.25","91.79","91.90","91.08","43.43K","-0.59%"
"Oct 10, 2019","91.79","91.30","91.79","91.10","34.75K","0.44%"
"Oct 09, 2019","91.39","91.18","91.49","91.00","32.65K","0.26%"
"Oct 08, 2019","91.15","91.49","91.50","90.85","43.71K","0.16%"
"Oct 07, 2019","91.00","91.30","91.30","90.64","67.65K","-0.44%"
"Oct 04, 2019","91.40","90.21","91.40","90.09","38.21K","1.48%"
"Oct 03, 2019","90.07","90.20","90.23","90.01","21.02K","-0.14%"
"Oct 02, 2019","90.20","89.66","90.39","89.52","34.30K","0.77%"
"Oct 01, 2019","89.51","90.29","90.29","89.43","164.34K","-0.87%"
"Sep 30, 2019","90.30","90.11","90.43","89.51","61.26K","-0.21%"
"Sep 27, 2019","90.49","89.68","90.49","89.66","79.14K","0.21%"
"Sep 26, 2019","90.30","90.40","90.56","89.37","164.81K","-0.22%"
"Sep 25, 2019","90.50","90.25","90.92","89.03","168.60K","-1.46%"
"Sep 24, 2019","91.84","91.85","92.09","91.60","53.08K","0.00%"
"Sep 23, 2019","91.84","91.92","92.29","91.55","33.48K","-0.15%"
"Sep 20, 2019","91.98","92.30","92.40","91.95","27.88K","-0.35%"
"Sep 19, 2019","92.30","92.40","92.73","92.00","38.11K","-0.16%"
"Sep 18, 2019","92.45","92.32","92.80","92.30","39.94K","0.16%"
"Sep 17, 2019","92.30","92.62","92.77","92.18","52.40K","-0.35%"
"Sep 16, 2019","92.62","92.89","92.90","92.20","20.06K","-0.29%"
"Sep 13, 2019","92.89","92.79","93.00","92.60","28.15K","0.11%"
"Sep 12, 2019","92.79","92.42","92.79","92.20","33.36K","0.53%"
"Sep 11, 2019","92.30","92.79","92.80","92.20","33.38K","-0.42%"
"Sep 10, 2019","92.69","92.00","92.95","92.00","45.01K","0.75%"
"Sep 09, 2019","92.00","92.80","92.80","91.72","54.07K","-0.44%"
"Sep 06, 2019","92.41","92.29","92.57","91.59","55.22K","0.13%"
"Sep 05, 2019","92.29","92.99","92.99","92.20","49.09K","-0.75%"
"Sep 04, 2019","92.99","93.08","93.09","92.19","54.79K","-0.11%"
"Sep 03, 2019","93.09","92.82","93.09","92.09","42.10K","0.29%"
"Sep 02, 2019","92.82","93.67","93.96","92.36","62.66K","-1.23%"
"Aug 30, 2019","93.98","92.71","94.03","92.60","30.45K","1.33%"
"Aug 29, 2019","92.75","91.86","92.88","91.61","33.84K","0.97%"
"Aug 28, 2019","91.86","92.99","93.03","90.33","96.67K","-1.23%"
"Aug 27, 2019","93.00","94.58","94.58","92.57","45.59K","-2.11%"
