"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","22.66","22.99","23.27","21.95","14.02M","-1.73%"
"May 14, 2020","23.06","22.80","23.38","21.82","21.83M","0.92%"
"May 13, 2020","22.85","20.52","22.85","20.40","26.10M","12.17%"
"May 12, 2020","20.37","21.08","21.46","20.30","15.62M","-2.30%"
"May 11, 2020","20.85","19.75","21.53","19.62","29.39M","11.26%"
"May 08, 2020","18.74","18.99","19.02","18.07","7.69M","1.79%"
"May 07, 2020","18.41","18.57","19.29","18.32","11.30M","0.55%"
"May 06, 2020","18.31","18.44","18.70","18.00","9.06M","-0.16%"
"May 05, 2020","18.34","18.70","19.28","18.29","8.68M","-0.33%"
"May 04, 2020","18.40","18.61","19.09","18.15","8.67M","-5.11%"
"Apr 30, 2020","19.39","20.09","20.09","19.22","11.47M","-4.86%"
"Apr 29, 2020","20.38","20.55","20.75","19.92","14.45M","0.34%"
"Apr 28, 2020","20.31","21.10","21.29","20.10","12.99M","-1.22%"
"Apr 27, 2020","20.56","19.00","20.62","18.84","12.35M","10.84%"
"Apr 24, 2020","18.55","19.22","19.37","17.35","14.04M","-4.92%"
"Apr 23, 2020","19.51","19.83","20.27","18.87","9.17M","0.31%"
"Apr 22, 2020","19.45","18.94","19.82","18.80","6.15M","2.80%"
"Apr 20, 2020","18.92","18.52","19.28","18.34","6.06M","-0.68%"
"Apr 17, 2020","19.05","19.75","19.75","18.70","7.83M","-1.14%"
"Apr 16, 2020","19.27","19.34","19.75","18.72","9.45M","1.15%"
"Apr 15, 2020","19.05","18.40","19.42","18.06","9.71M","1.01%"
"Apr 14, 2020","18.86","18.20","18.98","17.92","7.89M","5.84%"
"Apr 13, 2020","17.82","18.04","18.21","17.38","9.08M","-1.22%"
"Apr 09, 2020","18.04","17.60","18.79","17.36","11.63M","3.68%"
"Apr 08, 2020","17.40","17.60","17.75","16.83","8.80M","-0.74%"
"Apr 07, 2020","17.53","19.40","19.68","17.40","14.53M","-0.85%"
"Apr 06, 2020","17.68","16.00","17.75","15.85","11.14M","15.86%"
"Apr 03, 2020","15.26","16.20","16.59","14.91","11.85M","-6.09%"
"Apr 02, 2020","16.25","15.75","16.50","15.62","11.06M","4.10%"
"Apr 01, 2020","15.61","14.69","15.95","14.17","10.63M","3.45%"
"Mar 31, 2020","15.09","14.52","15.62","14.31","12.13M","4.00%"
"Mar 30, 2020","14.51","14.87","15.28","14.35","12.64M","-2.42%"
"Mar 27, 2020","14.87","15.35","15.44","14.73","11.35M","-6.89%"
"Mar 26, 2020","15.97","16.03","17.00","15.23","12.73M","0.38%"
"Mar 25, 2020","15.91","15.04","16.36","14.40","11.72M","5.78%"
"Mar 24, 2020","15.04","14.94","15.65","14.52","12.79M","7.20%"
