"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","26.64","23.44","26.64","23.44","-","13.65%"
"May 15, 2020","23.44","21.86","23.95","21.86","8.54M","5.73%"
"May 14, 2020","22.17","21.29","22.27","20.76","4.45M","2.31%"
"May 13, 2020","21.67","21.85","22.84","21.15","9.54M","5.86%"
"May 12, 2020","20.47","22.49","22.84","20.47","5.81M","-7.29%"
"May 11, 2020","22.08","20.25","22.66","19.41","7.86M","8.34%"
"May 08, 2020","20.38","21.00","21.17","20.29","2.20M","-0.29%"
"May 07, 2020","20.44","20.44","21.02","20.20","4.00M","1.69%"
"May 06, 2020","20.10","21.13","21.26","20.02","3.89M","-2.80%"
"May 05, 2020","20.68","21.50","21.82","20.45","2.03M","-1.99%"
"May 04, 2020","21.10","20.50","21.23","20.21","1.93M","-0.19%"
"Apr 30, 2020","21.14","21.25","21.82","20.92","2.77M","-3.69%"
"Apr 29, 2020","21.95","22.80","22.90","21.85","3.41M","-1.75%"
"Apr 28, 2020","22.34","22.38","22.75","21.79","5.83M","3.96%"
"Apr 27, 2020","21.49","19.80","21.59","19.46","6.12M","13.52%"
"Apr 24, 2020","18.93","20.36","20.40","17.11","6.63M","-8.51%"
"Apr 23, 2020","20.69","21.15","21.73","20.51","3.81M","-0.34%"
"Apr 22, 2020","20.76","21.10","21.50","20.68","3.10M","-0.62%"
"Apr 20, 2020","20.89","20.48","21.79","20.18","5.01M","-0.52%"
"Apr 17, 2020","21.00","22.51","23.09","20.91","5.47M","-2.78%"
"Apr 16, 2020","21.60","21.90","23.41","21.52","7.96M","0.79%"
"Apr 15, 2020","21.43","20.46","22.20","20.06","8.38M","-0.92%"
"Apr 14, 2020","21.63","17.30","21.70","17.30","15.57M","28.67%"
"Apr 13, 2020","16.81","16.29","16.87","16.10","2.15M","3.19%"
"Apr 09, 2020","16.29","16.86","17.15","15.95","3.53M","-1.33%"
"Apr 08, 2020","16.51","16.71","16.95","15.96","3.75M","-1.26%"
"Apr 07, 2020","16.72","17.65","18.14","16.40","3.67M","0.97%"
"Apr 06, 2020","16.56","16.72","16.76","15.88","3.18M","6.02%"
"Apr 03, 2020","15.62","16.80","17.46","15.48","3.44M","-7.41%"
"Apr 02, 2020","16.87","16.75","17.83","16.22","3.62M","3.69%"
"Apr 01, 2020","16.27","16.15","16.89","15.68","3.37M","-5.52%"
"Mar 31, 2020","17.22","17.80","18.25","17.06","3.38M","-2.71%"
"Mar 30, 2020","17.70","18.38","19.14","17.05","3.63M","-0.11%"
"Mar 27, 2020","17.72","18.00","18.89","17.00","7.06M","-7.85%"
"Mar 26, 2020","19.23","14.71","19.35","14.59","11.15M","28.03%"
"Mar 25, 2020","15.02","11.30","15.33","11.30","7.87M","31.75%"
"Mar 24, 2020","11.40","11.10","12.12","10.70","4.58M","13.21%"
"Mar 23, 2020","10.07","11.90","12.00","10.00","7.00M","-14.66%"
"Mar 20, 2020","11.80","13.51","14.42","11.25","6.63M","-5.98%"
"Mar 19, 2020","12.55","12.01","13.47","11.50","7.16M","-2.71%"
"Mar 18, 2020","12.90","16.10","16.20","11.81","8.37M","-24.47%"
"Mar 17, 2020","17.08","17.49","18.67","16.68","3.72M","0.59%"
"Mar 16, 2020","16.98","16.23","18.94","16.23","4.97M","-14.11%"
"Mar 13, 2020","19.77","19.82","20.20","16.51","5.96M","19.82%"
"Mar 12, 2020","16.50","17.32","18.60","14.00","8.12M","-24.14%"
"Mar 11, 2020","21.75","24.19","25.00","20.70","5.22M","-13.42%"
"Mar 10, 2020","25.12","23.54","25.50","22.91","4.71M","14.81%"
"Mar 09, 2020","21.88","22.50","23.35","21.40","5.33M","-12.72%"
"Mar 06, 2020","25.07","26.05","26.37","24.59","4.49M","-6.25%"
"Mar 05, 2020","26.74","28.41","28.60","26.14","3.41M","-7.73%"
"Mar 04, 2020","28.98","28.92","29.13","27.91","2.63M","3.21%"
"Mar 03, 2020","28.08","28.10","29.73","27.56","4.42M","2.11%"
"Mar 02, 2020","27.50","27.10","28.23","27.10","3.67M","2.27%"
"Feb 28, 2020","26.89","27.40","28.05","26.03","6.52M","-1.86%"
"Feb 27, 2020","27.40","28.60","28.88","27.40","4.86M","-5.09%"
"Feb 26, 2020","28.87","29.53","30.06","28.69","3.08M","-5.65%"
"Feb 21, 2020","30.60","31.41","31.54","30.30","2.70M","-3.10%"
"Feb 20, 2020","31.58","32.00","32.73","31.47","2.88M","-1.00%"
"Feb 19, 2020","31.90","31.49","32.22","31.30","2.18M","1.75%"
"Feb 18, 2020","31.35","31.16","31.67","31.01","1.93M","0.48%"
"Feb 17, 2020","31.20","30.92","31.48","30.84","1.64M","0.87%"
"Feb 14, 2020","30.93","31.00","31.60","30.40","2.91M","0.32%"
"Feb 13, 2020","30.83","31.68","31.84","30.83","3.40M","-3.23%"
"Feb 12, 2020","31.86","32.40","32.84","31.71","3.09M","-0.93%"
"Feb 11, 2020","32.16","31.79","32.71","31.58","2.34M","2.45%"
"Feb 10, 2020","31.39","31.79","32.20","31.22","2.59M","-1.23%"
"Feb 07, 2020","31.78","32.12","32.60","31.32","3.89M","0.09%"
"Feb 06, 2020","31.75","34.88","34.90","31.51","8.36M","-7.46%"
"Feb 05, 2020","34.31","34.35","34.99","33.84","3.92M","2.72%"
"Feb 04, 2020","33.40","34.30","35.10","33.27","3.38M","-0.15%"
"Feb 03, 2020","33.45","32.45","33.94","31.76","4.68M","6.02%"
"Jan 31, 2020","31.55","31.34","32.90","31.08","4.77M","-0.79%"
"Jan 30, 2020","31.80","32.40","32.62","30.91","6.27M","-3.20%"
"Jan 29, 2020","32.85","34.49","34.79","32.61","4.72M","-3.86%"
"Jan 28, 2020","34.17","35.30","36.09","34.10","3.66M","-2.98%"
"Jan 27, 2020","35.22","36.50","36.93","35.00","3.87M","-6.40%"
"Jan 24, 2020","37.63","38.60","38.60","37.41","5.02M","-3.51%"
"Jan 23, 2020","39.00","37.10","39.00","37.00","6.70M","7.26%"
"Jan 22, 2020","36.36","36.00","36.60","35.60","3.50M","2.31%"
"Jan 21, 2020","35.54","34.35","36.62","34.35","6.68M","3.22%"
"Jan 20, 2020","34.43","34.45","34.86","33.95","2.34M","0.47%"
"Jan 17, 2020","34.27","34.22","34.88","34.13","2.35M","0.56%"
"Jan 16, 2020","34.08","33.67","34.49","33.16","2.95M","1.37%"
"Jan 15, 2020","33.62","34.13","34.68","33.20","3.16M","-1.90%"
"Jan 14, 2020","34.27","34.11","35.06","33.90","2.85M","0.79%"
"Jan 13, 2020","34.00","35.09","35.57","33.85","4.29M","-1.31%"
"Jan 10, 2020","34.45","35.38","35.69","34.35","3.68M","-1.15%"
"Jan 09, 2020","34.85","34.18","36.04","34.18","7.62M","2.02%"
"Jan 08, 2020","34.16","32.75","34.83","32.58","7.15M","5.01%"
"Jan 07, 2020","32.53","33.47","33.47","32.47","4.10M","-2.60%"
"Jan 06, 2020","33.40","31.88","33.48","31.65","5.96M","5.20%"
"Jan 03, 2020","31.75","30.80","33.16","30.55","9.03M","4.44%"
"Jan 02, 2020","30.40","30.25","30.80","30.09","2.72M","1.84%"
"Dec 30, 2019","29.85","30.59","30.72","29.85","2.28M","-1.94%"
"Dec 27, 2019","30.44","30.30","30.99","29.97","4.31M","0.89%"
"Dec 26, 2019","30.17","29.30","30.30","29.15","3.01M","3.15%"
"Dec 23, 2019","29.25","28.59","29.39","28.39","2.88M","3.07%"
"Dec 20, 2019","28.38","28.10","28.60","28.00","3.10M","1.32%"
"Dec 19, 2019","28.01","28.78","29.23","27.87","4.62M","-2.64%"
"Dec 18, 2019","28.77","28.58","29.21","28.37","2.86M","1.09%"
"Dec 17, 2019","28.46","28.52","28.97","28.31","1.44M","-0.63%"
"Dec 16, 2019","28.64","29.09","29.65","28.51","2.85M","-1.68%"
"Dec 13, 2019","29.13","29.27","29.67","28.99","1.33M","-0.55%"
"Dec 12, 2019","29.29","29.42","29.76","29.20","949.20K","-0.14%"
"Dec 11, 2019","29.33","29.24","29.62","29.08","2.06M","0.69%"
"Dec 10, 2019","29.13","28.95","29.60","28.71","1.88M","0.31%"
"Dec 09, 2019","29.04","29.45","29.81","28.92","2.19M","-0.92%"
"Dec 06, 2019","29.31","28.65","29.58","28.65","2.48M","2.34%"
"Dec 05, 2019","28.64","28.80","29.00","28.41","1.16M","-0.66%"
"Dec 04, 2019","28.83","28.65","29.05","28.41","1.88M","0.45%"
"Dec 03, 2019","28.70","28.51","29.18","28.32","2.70M","1.56%"
"Dec 02, 2019","28.26","28.14","28.58","28.02","1.83M","0.96%"
"Nov 29, 2019","27.99","27.87","28.46","27.62","2.12M","1.05%"
"Nov 28, 2019","27.70","27.76","27.99","27.52","1.07M","-0.22%"
"Nov 27, 2019","27.76","27.90","28.15","27.55","1.42M","-0.50%"
"Nov 26, 2019","27.90","27.85","28.09","27.51","2.05M","0.18%"
"Nov 25, 2019","27.85","28.04","28.18","27.57","1.53M","-0.18%"
"Nov 22, 2019","27.90","27.58","28.60","27.51","3.26M","1.16%"
"Nov 21, 2019","27.58","27.80","27.97","27.50","3.27M","-1.71%"
"Nov 19, 2019","28.06","28.56","28.75","27.79","2.46M","-1.65%"
"Nov 18, 2019","28.53","28.50","29.25","27.92","2.81M","-0.97%"
"Nov 14, 2019","28.81","30.37","30.64","28.81","4.99M","-5.51%"
"Nov 13, 2019","30.49","30.15","30.89","30.01","1.31M","0.43%"
"Nov 12, 2019","30.36","31.57","31.66","30.14","3.21M","-3.31%"
"Nov 11, 2019","31.40","31.30","31.70","30.61","2.70M","0.48%"
"Nov 08, 2019","31.25","30.55","31.70","30.20","5.73M","1.73%"
"Nov 07, 2019","30.72","29.15","30.99","29.04","8.76M","5.93%"
"Nov 06, 2019","29.00","29.61","30.15","28.66","3.26M","-2.06%"
"Nov 05, 2019","29.61","28.56","29.76","28.50","3.65M","3.79%"
"Nov 04, 2019","28.53","27.99","28.61","27.91","1.90M","2.37%"
"Nov 01, 2019","27.87","27.87","28.53","27.68","1.84M","0.61%"
"Oct 31, 2019","27.70","27.62","28.00","27.60","1.57M","-0.40%"
"Oct 30, 2019","27.81","27.77","27.90","27.50","1.61M","-0.14%"
