"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","8.00","7.64","8.11","7.62","3.11M","6.67%"
"May 15, 2020","7.50","7.80","7.99","7.50","2.61M","-4.34%"
"May 14, 2020","7.84","7.47","7.98","7.33","5.22M","3.16%"
"May 13, 2020","7.60","8.04","8.08","7.35","10.00M","-4.52%"
"May 12, 2020","7.96","8.16","8.32","7.88","3.73M","-1.12%"
"May 11, 2020","8.05","8.00","8.23","7.83","5.03M","0.37%"
"May 08, 2020","8.02","7.92","8.22","7.83","3.10M","1.01%"
"May 07, 2020","7.94","8.80","8.80","7.90","4.50M","-5.02%"
"May 06, 2020","8.36","8.60","8.60","8.22","1.81M","-2.11%"
"May 05, 2020","8.54","8.71","8.87","8.42","1.43M","-1.95%"
"May 04, 2020","8.71","8.50","8.71","8.38","3.46M","-0.34%"
"Apr 30, 2020","8.74","9.21","9.47","8.73","4.28M","-6.22%"
"Apr 29, 2020","9.32","9.44","9.55","9.17","1.37M","0.32%"
"Apr 28, 2020","9.29","8.86","9.29","8.81","1.23M","7.03%"
"Apr 27, 2020","8.68","8.82","8.88","8.46","4.07M","0.42%"
"Apr 24, 2020","8.64","9.09","9.29","8.22","4.20M","-7.13%"
"Apr 23, 2020","9.31","9.60","9.75","9.14","1.98M","-2.49%"
"Apr 22, 2020","9.54","9.35","9.77","9.27","1.96M","2.34%"
"Apr 20, 2020","9.33","9.07","9.50","8.96","1.23M","0.75%"
"Apr 17, 2020","9.26","9.11","9.30","8.87","5.12M","4.59%"
"Apr 16, 2020","8.85","8.90","9.08","8.71","2.67M","-0.45%"
"Apr 15, 2020","8.89","9.01","9.07","8.77","1.64M","-1.97%"
"Apr 14, 2020","9.07","8.93","9.20","8.85","1.59M","1.89%"
"Apr 13, 2020","8.90","8.75","8.92","8.33","3.44M","1.35%"
"Apr 09, 2020","8.78","9.35","9.54","8.69","2.47M","-4.93%"
"Apr 08, 2020","9.24","8.42","9.25","8.36","1.47M","9.76%"
"Apr 07, 2020","8.42","8.89","9.13","8.32","2.46M","-1.05%"
"Apr 06, 2020","8.51","8.56","8.98","8.31","1.48M","4.76%"
"Apr 03, 2020","8.12","8.71","8.71","8.05","1.92M","-7.45%"
"Apr 02, 2020","8.77","8.71","8.85","8.23","2.56M","1.03%"
"Apr 01, 2020","8.68","8.84","8.88","8.43","1.72M","-4.26%"
"Mar 31, 2020","9.07","9.59","9.78","8.78","1.83M","-6.91%"
"Mar 30, 2020","9.74","9.82","10.13","9.58","960.40K","-1.79%"
"Mar 27, 2020","9.92","9.68","10.14","9.50","1.01M","-0.90%"
"Mar 26, 2020","10.01","9.30","10.40","9.30","1.93M","6.15%"
"Mar 25, 2020","9.43","9.25","10.04","9.03","2.42M","3.63%"
"Mar 24, 2020","9.10","9.41","9.62","8.96","4.18M","1.11%"
"Mar 23, 2020","9.00","8.31","9.00","7.74","5.98M","8.17%"
"Mar 20, 2020","8.32","8.77","9.02","8.21","7.27M","1.09%"
"Mar 19, 2020","8.23","7.71","8.55","7.35","5.89M","4.97%"
"Mar 18, 2020","7.84","8.00","8.19","7.18","4.09M","-5.31%"
"Mar 17, 2020","8.28","8.62","8.83","8.12","4.16M","-0.72%"
"Mar 16, 2020","8.34","8.55","9.03","8.30","5.14M","-13.03%"
"Mar 13, 2020","9.59","10.05","10.05","8.55","4.80M","9.60%"
"Mar 12, 2020","8.75","9.86","9.86","8.60","3.61M","-22.43%"
"Mar 11, 2020","11.28","11.92","12.06","10.55","2.89M","-7.24%"
"Mar 10, 2020","12.16","12.00","12.33","11.49","4.32M","5.74%"
