"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2019","22.70","22.49","22.70","22.49","0.50K","2.25%"
"Nov 13, 2019","22.20","23.31","23.31","22.05","1.10K","-0.09%"
"Nov 12, 2019","22.22","23.31","23.31","22.05","5.00K","-2.54%"
"Nov 11, 2019","22.80","23.18","23.18","22.74","4.20K","1.83%"
"Nov 08, 2019","22.39","22.74","22.74","22.29","4.30K","-1.54%"
"Nov 07, 2019","22.74","23.62","23.62","22.54","1.10K","0.89%"
"Nov 06, 2019","22.54","23.62","23.62","22.54","2.20K","-2.38%"
"Nov 05, 2019","23.09","23.14","23.17","23.09","0.60K","0.87%"
"Nov 04, 2019","22.89","22.74","23.58","22.55","3.20K","-0.39%"
"Nov 01, 2019","22.98","22.70","23.18","22.64","3.80K","-0.39%"
"Oct 31, 2019","23.07","23.25","23.25","23.07","2.30K","-1.49%"
"Oct 30, 2019","23.42","23.50","24.38","23.42","0.60K","-1.10%"
"Oct 29, 2019","23.68","24.04","24.04","23.48","3.60K","-5.20%"
"Oct 28, 2019","24.98","23.49","24.98","22.90","5.70K","9.47%"
"Oct 25, 2019","22.82","22.41","23.08","22.41","0.50K","-0.39%"
"Oct 24, 2019","22.91","23.50","23.50","22.80","0.30K","-2.30%"
"Oct 23, 2019","23.45","23.12","23.46","23.12","1.10K","-0.09%"
"Oct 22, 2019","23.47","22.61","23.47","22.61","3.00K","4.31%"
"Oct 21, 2019","22.50","22.97","23.48","22.35","4.20K","-0.13%"
"Oct 18, 2019","22.53","22.52","22.53","22.52","0.30K","0.04%"
"Oct 17, 2019","22.52","22.45","22.52","22.26","1.50K","0.00%"
"Oct 16, 2019","22.52","22.65","22.65","22.52","0.80K","-0.66%"
"Oct 15, 2019","22.67","22.40","22.67","22.40","1.60K","1.21%"
"Oct 14, 2019","22.40","22.40","22.40","22.40","0.40K","-0.88%"
"Oct 11, 2019","22.60","22.87","22.87","22.60","0.70K","1.57%"
"Oct 10, 2019","22.25","22.34","22.40","22.25","0.70K","-0.22%"
"Oct 09, 2019","22.30","22.14","22.45","22.14","3.30K","0.90%"
"Oct 08, 2019","22.10","22.71","22.71","22.07","8.50K","-3.91%"
"Oct 07, 2019","23.00","22.73","23.00","22.71","1.80K","0.22%"
"Oct 04, 2019","22.95","22.96","22.96","22.76","0.50K","-0.22%"
"Oct 03, 2019","23.00","23.00","23.19","23.00","0.70K","0.00%"
"Oct 02, 2019","23.00","23.00","23.00","22.65","1.10K","-0.43%"
"Oct 01, 2019","23.10","23.41","23.41","23.01","2.50K","-3.75%"
"Sep 30, 2019","24.00","23.99","24.00","23.99","0.20K","0.00%"
"Sep 27, 2019","24.00","24.16","24.16","23.81","0.70K","-0.70%"
"Sep 26, 2019","24.17","23.99","24.17","23.53","13.20K","2.85%"
"Sep 25, 2019","23.50","23.01","23.96","23.01","2.10K","-0.84%"
"Sep 24, 2019","23.70","23.99","23.99","23.30","1.20K","1.72%"
"Sep 23, 2019","23.30","23.25","23.30","23.20","0.80K","-2.92%"
"Sep 20, 2019","24.00","24.09","24.09","23.90","0.90K","-0.08%"
"Sep 19, 2019","24.02","23.89","24.02","23.10","3.20K","0.33%"
"Sep 18, 2019","23.94","24.01","24.12","23.90","4.30K","-0.66%"
"Sep 17, 2019","24.10","24.50","24.50","24.07","1.20K","-1.63%"
"Sep 16, 2019","24.50","24.49","24.50","24.49","1.00K","-0.85%"
"Sep 13, 2019","24.71","24.85","24.85","24.51","2.00K","-0.56%"
"Sep 12, 2019","24.85","24.25","24.85","23.99","7.00K","2.52%"
"Sep 11, 2019","24.24","24.18","24.49","24.00","5.60K","1.17%"
"Sep 10, 2019","23.96","23.29","24.55","23.29","13.20K","3.36%"
"Sep 09, 2019","23.18","22.99","23.18","22.99","3.00K","3.02%"
"Sep 06, 2019","22.50","23.00","23.00","22.30","30.60K","-1.75%"
"Sep 05, 2019","22.90","22.55","22.95","22.55","2.30K","1.78%"
"Sep 04, 2019","22.50","22.46","22.84","22.46","2.00K","0.76%"
"Sep 03, 2019","22.33","23.14","23.14","22.27","1.20K","-0.98%"
"Sep 02, 2019","22.55","23.10","23.32","22.50","4.00K","-2.38%"
"Aug 30, 2019","23.10","22.90","23.25","22.06","4.30K","5.00%"
"Aug 29, 2019","22.00","22.24","22.25","22.00","1.60K","0.69%"
"Aug 28, 2019","21.85","21.85","21.85","21.85","0.20K","0.00%"
