"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","84.12","86.07","89.78","82.42","-","-2.27%"
"May 15, 2020","86.07","88.10","88.88","85.62","3.58M","-3.13%"
"May 14, 2020","88.85","91.88","91.88","87.57","4.00M","-2.80%"
"May 13, 2020","91.41","91.01","93.30","88.68","4.48M","2.12%"
"May 12, 2020","89.51","87.51","92.81","87.00","5.03M","2.96%"
"May 11, 2020","86.94","87.80","88.57","85.40","3.28M","-0.64%"
"May 08, 2020","87.50","91.52","92.69","84.50","7.66M","-2.99%"
"May 07, 2020","90.20","92.25","93.98","85.17","8.54M","1.14%"
"May 06, 2020","89.18","78.12","89.20","78.04","10.24M","19.13%"
"May 05, 2020","74.86","76.49","79.19","73.83","3.03M","1.07%"
"May 04, 2020","74.07","72.00","74.80","71.08","3.37M","1.12%"
"Apr 30, 2020","73.25","75.70","77.56","73.25","3.28M","-5.84%"
"Apr 29, 2020","77.79","79.10","79.70","77.79","2.52M","0.75%"
"Apr 28, 2020","77.21","77.01","79.65","76.22","5.37M","2.69%"
"Apr 27, 2020","75.19","71.72","75.77","71.70","4.12M","9.48%"
"Apr 24, 2020","68.68","71.05","71.85","64.20","5.65M","-5.66%"
"Apr 23, 2020","72.80","77.00","78.78","68.80","6.46M","-3.89%"
"Apr 22, 2020","75.75","65.72","76.83","64.72","9.06M","17.15%"
"Apr 20, 2020","64.66","60.00","66.20","59.44","3.52M","4.63%"
"Apr 17, 2020","61.80","66.22","66.38","60.82","3.73M","-4.47%"
"Apr 16, 2020","64.69","63.81","66.76","62.80","4.28M","3.01%"
"Apr 15, 2020","62.80","57.90","63.68","56.80","4.46M","5.55%"
"Apr 14, 2020","59.50","60.29","60.59","58.54","3.26M","2.06%"
"Apr 13, 2020","58.30","56.80","59.29","55.60","3.22M","0.99%"
"Apr 09, 2020","57.73","62.05","62.79","57.09","3.11M","-5.96%"
"Apr 08, 2020","61.39","57.50","61.76","55.87","2.76M","6.77%"
"Apr 07, 2020","57.50","58.59","63.20","56.63","4.96M","6.80%"
"Apr 06, 2020","53.84","48.10","54.42","47.50","3.39M","19.38%"
"Apr 03, 2020","45.10","49.33","49.33","44.75","4.00M","-9.33%"
"Apr 02, 2020","49.74","48.65","51.32","48.32","3.65M","3.45%"
"Apr 01, 2020","48.08","46.08","48.85","44.80","4.93M","0.17%"
"Mar 31, 2020","48.00","50.76","51.04","47.35","5.06M","-5.86%"
"Mar 30, 2020","50.99","52.45","54.00","49.59","3.91M","-0.57%"
"Mar 27, 2020","51.28","53.25","54.32","50.50","4.27M","-8.61%"
"Mar 26, 2020","56.11","60.65","62.56","55.50","5.49M","-6.48%"
"Mar 25, 2020","60.00","54.25","62.99","54.25","3.93M","9.49%"
"Mar 24, 2020","54.80","48.20","55.11","48.20","3.19M","20.86%"
"Mar 23, 2020","45.34","49.00","51.36","44.37","3.45M","-7.86%"
"Mar 20, 2020","49.21","51.52","54.21","49.11","5.56M","1.11%"
"Mar 19, 2020","48.67","49.97","52.25","48.12","7.57M","-4.57%"
"Mar 18, 2020","51.00","48.90","53.51","47.78","6.19M","-5.03%"
"Mar 17, 2020","53.70","51.54","55.43","49.01","4.81M","8.48%"
"Mar 16, 2020","49.50","45.10","55.50","45.10","8.65M","-9.64%"
"Mar 13, 2020","54.78","51.00","55.82","42.50","6.30M","27.40%"
"Mar 12, 2020","43.00","47.90","47.90","38.83","4.06M","-16.97%"
"Mar 11, 2020","51.79","52.09","54.74","47.39","5.26M","-5.70%"
"Mar 10, 2020","54.92","54.30","54.92","50.37","3.60M","11.51%"
"Mar 09, 2020","49.25","50.10","51.74","49.03","6.13M","-12.46%"
"Mar 06, 2020","56.26","57.56","59.88","55.00","5.87M","-9.77%"
"Mar 05, 2020","62.35","67.81","68.02","61.03","3.69M","-9.08%"
"Mar 04, 2020","68.58","68.00","69.75","67.22","3.04M","3.11%"
"Mar 03, 2020","66.51","63.85","68.91","63.70","4.96M","4.99%"
"Mar 02, 2020","63.35","62.40","65.25","60.52","4.33M","1.93%"
"Feb 28, 2020","62.15","62.20","63.35","58.36","6.96M","-0.89%"
"Feb 27, 2020","62.71","64.92","67.14","62.30","3.34M","-4.52%"
"Feb 26, 2020","65.68","69.05","69.69","64.70","3.67M","-9.73%"
"Feb 21, 2020","72.76","69.52","74.60","69.10","3.53M","2.49%"
"Feb 20, 2020","70.99","73.20","73.20","69.90","2.54M","-3.02%"
"Feb 19, 2020","73.20","72.00","74.37","71.87","1.85M","1.67%"
"Feb 18, 2020","72.00","71.20","72.90","71.05","1.59M","0.49%"
"Feb 17, 2020","71.65","70.91","72.50","69.88","1.68M","1.49%"
"Feb 14, 2020","70.60","73.21","73.83","69.30","2.56M","-3.72%"
"Feb 13, 2020","73.33","69.33","73.33","68.62","2.10M","3.38%"
"Feb 12, 2020","70.93","70.80","72.12","69.66","2.46M","0.47%"
"Feb 11, 2020","70.60","66.21","70.60","65.80","2.14M","7.34%"
"Feb 10, 2020","65.77","67.75","69.30","64.65","2.28M","-3.22%"
"Feb 07, 2020","67.96","71.50","71.52","67.96","2.15M","-4.95%"
"Feb 06, 2020","71.50","74.50","74.70","70.88","1.41M","-2.72%"
"Feb 05, 2020","73.50","74.65","75.55","73.07","1.30M","0.07%"
"Feb 04, 2020","73.45","72.75","74.29","72.37","1.19M","2.84%"
"Feb 03, 2020","71.42","71.92","73.46","71.12","1.48M","0.31%"
