"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","81.83","83.99","84.36","81.56","5.23M","-10.67%"
"Oct 24, 2019","91.60","91.99","92.03","91.45","772.74K","0.15%"
"Oct 23, 2019","91.46","90.96","91.72","90.60","889.73K","-0.47%"
"Oct 22, 2019","91.89","92.21","92.59","91.85","887.11K","-1.65%"
"Oct 21, 2019","93.43","93.60","93.70","93.12","721.61K","0.43%"
"Oct 18, 2019","93.03","92.98","93.32","92.77","604.71K","-0.27%"
"Oct 17, 2019","93.28","93.45","93.55","92.88","1.03M","1.08%"
"Oct 16, 2019","92.28","92.54","92.54","92.01","647.09K","0.22%"
"Oct 15, 2019","92.08","92.13","92.86","91.70","1.49M","0.88%"
"Oct 14, 2019","91.28","91.89","92.10","91.25","1.07M","-1.12%"
"Oct 11, 2019","92.31","92.54","92.68","92.05","769.17K","0.82%"
"Oct 10, 2019","91.56","91.46","92.28","91.31","927.23K","-1.05%"
"Oct 09, 2019","92.53","92.91","93.06","92.31","658.31K","0.63%"
"Oct 08, 2019","91.95","92.76","92.78","91.71","796.97K","-1.13%"
"Oct 07, 2019","93.00","93.51","93.96","92.99","911.68K","-0.35%"
"Oct 04, 2019","93.33","91.40","93.39","91.31","1.25M","1.56%"
"Oct 03, 2019","91.90","90.56","92.24","89.87","2.06M","0.92%"
"Oct 02, 2019","91.06","92.57","92.78","90.61","1.17M","-2.44%"
"Oct 01, 2019","93.34","94.59","94.75","92.87","1.36M","-1.90%"
"Sep 30, 2019","95.15","94.97","95.72","94.93","1.22M","0.77%"
"Sep 27, 2019","94.42","95.33","95.33","94.10","821.59K","-0.59%"
"Sep 26, 2019","94.98","94.40","95.48","94.40","594.84K","0.39%"
"Sep 25, 2019","94.61","94.43","94.85","94.00","773.08K","0.83%"
"Sep 24, 2019","93.83","94.65","94.73","93.23","1.09M","-2.61%"
"Sep 23, 2019","96.34","95.94","96.51","95.89","928.74K","0.02%"
"Sep 20, 2019","96.32","96.43","96.82","96.13","1.18M","1.41%"
"Sep 19, 2019","94.98","95.98","96.09","94.90","867.87K","-1.98%"
"Sep 18, 2019","96.90","96.39","97.05","96.31","1.05M","-0.07%"
"Sep 17, 2019","96.97","96.22","97.27","96.18","1.45M","1.28%"
"Sep 16, 2019","95.74","95.93","96.06","95.60","598.27K","-0.68%"
"Sep 13, 2019","96.40","96.34","97.01","96.02","1.14M","-1.10%"
"Sep 12, 2019","97.47","96.07","98.34","95.74","2.55M","3.39%"
"Sep 11, 2019","94.27","92.23","94.42","92.10","1.46M","0.07%"
"Sep 10, 2019","94.20","95.52","95.55","93.80","1.45M","-1.65%"
"Sep 09, 2019","95.78","93.13","95.84","93.13","2.40M","2.36%"
"Sep 06, 2019","93.57","92.84","93.60","92.79","1.12M","0.34%"
"Sep 05, 2019","93.25","94.15","94.38","93.06","1.34M","-1.56%"
"Sep 04, 2019","94.73","94.63","95.04","94.37","632.17K","0.82%"
"Sep 03, 2019","93.96","93.68","94.16","93.50","680.04K","-0.57%"
"Aug 30, 2019","94.50","95.50","95.54","94.32","589.27K","-0.80%"
"Aug 29, 2019","95.26","95.31","95.57","94.54","752.59K","1.73%"
"Aug 28, 2019","93.64","92.56","93.79","92.14","790.84K","0.70%"
"Aug 27, 2019","92.99","95.15","95.31","92.28","1.52M","-1.91%"
"Aug 26, 2019","94.80","94.72","94.99","94.29","1.06M","0.65%"
"Aug 23, 2019","94.19","96.01","96.38","93.86","1.02M","-1.45%"
"Aug 22, 2019","95.58","96.20","96.27","95.04","953.93K","-0.30%"
"Aug 21, 2019","95.87","96.11","96.41","95.67","785.38K","0.97%"
"Aug 20, 2019","94.95","95.42","95.65","94.84","969.76K","-1.01%"
"Aug 19, 2019","95.92","96.27","96.36","95.73","955.48K","0.66%"
"Aug 16, 2019","95.29","94.50","95.46","94.47","929.14K","1.77%"
"Aug 15, 2019","93.63","93.21","94.07","93.04","1.02M","0.29%"
"Aug 14, 2019","93.36","94.27","94.37","92.64","1.95M","-2.41%"
"Aug 13, 2019","95.67","95.22","96.98","95.06","1.66M","-0.62%"
"Aug 12, 2019","96.27","97.14","97.36","96.00","1.42M","-1.99%"
"Aug 09, 2019","98.22","98.42","98.79","97.32","1.08M","-0.29%"
"Aug 08, 2019","98.51","99.20","99.20","96.91","1.46M","0.35%"
