"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","43.52","41.75","43.67","41.36","1.66M","5.04%"
"Oct 24, 2019","41.43","41.49","41.95","40.82","628.45K","0.41%"
"Oct 23, 2019","41.26","40.66","41.39","40.50","597.53K","0.41%"
"Oct 22, 2019","41.09","41.80","42.17","40.70","781.15K","-1.34%"
"Oct 21, 2019","41.65","41.88","43.15","41.55","1.10M","1.59%"
"Oct 18, 2019","41.00","41.74","42.03","40.95","1.36M","-2.54%"
"Oct 17, 2019","42.07","45.14","45.14","41.98","1.58M","-5.65%"
"Oct 16, 2019","44.59","45.72","45.80","44.24","730.86K","-2.00%"
"Oct 15, 2019","45.50","44.72","46.10","44.72","1.10M","1.84%"
"Oct 14, 2019","44.68","44.96","45.59","44.29","693.76K","-0.76%"
"Oct 11, 2019","45.02","45.26","45.88","44.55","1.46M","3.33%"
"Oct 10, 2019","43.57","42.30","43.88","41.90","787.83K","3.54%"
"Oct 09, 2019","42.08","42.00","42.71","40.80","1.28M","3.39%"
"Oct 08, 2019","40.70","42.44","43.48","40.56","1.71M","-7.31%"
"Oct 07, 2019","43.91","43.72","44.35","43.14","613.97K","-0.14%"
"Oct 04, 2019","43.97","43.97","44.39","43.19","486.90K","0.39%"
"Oct 03, 2019","43.80","42.02","44.32","41.36","1.43M","4.21%"
"Oct 02, 2019","42.03","41.79","42.53","41.35","921.17K","-1.66%"
"Oct 01, 2019","42.74","42.92","43.17","41.84","858.01K","0.09%"
"Sep 30, 2019","42.70","43.68","43.69","42.20","840.09K","0.52%"
"Sep 27, 2019","42.48","44.38","45.10","40.97","2.22M","-3.08%"
"Sep 26, 2019","43.83","44.00","44.63","43.26","722.02K","0.18%"
"Sep 25, 2019","43.75","42.75","43.98","42.60","1.30M","3.99%"
"Sep 24, 2019","42.07","45.60","45.93","41.40","2.03M","-7.03%"
"Sep 23, 2019","45.25","46.00","46.48","44.67","790.76K","-3.39%"
"Sep 20, 2019","46.84","47.95","48.51","46.50","809.62K","-2.15%"
"Sep 19, 2019","47.87","48.00","50.33","47.66","1.48M","-0.15%"
"Sep 18, 2019","47.94","48.30","48.30","46.89","663.84K","0.40%"
"Sep 17, 2019","47.75","48.21","48.21","47.34","932.35K","-1.42%"
"Sep 16, 2019","48.44","47.08","48.53","46.34","908.44K","1.28%"
"Sep 13, 2019","47.83","47.49","48.20","47.16","876.54K","1.70%"
"Sep 12, 2019","47.03","47.50","47.75","45.97","872.49K","0.71%"
"Sep 11, 2019","46.70","46.08","46.90","46.05","1.16M","1.79%"
"Sep 10, 2019","45.88","47.49","47.54","45.40","1.41M","-4.62%"
"Sep 09, 2019","48.10","48.85","49.87","47.66","1.24M","-0.97%"
"Sep 06, 2019","48.57","47.10","49.64","47.01","2.20M","2.92%"
"Sep 05, 2019","47.19","46.72","47.38","46.64","1.77M","3.24%"
"Sep 04, 2019","45.71","45.82","46.24","45.36","1.25M","2.40%"
"Sep 03, 2019","44.64","45.00","45.43","44.28","2.30M","-2.45%"
