"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","7.40","7.05","7.48","6.85","4.12M","12.12%"
"May 15, 2020","6.60","6.60","7.25","6.39","4.14M","-0.60%"
"May 14, 2020","6.64","6.43","6.75","6.22","4.16M","1.53%"
"May 13, 2020","6.54","7.21","7.42","6.49","4.66M","-7.76%"
"May 12, 2020","7.09","7.34","7.87","7.00","2.41M","-3.27%"
"May 11, 2020","7.33","7.70","7.70","7.31","2.51M","-5.05%"
"May 08, 2020","7.72","8.20","8.27","7.64","2.44M","-4.46%"
"May 07, 2020","8.08","8.71","8.84","8.00","3.62M","-5.39%"
"May 06, 2020","8.54","8.65","8.89","8.24","2.06M","-0.81%"
"May 05, 2020","8.61","9.35","9.59","8.61","2.60M","-4.23%"
"May 04, 2020","8.99","9.10","9.32","8.80","1.64M","-4.87%"
"Apr 30, 2020","9.45","9.72","9.99","9.36","4.68M","-5.03%"
"Apr 29, 2020","9.95","9.21","10.00","9.01","3.87M","13.07%"
"Apr 28, 2020","8.80","8.41","9.19","8.32","3.77M","10.00%"
"Apr 27, 2020","8.00","8.65","8.67","7.96","2.36M","0.76%"
"Apr 24, 2020","7.94","8.99","9.02","7.79","2.90M","-12.75%"
"Apr 23, 2020","9.10","10.00","10.37","9.01","2.99M","-7.14%"
"Apr 22, 2020","9.80","9.36","10.13","9.35","2.04M","6.06%"
"Apr 20, 2020","9.24","8.85","9.36","8.62","1.60M","1.65%"
"Apr 17, 2020","9.09","9.64","9.74","9.00","1.73M","-2.78%"
"Apr 16, 2020","9.35","9.31","9.64","9.06","3.48M","2.75%"
"Apr 15, 2020","9.10","8.40","9.10","8.21","2.78M","8.33%"
"Apr 14, 2020","8.40","8.69","9.34","8.40","1.72M","-1.18%"
"Apr 13, 2020","8.50","8.59","8.84","8.33","2.40M","-1.16%"
"Apr 09, 2020","8.60","8.86","9.44","8.42","2.85M","-1.15%"
"Apr 08, 2020","8.70","8.10","9.45","7.81","3.82M","8.61%"
"Apr 07, 2020","8.01","7.39","8.56","7.21","4.22M","17.79%"
"Apr 06, 2020","6.80","6.55","6.90","6.15","2.49M","11.66%"
"Apr 03, 2020","6.09","6.12","6.23","5.53","3.06M","0.83%"
"Apr 02, 2020","6.04","5.90","6.32","5.82","2.77M","5.04%"
"Apr 01, 2020","5.75","6.44","6.44","5.75","2.64M","-14.18%"
"Mar 31, 2020","6.70","7.10","7.17","6.53","3.15M","-5.63%"
"Mar 30, 2020","7.10","7.30","7.60","7.00","3.14M","-1.53%"
"Mar 27, 2020","7.21","7.20","7.76","6.91","2.56M","-3.87%"
"Mar 26, 2020","7.50","7.06","8.35","6.87","4.79M","6.53%"
"Mar 25, 2020","7.04","6.50","7.48","6.12","4.47M","8.31%"
"Mar 24, 2020","6.50","6.40","7.04","6.29","2.79M","8.33%"
"Mar 23, 2020","6.00","6.25","6.25","5.26","3.16M","-5.51%"
"Mar 20, 2020","6.35","6.85","7.10","6.28","2.22M","5.83%"
"Mar 19, 2020","6.00","4.99","6.54","4.67","1.36M","13.21%"
"Mar 18, 2020","5.30","7.30","7.30","4.99","3.40M","-29.80%"
"Mar 17, 2020","7.55","8.32","8.50","7.43","4.22M","-8.48%"
"Mar 16, 2020","8.25","9.73","9.73","8.25","1.32M","-24.31%"
"Mar 13, 2020","10.90","11.33","11.70","9.90","3.28M","9.00%"
"Mar 12, 2020","10.00","10.86","10.86","9.56","1.91M","-18.30%"
"Mar 11, 2020","12.24","12.50","12.50","11.04","1.26M","-2.93%"
"Mar 10, 2020","12.61","12.66","12.66","11.58","1.79M","6.41%"
"Mar 09, 2020","11.85","12.56","12.57","11.70","1.65M","-11.30%"
"Mar 06, 2020","13.36","14.36","14.36","13.01","2.83M","-7.86%"
"Mar 05, 2020","14.50","15.95","16.02","14.43","2.24M","-9.32%"
"Mar 04, 2020","15.99","15.82","16.60","15.43","1.27M","2.17%"
"Mar 03, 2020","15.65","15.81","16.04","15.55","2.56M","-0.32%"
"Mar 02, 2020","15.70","15.15","15.79","15.11","1.13M","2.95%"
"Feb 28, 2020","15.25","15.50","15.66","14.75","4.91M","-3.42%"
"Feb 27, 2020","15.79","15.89","16.24","15.38","1.06M","-1.37%"
"Feb 26, 2020","16.01","16.60","16.60","15.96","1.01M","-8.51%"
"Feb 21, 2020","17.50","17.06","17.50","16.84","1.94M","1.16%"
"Feb 20, 2020","17.30","17.10","17.39","16.95","1.54M","1.17%"
"Feb 19, 2020","17.10","16.79","17.68","16.79","5.34M","1.24%"
"Feb 18, 2020","16.89","15.98","16.99","15.80","4.55M","5.23%"
"Feb 17, 2020","16.05","15.89","16.09","15.75","384.20K","1.01%"
"Feb 14, 2020","15.89","15.99","16.04","15.65","540.70K","0.00%"
"Feb 13, 2020","15.89","15.84","15.96","15.47","729.00K","-0.69%"
"Feb 12, 2020","16.00","15.60","16.10","15.60","2.32M","2.63%"
"Feb 11, 2020","15.59","15.00","15.60","14.94","1.39M","4.98%"
"Feb 10, 2020","14.85","15.51","15.51","14.85","1.40M","-4.50%"
"Feb 07, 2020","15.55","15.86","15.88","15.53","493.10K","-1.89%"
"Feb 06, 2020","15.85","16.24","16.35","15.83","906.40K","-2.28%"
"Feb 05, 2020","16.22","16.29","16.60","16.03","931.90K","-0.37%"
