"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2019","2.78","2.79","2.79","2.76","0.60K","0.00%"
"Oct 14, 2019","2.78","2.82","2.82","2.78","9.00K","-0.71%"
"Oct 11, 2019","2.80","2.79","2.82","2.78","20.10K","0.36%"
"Oct 10, 2019","2.79","2.82","2.84","2.76","26.20K","-0.36%"
"Oct 09, 2019","2.80","2.76","2.80","2.75","27.30K","1.82%"
"Oct 08, 2019","2.75","2.80","2.80","2.75","15.40K","-0.36%"
"Oct 07, 2019","2.76","2.83","2.87","2.76","25.10K","-1.78%"
"Oct 04, 2019","2.81","2.80","2.83","2.75","26.90K","0.72%"
"Oct 03, 2019","2.79","2.77","2.79","2.67","37.50K","0.72%"
"Oct 02, 2019","2.77","2.78","2.82","2.69","57.70K","0.36%"
"Oct 01, 2019","2.76","2.75","2.79","2.74","17.70K","0.73%"
"Sep 30, 2019","2.74","2.72","2.78","2.68","56.60K","0.74%"
"Sep 27, 2019","2.72","2.78","2.79","2.70","19.90K","-0.37%"
"Sep 26, 2019","2.73","2.84","2.84","2.70","113.20K","-2.50%"
"Sep 25, 2019","2.80","2.66","2.84","2.66","134.20K","5.26%"
"Sep 24, 2019","2.66","2.66","2.76","2.65","69.20K","1.14%"
"Sep 23, 2019","2.63","2.76","2.76","2.62","115.30K","-4.36%"
"Sep 20, 2019","2.75","3.06","3.19","2.72","497.30K","-8.64%"
"Sep 19, 2019","3.01","2.52","3.18","2.52","566.80K","20.40%"
"Sep 18, 2019","2.50","2.56","2.56","2.50","40.20K","0.00%"
"Sep 17, 2019","2.50","2.50","2.56","2.50","13.50K","-1.19%"
"Sep 16, 2019","2.53","2.55","2.56","2.42","13.80K","-0.39%"
"Sep 13, 2019","2.54","2.61","2.61","2.54","21.10K","0.00%"
"Sep 12, 2019","2.54","2.55","2.58","2.53","25.00K","1.20%"
"Sep 11, 2019","2.51","2.53","2.57","2.51","45.30K","0.40%"
"Sep 10, 2019","2.50","2.61","2.61","2.50","38.40K","-4.21%"
"Sep 09, 2019","2.61","2.66","2.66","2.61","6.50K","-1.14%"
"Sep 06, 2019","2.64","2.70","2.72","2.60","55.00K","-3.30%"
"Sep 05, 2019","2.73","2.78","2.78","2.73","1.40K","-1.09%"
"Sep 04, 2019","2.76","2.76","2.76","2.66","2.90K","2.22%"
"Sep 03, 2019","2.70","2.77","2.78","2.70","3.90K","-2.17%"
"Sep 02, 2019","2.76","2.78","2.80","2.71","13.00K","1.47%"
"Aug 30, 2019","2.72","2.68","2.72","2.67","11.50K","2.64%"
"Aug 29, 2019","2.65","2.69","2.70","2.61","28.80K","0.38%"
"Aug 28, 2019","2.64","2.72","2.72","2.62","27.40K","-2.94%"
"Aug 27, 2019","2.72","2.70","2.72","2.68","10.50K","1.49%"
"Aug 26, 2019","2.68","2.78","2.78","2.62","27.80K","-4.29%"
"Aug 23, 2019","2.80","2.88","2.90","2.80","12.60K","-3.11%"
"Aug 22, 2019","2.89","2.91","2.91","2.83","5.00K","0.35%"
"Aug 21, 2019","2.88","2.80","2.88","2.74","33.00K","2.86%"
"Aug 20, 2019","2.80","2.83","2.83","2.75","20.20K","-2.10%"
"Aug 19, 2019","2.86","2.85","2.90","2.82","6.80K","0.70%"
"Aug 16, 2019","2.84","2.90","2.90","2.80","15.20K","0.00%"
"Aug 15, 2019","2.84","2.85","2.91","2.78","66.40K","1.43%"
"Aug 14, 2019","2.80","2.88","3.00","2.77","158.40K","-0.71%"
"Aug 13, 2019","2.82","2.78","2.89","2.75","116.40K","2.55%"
"Aug 12, 2019","2.75","2.77","2.77","2.73","13.10K","-0.36%"
"Aug 09, 2019","2.76","2.77","2.77","2.70","24.20K","0.73%"
"Aug 08, 2019","2.74","2.72","2.80","2.72","46.60K","1.48%"
