"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19, 2019","95.00","95.00","95.00","95.00","0.10K","1.06%"
"Nov 18, 2019","94.00","95.97","96.97","94.00","0.60K","2.17%"
"Nov 14, 2019","92.00","92.00","92.00","92.00","0.90K","0.00%"
"Nov 12, 2019","92.00","92.01","92.01","91.99","0.60K","0.00%"
"Nov 11, 2019","92.00","91.95","92.00","91.95","0.80K","0.05%"
"Nov 08, 2019","91.95","91.50","91.95","91.50","0.20K","2.17%"
"Nov 07, 2019","90.00","94.00","94.00","90.00","2.30K","-3.25%"
"Nov 06, 2019","93.02","93.50","93.50","93.02","1.40K","0.01%"
"Nov 05, 2019","93.01","93.00","93.01","92.00","0.40K","-3.11%"
"Nov 04, 2019","96.00","96.00","96.98","96.00","0.50K","-1.02%"
"Nov 01, 2019","96.99","90.00","98.90","90.00","0.60K","8.98%"
"Oct 29, 2019","89.00","89.00","89.00","89.00","0.10K","0.00%"
"Oct 25, 2019","89.00","88.89","89.00","88.89","0.20K","0.95%"
"Oct 23, 2019","88.16","88.16","88.16","88.16","0.10K","-0.50%"
"Oct 21, 2019","88.60","88.60","88.60","88.60","0.10K","-0.10%"
"Oct 17, 2019","88.69","88.99","88.99","88.69","0.30K","3.13%"
"Oct 16, 2019","86.00","86.00","86.00","86.00","0.10K","1.79%"
"Oct 14, 2019","84.49","84.49","84.49","84.49","0.10K","1.62%"
"Oct 11, 2019","83.14","83.14","83.14","83.14","0.10K","-2.19%"
"Oct 07, 2019","85.00","85.00","85.00","85.00","0.10K","-1.16%"
"Oct 02, 2019","86.00","86.01","86.01","86.00","0.40K","0.00%"
"Oct 01, 2019","86.00","86.01","86.01","86.00","0.30K","0.00%"
"Sep 26, 2019","86.00","86.00","86.00","86.00","0.30K","1.37%"
"Sep 19, 2019","84.84","84.84","84.90","84.84","0.70K","-0.01%"
"Sep 18, 2019","84.85","84.84","84.85","84.84","0.20K","-0.12%"
"Sep 17, 2019","84.95","85.00","85.00","84.95","0.30K","2.40%"
"Sep 11, 2019","82.96","82.96","82.96","82.96","0.20K","0.00%"
"Sep 10, 2019","82.96","80.02","82.96","80.02","0.90K","3.58%"
"Sep 09, 2019","80.09","80.02","80.09","80.01","0.40K","0.10%"
"Sep 06, 2019","80.01","79.99","80.01","79.99","0.30K","0.01%"
"Sep 05, 2019","80.00","80.00","80.00","80.00","0.30K","0.00%"
"Sep 04, 2019","80.00","83.00","83.00","75.63","12.90K","-2.44%"
"Sep 03, 2019","82.00","82.99","82.99","82.00","0.20K","0.58%"
"Sep 02, 2019","81.53","81.53","81.53","81.53","0.10K","-1.77%"
"Aug 30, 2019","83.00","83.00","83.00","83.00","0.10K","1.84%"
"Aug 29, 2019","81.50","81.50","81.50","81.50","0.10K","0.60%"
"Aug 27, 2019","81.01","81.00","81.01","81.00","0.30K","0.01%"
"Aug 23, 2019","81.00","83.00","83.00","81.00","0.20K","-2.37%"
"Aug 19, 2019","82.97","82.97","82.97","82.97","0.20K","3.33%"
"Aug 15, 2019","80.30","80.10","80.30","80.00","0.30K","-0.01%"
"Aug 13, 2019","80.31","80.31","80.31","80.31","0.10K","0.37%"
"Aug 12, 2019","80.01","81.00","82.00","80.01","0.60K","-1.21%"
"Aug 09, 2019","80.99","79.51","80.99","79.51","0.30K","-0.26%"
"Aug 08, 2019","81.20","81.41","81.42","80.20","0.70K","1.50%"
"Aug 06, 2019","80.00","80.00","80.00","80.00","0.10K","-1.22%"
"Aug 01, 2019","80.99","80.00","80.99","78.70","1.20K","-1.24%"
"Jul 25, 2019","82.01","82.01","82.01","82.01","0.10K","-0.51%"
"Jul 23, 2019","82.43","82.26","82.43","82.26","0.30K","-4.03%"
"Jul 19, 2019","85.89","89.97","89.97","85.89","0.20K","4.74%"
"Jul 18, 2019","82.00","82.03","82.03","82.00","0.20K","0.00%"
"Jul 12, 2019","82.00","82.00","82.00","82.00","0.20K","0.00%"
