"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","21.920","21.540","22.310","21.320","3.25M","1.20%"
"Oct 24, 2019","21.660","21.750","22.025","21.350","3.11M","-0.41%"
"Oct 23, 2019","21.750","21.010","21.896","20.720","3.96M","2.84%"
"Oct 22, 2019","21.150","20.250","21.180","20.040","3.77M","3.93%"
"Oct 21, 2019","20.350","20.250","20.570","19.720","3.84M","0.69%"
"Oct 18, 2019","20.210","20.870","20.890","19.610","5.16M","-2.65%"
"Oct 17, 2019","20.760","20.750","20.910","19.860","7.01M","5.22%"
"Oct 16, 2019","19.730","20.130","20.190","19.140","4.84M","-1.84%"
"Oct 15, 2019","20.100","19.110","20.430","19.020","6.74M","6.57%"
"Oct 14, 2019","18.860","19.250","19.460","17.890","9.54M","-2.93%"
"Oct 11, 2019","19.430","20.000","20.880","19.260","10.87M","-4.85%"
"Oct 10, 2019","20.420","22.150","22.320","20.420","9.31M","-10.56%"
"Oct 09, 2019","22.830","22.800","23.170","22.380","2.52M","0.48%"
"Oct 08, 2019","22.720","21.920","23.090","21.380","4.76M","2.20%"
"Oct 07, 2019","22.230","22.690","22.760","21.910","3.33M","-3.01%"
"Oct 04, 2019","22.920","23.600","23.750","22.730","4.08M","-1.97%"
"Oct 03, 2019","23.380","21.980","23.430","21.520","5.70M","6.37%"
"Oct 02, 2019","21.980","21.460","22.580","20.520","8.14M","0.69%"
"Oct 01, 2019","21.830","22.640","22.910","21.620","5.85M","-4.80%"
"Sep 30, 2019","22.930","23.750","23.750","22.410","5.44M","-3.78%"
"Sep 27, 2019","23.830","23.950","25.120","23.710","5.29M","-3.68%"
"Sep 26, 2019","24.740","25.370","25.410","24.100","3.44M","0.20%"
"Sep 25, 2019","24.690","24.010","24.720","23.100","3.88M","2.83%"
"Sep 24, 2019","24.010","25.600","25.650","23.850","4.81M","-6.21%"
"Sep 23, 2019","25.600","25.240","26.050","25.020","2.87M","0.16%"
"Sep 20, 2019","25.560","26.150","26.400","25.000","5.57M","-2.96%"
"Sep 19, 2019","26.340","28.630","28.750","26.270","5.75M","-8.51%"
"Sep 18, 2019","28.790","28.350","28.890","28.220","2.85M","1.48%"
"Sep 17, 2019","28.370","28.300","28.630","27.780","3.15M","2.20%"
"Sep 16, 2019","27.760","27.290","28.740","27.190","3.85M","1.09%"
"Sep 13, 2019","27.460","26.750","27.480","26.540","2.55M","3.51%"
"Sep 12, 2019","26.530","26.720","27.258","26.520","2.50M","-3.18%"
"Sep 11, 2019","27.400","27.370","27.890","26.970","2.92M","-0.11%"
"Sep 10, 2019","27.430","26.920","27.590","26.360","3.53M","0.73%"
"Sep 09, 2019","27.230","28.250","28.410","26.810","4.61M","-1.55%"
"Sep 06, 2019","27.660","26.860","28.155","26.270","7.53M","4.77%"
"Sep 05, 2019","26.400","24.970","26.530","24.760","7.47M","7.40%"
"Sep 04, 2019","24.580","25.130","25.430","24.020","5.69M","-1.21%"
"Sep 03, 2019","24.880","23.420","24.990","23.200","5.08M","5.51%"
"Aug 30, 2019","23.580","24.280","24.750","23.500","3.76M","-2.28%"
"Aug 29, 2019","24.130","24.500","24.750","23.983","4.25M","-0.29%"
"Aug 28, 2019","24.200","23.310","24.370","22.760","6.83M","3.02%"
"Aug 27, 2019","23.490","25.260","25.280","23.360","7.18M","-6.19%"
"Aug 26, 2019","25.040","25.410","25.470","24.413","5.93M","0.60%"
"Aug 23, 2019","24.890","24.950","26.100","24.390","7.22M","-0.96%"
"Aug 22, 2019","25.130","26.790","26.920","25.120","8.23M","-5.42%"
"Aug 21, 2019","26.570","27.370","27.700","26.421","5.90M","-2.39%"
"Aug 20, 2019","27.220","27.000","27.760","26.810","5.23M","1.87%"
"Aug 19, 2019","26.720","28.300","28.300","26.460","6.02M","-4.94%"
"Aug 16, 2019","28.110","27.760","28.570","27.440","4.70M","2.82%"
"Aug 15, 2019","27.340","28.860","29.620","26.920","12.18M","-14.38%"
"Aug 14, 2019","31.930","32.810","33.250","31.290","5.53M","-6.64%"
"Aug 13, 2019","34.200","32.860","34.340","32.710","3.68M","4.05%"
"Aug 12, 2019","32.870","32.510","32.920","31.920","2.52M","-0.09%"
"Aug 09, 2019","32.900","32.630","33.050","31.820","2.99M","0.12%"
"Aug 08, 2019","32.860","33.100","33.330","32.400","2.19M","2.02%"
"Aug 07, 2019","32.210","32.310","32.380","31.630","2.55M","-0.56%"
"Aug 06, 2019","32.390","31.880","33.320","31.810","3.31M","3.22%"
"Aug 05, 2019","31.380","32.650","32.650","30.750","3.14M","-4.07%"
"Aug 02, 2019","32.710","31.800","32.760","31.560","3.95M","4.91%"
"Aug 01, 2019","31.180","32.510","32.610","30.900","4.60M","-4.47%"
"Jul 31, 2019","32.640","33.305","33.900","32.600","3.00M","-1.69%"
"Jul 30, 2019","33.200","32.779","34.080","32.280","3.73M","-0.90%"
"Jul 29, 2019","33.500","34.820","34.820","32.880","4.58M","-3.79%"
"Jul 26, 2019","34.820","34.930","35.480","34.570","2.72M","-0.74%"
"Jul 25, 2019","35.080","35.110","36.310","35.020","2.65M","-0.93%"
"Jul 24, 2019","35.410","35.120","35.780","34.920","2.02M","-0.31%"
"Jul 23, 2019","35.520","34.760","35.610","34.460","2.41M","1.92%"
"Jul 22, 2019","34.850","35.400","35.450","34.410","2.81M","-1.80%"
"Jul 19, 2019","35.490","35.780","36.150","35.370","2.11M","-0.87%"
"Jul 18, 2019","35.800","36.350","36.485","35.460","2.74M","-2.16%"
"Jul 17, 2019","36.590","36.100","36.740","35.750","4.73M","2.90%"
"Jul 16, 2019","35.560","35.260","36.220","34.800","4.11M","1.11%"
"Jul 15, 2019","35.170","34.230","35.830","33.380","7.10M","2.81%"
"Jul 12, 2019","34.210","36.250","36.500","34.040","14.20M","-7.76%"
"Jul 11, 2019","37.090","38.520","38.823","36.710","7.43M","-3.91%"
"Jul 10, 2019","38.600","39.150","39.670","38.600","3.45M","-1.33%"
"Jul 09, 2019","39.120","39.020","39.440","38.110","5.11M","-0.91%"
"Jul 08, 2019","39.480","39.950","39.980","39.000","3.64M","-1.69%"
"Jul 05, 2019","40.160","40.560","40.650","39.830","3.13M","-2.19%"
"Jul 03, 2019","41.060","38.550","41.070","38.080","9.98M","2.45%"
"Jul 02, 2019","40.080","40.320","40.410","39.550","2.71M","-1.26%"
"Jul 01, 2019","40.590","40.750","40.980","40.350","1.72M","0.69%"
"Jun 28, 2019","40.310","41.490","41.650","40.150","2.93M","-0.86%"
"Jun 27, 2019","40.660","39.790","41.120","39.520","2.89M","2.34%"
"Jun 26, 2019","39.730","39.870","39.870","39.040","3.27M","-0.10%"
"Jun 25, 2019","39.770","40.330","40.560","39.700","3.42M","-1.97%"
"Jun 24, 2019","40.570","40.320","40.660","38.440","6.35M","1.02%"
"Jun 21, 2019","40.160","40.850","42.070","39.750","12.48M","-8.12%"
"Jun 20, 2019","43.710","43.870","43.940","42.470","6.21M","2.20%"
"Jun 19, 2019","42.770","42.300","43.050","41.980","3.24M","1.74%"
"Jun 18, 2019","42.040","42.120","42.620","41.810","2.35M","0.41%"
"Jun 17, 2019","41.870","41.450","41.980","40.880","2.48M","1.68%"
"Jun 14, 2019","41.180","41.260","41.650","40.450","2.61M","-1.62%"
"Jun 13, 2019","41.860","42.740","43.230","41.550","2.98M","-2.29%"
"Jun 12, 2019","42.840","42.350","42.920","41.550","1.93M","-0.26%"
"Jun 11, 2019","42.950","44.130","44.170","42.370","2.65M","-1.85%"
"Jun 10, 2019","43.760","42.670","44.050","42.614","3.82M","3.72%"
"Jun 07, 2019","42.190","41.600","42.530","41.540","3.81M","1.91%"
"Jun 06, 2019","41.400","41.170","41.750","40.050","3.18M","1.40%"
"Jun 05, 2019","40.830","41.810","41.860","39.900","4.08M","-0.41%"
"Jun 04, 2019","41.000","39.520","41.050","39.200","4.01M","5.86%"
"Jun 03, 2019","38.730","40.290","40.800","38.380","6.30M","-3.80%"
"May 31, 2019","40.260","41.420","41.550","40.000","6.24M","-4.55%"
"May 30, 2019","42.180","42.660","43.500","42.100","2.98M","-0.71%"
"May 29, 2019","42.480","44.200","44.261","42.170","5.42M","-4.84%"
