"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","108.32","108.16","108.69","107.53","1.68M","-0.17%"
"Oct 24, 2019","108.50","107.92","108.71","107.38","1.79M","1.08%"
"Oct 23, 2019","107.34","106.64","107.58","106.14","1.25M","0.66%"
"Oct 22, 2019","106.64","107.28","107.97","106.63","676.97K","-0.70%"
"Oct 21, 2019","107.39","107.89","108.33","107.36","742.70K","-0.02%"
"Oct 18, 2019","107.41","108.12","108.59","107.26","708.82K","-0.59%"
"Oct 17, 2019","108.05","108.34","108.68","107.41","774.75K","-0.14%"
"Oct 16, 2019","108.20","108.15","108.55","107.39","1.22M","-0.64%"
"Oct 15, 2019","108.90","108.96","109.86","108.64","884.75K","0.15%"
"Oct 14, 2019","108.74","109.67","109.84","108.28","879.98K","-2.26%"
"Oct 11, 2019","111.26","110.08","111.82","109.54","608.53K","1.63%"
"Oct 10, 2019","109.48","109.67","110.06","108.61","1.04M","-0.62%"
"Oct 09, 2019","110.16","110.15","110.83","109.66","871.99K","0.70%"
"Oct 08, 2019","109.39","109.45","110.51","108.68","1.10M","-1.37%"
"Oct 07, 2019","110.91","110.15","111.69","110.13","687.52K","-0.08%"
"Oct 04, 2019","111.00","108.87","111.07","108.13","1.28M","2.87%"
"Oct 03, 2019","107.90","107.45","108.32","106.06","1.04M","-0.05%"
"Oct 02, 2019","107.95","107.00","108.00","105.19","1.32M","0.48%"
"Oct 01, 2019","107.43","109.37","111.47","107.32","1.22M","-1.89%"
"Sep 30, 2019","109.50","108.32","110.28","107.61","936.09K","1.23%"
"Sep 27, 2019","108.17","109.47","109.59","107.46","686.58K","-0.87%"
"Sep 26, 2019","109.12","108.02","109.48","107.70","709.96K","1.27%"
"Sep 25, 2019","107.75","106.37","107.79","105.36","839.38K","1.49%"
"Sep 24, 2019","106.17","108.63","108.99","106.03","840.42K","-2.09%"
"Sep 23, 2019","108.44","109.14","109.14","107.84","866.96K","-0.42%"
"Sep 20, 2019","108.90","108.30","109.25","107.81","1.26M","0.67%"
"Sep 19, 2019","108.18","108.72","110.41","107.90","1.57M","-2.62%"
"Sep 18, 2019","111.09","110.45","111.17","109.92","649.55K","0.36%"
"Sep 17, 2019","110.69","110.96","110.96","109.74","591.52K","-0.29%"
"Sep 16, 2019","111.01","110.75","113.54","110.15","864.93K","-0.78%"
"Sep 13, 2019","111.88","111.51","111.92","110.91","624.19K","0.50%"
"Sep 12, 2019","111.32","113.00","113.57","110.74","796.83K","-1.15%"
"Sep 11, 2019","112.61","111.05","112.71","107.37","768.91K","1.20%"
"Sep 10, 2019","111.28","109.63","111.32","108.98","1.19M","1.26%"
"Sep 09, 2019","109.89","108.05","110.03","107.70","1.95M","2.28%"
"Sep 06, 2019","107.44","108.64","108.64","107.25","990.15K","-0.52%"
