"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","41.05","41.00","41.11","40.92","697.08K","-0.63%"
"Oct 24, 2019","41.31","41.32","41.39","41.24","904.18K","0.19%"
"Oct 23, 2019","41.23","41.29","41.40","41.16","710.73K","-0.77%"
"Oct 22, 2019","41.55","41.69","41.77","41.55","551.67K","-0.43%"
"Oct 21, 2019","41.73","42.17","42.35","41.51","973.94K","-0.78%"
"Oct 18, 2019","42.06","42.20","42.51","41.80","2.58M","-0.19%"
"Oct 17, 2019","42.14","42.01","42.18","41.94","1.60M","1.79%"
"Oct 16, 2019","41.40","41.60","41.62","41.33","510.79K","-0.79%"
"Oct 15, 2019","41.73","42.05","42.05","41.72","884.68K","-0.67%"
"Oct 14, 2019","42.01","42.25","42.32","41.98","843.82K","-1.08%"
"Oct 11, 2019","42.47","42.64","42.69","42.40","764.05K","1.51%"
"Oct 10, 2019","41.84","41.72","41.84","41.62","514.63K","0.58%"
"Oct 09, 2019","41.60","41.69","41.78","41.55","603.77K","0.07%"
"Oct 08, 2019","41.57","41.54","41.81","41.48","1.66M","-0.43%"
"Oct 07, 2019","41.75","41.73","41.83","41.54","824.17K","0.05%"
"Oct 04, 2019","41.73","41.50","41.75","41.45","1.36M","-0.95%"
"Oct 03, 2019","42.13","41.82","42.16","41.72","727.86K","1.76%"
"Oct 02, 2019","41.40","41.12","41.63","41.12","1.02M","-0.31%"
"Oct 01, 2019","41.53","41.34","41.56","41.29","1.18M","0.31%"
"Sep 30, 2019","41.40","41.07","41.61","41.07","841.90K","1.47%"
"Sep 27, 2019","40.80","40.96","41.08","40.52","1.14M","0.10%"
"Sep 26, 2019","40.76","41.13","41.13","40.71","618.54K","-1.52%"
"Sep 25, 2019","41.39","41.26","41.56","41.16","624.81K","0.27%"
"Sep 24, 2019","41.28","41.35","41.45","41.25","505.52K","0.58%"
"Sep 23, 2019","41.04","40.90","41.10","40.90","684.11K","0.05%"
"Sep 20, 2019","41.02","41.33","41.34","40.98","743.75K","-0.73%"
"Sep 19, 2019","41.32","41.56","41.63","41.31","526.69K","-1.24%"
"Sep 18, 2019","41.84","41.89","42.08","41.65","475.47K","-0.81%"
"Sep 17, 2019","42.18","42.06","42.26","41.92","506.88K","-0.73%"
"Sep 16, 2019","42.49","42.50","42.61","42.39","600.63K","-0.63%"
"Sep 13, 2019","42.76","42.90","42.99","42.70","645.08K","-0.14%"
"Sep 12, 2019","42.82","42.98","42.99","42.78","560.02K","-0.07%"
"Sep 11, 2019","42.85","42.78","42.98","42.66","658.93K","1.47%"
"Sep 10, 2019","42.23","42.12","42.32","42.04","665.24K","0.64%"
"Sep 09, 2019","41.96","41.94","42.07","41.90","442.64K","0.05%"
"Sep 06, 2019","41.94","42.02","42.05","41.85","541.24K","0.17%"
"Sep 05, 2019","41.87","42.05","42.19","41.73","579.54K","-0.48%"
"Sep 04, 2019","42.07","42.00","42.15","41.93","600.52K","1.94%"
"Sep 03, 2019","41.27","41.32","41.34","41.11","673.40K","-0.10%"
"Aug 30, 2019","41.31","41.55","41.60","41.21","453.87K","-0.58%"
"Aug 29, 2019","41.55","41.59","41.62","41.37","400.07K","1.12%"
"Aug 28, 2019","41.09","40.94","41.30","40.89","662.83K","-1.37%"
"Aug 27, 2019","41.66","42.03","42.15","41.66","676.61K","-1.40%"
"Aug 26, 2019","42.25","42.19","42.40","42.05","562.89K","1.44%"
"Aug 23, 2019","41.65","42.10","42.33","41.61","722.60K","-0.90%"
"Aug 22, 2019","42.03","42.37","42.39","41.98","709.12K","-1.27%"
"Aug 21, 2019","42.57","42.63","42.70","42.44","730.01K","0.16%"
"Aug 20, 2019","42.50","42.74","42.76","42.47","1.07M","0.85%"
"Aug 19, 2019","42.14","42.26","42.50","42.09","780.68K","0.33%"
"Aug 16, 2019","42.00","41.97","42.11","41.95","882.80K","0.48%"
"Aug 15, 2019","41.80","41.81","42.00","41.49","1.58M","5.00%"
"Aug 14, 2019","39.81","39.99","40.13","39.77","1.24M","-1.70%"
"Aug 13, 2019","40.50","40.25","40.68","40.05","1.09M","-0.22%"
"Aug 12, 2019","40.59","40.85","41.00","40.55","746.03K","-1.81%"
"Aug 09, 2019","41.34","41.43","41.70","41.17","962.10K","2.05%"
"Aug 08, 2019","40.51","40.38","40.70","40.14","1.28M","0.82%"
"Aug 07, 2019","40.18","40.21","40.33","40.05","1.45M","-1.28%"
"Aug 06, 2019","40.70","40.92","40.96","40.40","1.00M","1.40%"
"Aug 05, 2019","40.14","40.48","40.56","40.02","1.22M","-3.51%"
