"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","45.51","44.96","45.93","44.83","474.25K","2.87%"
"Oct 25, 2019","44.24","44.15","45.63","44.06","620.67K","0.09%"
"Oct 24, 2019","44.20","46.00","46.33","42.83","1.11M","0.91%"
"Oct 23, 2019","43.80","42.27","44.24","41.40","1.58M","3.50%"
"Oct 22, 2019","42.32","42.38","43.53","41.85","871.63K","0.62%"
"Oct 21, 2019","42.06","40.70","42.57","40.70","946.71K","4.13%"
"Oct 18, 2019","40.39","42.07","43.02","40.39","941.56K","-3.99%"
"Oct 17, 2019","42.07","43.22","43.22","41.91","906.96K","-3.49%"
"Oct 16, 2019","43.59","44.27","45.75","43.48","1.05M","-2.15%"
"Oct 15, 2019","44.55","44.03","45.73","43.67","461.30K","1.02%"
"Oct 14, 2019","44.10","43.74","44.34","43.00","395.16K","-0.09%"
"Oct 11, 2019","44.14","43.51","44.66","43.14","605.29K","3.52%"
"Oct 10, 2019","42.64","42.31","42.80","42.03","362.64K","1.40%"
"Oct 09, 2019","42.05","42.86","43.02","40.76","579.33K","-1.27%"
"Oct 08, 2019","42.59","42.96","43.89","42.52","396.35K","-1.91%"
"Oct 07, 2019","43.42","43.83","44.74","43.36","334.85K","-0.57%"
"Oct 04, 2019","43.67","45.16","45.34","42.76","751.72K","-3.32%"
"Oct 03, 2019","45.17","43.31","45.29","42.93","325.00K","3.89%"
"Oct 02, 2019","43.48","43.75","44.38","43.12","364.97K","-1.07%"
"Oct 01, 2019","43.95","46.94","47.25","43.75","481.09K","-5.73%"
"Sep 30, 2019","46.62","45.82","46.74","45.73","336.19K","1.64%"
"Sep 27, 2019","45.87","45.08","46.24","45.08","278.16K","0.72%"
"Sep 26, 2019","45.54","45.91","45.91","44.80","304.57K","-1.87%"
"Sep 25, 2019","46.41","46.22","47.16","45.45","446.25K","-0.96%"
"Sep 24, 2019","46.86","48.26","48.40","45.33","734.30K","-3.22%"
"Sep 23, 2019","48.42","48.17","49.38","48.02","567.62K","-0.82%"
"Sep 20, 2019","48.82","50.03","50.31","47.92","1.59M","-2.09%"
"Sep 19, 2019","49.86","49.70","50.62","49.44","943.79K","1.44%"
"Sep 18, 2019","49.15","49.50","50.27","48.55","963.62K","-1.72%"
"Sep 17, 2019","50.01","51.33","51.61","48.46","1.30M","-3.49%"
"Sep 16, 2019","51.82","48.60","52.13","47.85","1.42M","10.47%"
"Sep 13, 2019","46.91","47.44","48.12","46.53","538.42K","-0.15%"
