"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","25.82","25.75","26.02","24.03","4.13M","4.66%"
"May 15, 2020","24.67","22.99","24.89","22.77","3.70M","7.26%"
"May 14, 2020","23.00","22.39","23.28","21.87","1.81M","-0.86%"
"May 13, 2020","23.20","23.80","24.16","22.35","3.19M","-1.28%"
"May 12, 2020","23.50","25.30","25.95","23.33","3.44M","-6.08%"
"May 11, 2020","25.02","25.28","25.64","24.38","2.65M","-3.58%"
"May 08, 2020","25.95","28.20","28.56","25.44","3.36M","-6.42%"
"May 07, 2020","27.73","31.02","31.08","27.73","2.88M","-6.79%"
"May 06, 2020","29.75","30.80","31.24","28.64","1.73M","-1.69%"
"May 05, 2020","30.26","32.50","33.04","30.02","1.86M","-4.24%"
"May 04, 2020","31.60","29.99","31.75","29.20","1.61M","0.00%"
"Apr 30, 2020","31.60","32.00","33.16","30.98","2.01M","-4.24%"
"Apr 29, 2020","33.00","33.30","34.70","31.68","3.06M","1.85%"
"Apr 28, 2020","32.40","29.52","33.09","29.26","3.35M","13.52%"
"Apr 27, 2020","28.54","28.90","29.64","27.45","2.03M","4.05%"
"Apr 24, 2020","27.43","28.58","29.23","25.90","1.94M","-6.54%"
"Apr 23, 2020","29.35","32.00","33.60","29.04","2.84M","-4.15%"
"Apr 22, 2020","30.62","27.50","31.14","27.49","4.27M","13.53%"
"Apr 20, 2020","26.97","24.10","27.21","24.05","2.56M","7.75%"
"Apr 17, 2020","25.03","24.77","25.63","24.24","2.04M","5.35%"
"Apr 16, 2020","23.76","25.29","25.57","23.76","1.15M","-2.62%"
"Apr 15, 2020","24.40","24.01","25.58","23.50","1.20M","-2.40%"
"Apr 14, 2020","25.00","25.10","25.95","24.68","1.38M","2.04%"
"Apr 13, 2020","24.50","25.50","26.15","24.50","1.65M","-4.37%"
"Apr 09, 2020","25.62","26.24","26.75","25.25","1.84M","0.00%"
"Apr 08, 2020","25.62","25.20","26.21","24.71","2.36M","1.67%"
"Apr 07, 2020","25.20","25.50","26.39","25.00","4.00M","9.52%"
"Apr 06, 2020","23.01","21.59","24.47","20.86","4.95M","18.00%"
"Apr 03, 2020","19.50","21.22","21.22","19.00","2.20M","-7.36%"
"Apr 02, 2020","21.05","21.35","21.95","20.05","2.89M","0.24%"
"Apr 01, 2020","21.00","22.40","22.62","21.00","2.31M","-12.72%"
"Mar 31, 2020","24.06","26.37","26.46","23.33","1.66M","-8.03%"
"Mar 30, 2020","26.16","26.52","27.87","25.71","1.33M","-0.61%"
"Mar 27, 2020","26.32","28.20","28.86","26.30","2.02M","-10.42%"
"Mar 26, 2020","29.38","26.00","30.05","25.54","1.73M","11.20%"
