"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","4.21","4.15","4.40","4.11","49.28M","0.24%"
"May 14, 2020","4.20","4.06","4.30","3.95","49.86M","1.20%"
"May 13, 2020","4.15","4.38","4.45","3.97","66.48M","-4.82%"
"May 12, 2020","4.36","4.58","4.82","4.34","67.10M","-3.54%"
"May 11, 2020","4.52","4.67","4.72","4.50","47.26M","-4.44%"
"May 08, 2020","4.73","4.81","4.92","4.64","41.86M","0.42%"
"May 07, 2020","4.71","5.05","5.08","4.70","58.93M","-5.42%"
"May 06, 2020","4.98","5.01","5.14","4.68","59.02M","0.40%"
"May 05, 2020","4.96","5.37","5.41","4.93","55.79M","-4.98%"
"May 04, 2020","5.22","5.40","5.46","5.14","66.41M","-5.78%"
"Apr 30, 2020","5.54","5.45","5.73","5.22","104.21M","-0.89%"
"Apr 29, 2020","5.59","5.14","5.65","4.98","77.44M","12.25%"
"Apr 28, 2020","4.98","4.76","5.05","4.65","60.71M","8.26%"
"Apr 27, 2020","4.60","4.78","4.82","4.55","38.37M","-0.22%"
"Apr 24, 2020","4.61","4.84","4.89","4.25","55.69M","-5.92%"
"Apr 23, 2020","4.90","5.17","5.20","4.76","40.18M","-3.54%"
"Apr 22, 2020","5.08","5.04","5.28","5.01","40.31M","-0.20%"
"Apr 20, 2020","5.09","4.90","5.26","4.83","43.58M","0.99%"
"Apr 17, 2020","5.04","5.30","5.41","4.90","44.52M","-1.37%"
"Apr 16, 2020","5.11","5.54","5.60","5.04","44.77M","-2.67%"
"Apr 15, 2020","5.25","4.83","5.50","4.72","62.67M","5.85%"
"Apr 14, 2020","4.96","5.07","5.18","4.90","40.85M","1.85%"
"Apr 13, 2020","4.87","4.60","4.88","4.55","39.96M","6.33%"
"Apr 09, 2020","4.58","4.65","4.89","4.46","47.86M","-0.43%"
"Apr 08, 2020","4.60","4.46","4.62","4.30","64.79M","2.68%"
"Apr 07, 2020","4.48","4.65","4.92","4.40","62.79M","6.67%"
"Apr 06, 2020","4.20","3.93","4.20","3.85","51.91M","12.90%"
"Apr 03, 2020","3.72","3.68","3.90","3.58","49.12M","1.64%"
"Apr 02, 2020","3.66","4.00","4.12","3.57","44.93M","-5.43%"
"Apr 01, 2020","3.87","3.85","4.14","3.75","39.25M","-3.25%"
