"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","30.25","30.59","30.69","30.02","2.75M","1.89%"
"May 15, 2020","29.69","29.83","30.11","29.38","3.97M","1.16%"
"May 14, 2020","29.35","28.10","29.38","27.62","2.77M","4.08%"
"May 13, 2020","28.20","29.24","29.97","27.94","5.93M","-2.73%"
"May 12, 2020","28.99","29.45","29.94","28.99","3.22M","-0.62%"
"May 11, 2020","29.17","29.52","29.62","28.57","2.01M","-1.62%"
"May 08, 2020","29.65","28.78","29.87","28.03","2.40M","5.18%"
"May 07, 2020","28.19","30.53","30.56","28.19","5.29M","-6.35%"
"May 06, 2020","30.10","30.50","30.77","29.75","3.42M","-0.95%"
"May 05, 2020","30.39","29.30","30.85","29.12","4.14M","3.19%"
"May 04, 2020","29.45","28.20","29.53","27.95","4.88M","1.41%"
"Apr 30, 2020","29.04","29.97","30.93","29.04","10.59M","-3.33%"
"Apr 29, 2020","30.04","31.00","31.30","29.74","4.31M","-2.15%"
"Apr 28, 2020","30.70","30.25","30.95","29.85","5.12M","3.47%"
"Apr 27, 2020","29.67","28.15","29.89","28.15","3.85M","6.15%"
"Apr 24, 2020","27.95","29.63","29.85","27.00","3.90M","-6.65%"
"Apr 23, 2020","29.94","30.23","30.66","29.60","2.09M","-0.53%"
"Apr 22, 2020","30.10","29.70","30.96","29.70","3.16M","0.27%"
"Apr 20, 2020","30.02","29.07","30.43","28.97","3.67M","1.45%"
"Apr 17, 2020","29.59","30.13","30.44","29.45","2.92M","-0.60%"
"Apr 16, 2020","29.77","29.64","30.19","29.16","3.64M","0.51%"
"Apr 15, 2020","29.62","29.03","30.38","29.02","5.40M","0.41%"
"Apr 14, 2020","29.50","29.22","30.06","28.92","3.39M","2.47%"
"Apr 13, 2020","28.79","27.82","28.79","27.22","1.73M","3.56%"
"Apr 09, 2020","27.80","27.89","28.07","27.40","3.43M","0.72%"
"Apr 08, 2020","27.60","27.35","27.77","26.61","4.04M","1.02%"
"Apr 07, 2020","27.32","27.11","29.18","27.00","5.38M","2.94%"
"Apr 06, 2020","26.54","26.83","27.19","25.76","3.16M","2.75%"
"Apr 03, 2020","25.83","25.90","26.41","25.13","4.57M","-0.27%"
"Apr 02, 2020","25.90","26.30","26.85","25.63","2.20M","-1.48%"
"Apr 01, 2020","26.29","25.99","26.86","25.80","3.44M","-2.16%"
"Mar 31, 2020","26.87","27.22","28.35","26.30","2.95M","-0.70%"
"Mar 30, 2020","27.06","27.21","28.11","26.76","3.16M","0.26%"
"Mar 27, 2020","26.99","26.50","27.80","26.41","3.07M","-3.85%"
"Mar 26, 2020","28.07","25.87","29.00","25.62","4.77M","7.84%"
"Mar 25, 2020","26.03","25.49","26.78","24.95","4.59M","2.89%"
"Mar 24, 2020","25.30","25.01","25.98","23.80","5.08M","7.66%"
"Mar 23, 2020","23.50","25.10","25.18","22.18","5.67M","-6.93%"
"Mar 20, 2020","25.25","25.50","26.38","24.62","5.68M","3.06%"
"Mar 19, 2020","24.50","24.35","25.57","23.41","6.39M","-2.78%"
"Mar 18, 2020","25.20","28.22","28.22","22.84","6.47M","-13.67%"
"Mar 17, 2020","29.19","28.60","30.30","28.40","4.78M","3.88%"
"Mar 16, 2020","28.10","27.50","29.01","25.90","3.00M","-7.32%"
"Mar 13, 2020","30.32","30.83","30.83","28.18","5.47M","8.79%"
"Mar 12, 2020","27.87","28.20","28.69","24.51","5.10M","-13.18%"
"Mar 11, 2020","32.10","33.73","34.20","30.08","4.43M","-6.85%"
"Mar 10, 2020","34.46","36.05","36.20","33.39","5.50M","1.35%"
"Mar 09, 2020","34.00","35.22","35.22","33.15","4.34M","-8.11%"
"Mar 06, 2020","37.00","36.76","37.00","35.38","3.45M","-2.12%"
"Mar 05, 2020","37.80","38.61","38.89","37.28","2.58M","-3.32%"
