"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","32.03","32.31","32.39","31.89","415.89K","-1.20%"
"Oct 28, 2019","32.42","32.35","32.72","32.15","1.89M","1.73%"
"Oct 25, 2019","31.87","31.10","32.09","30.58","1.56M","1.82%"
"Oct 24, 2019","31.30","31.34","31.71","30.79","1.26M","-1.04%"
"Oct 23, 2019","31.63","31.93","31.93","31.33","1.27M","-0.60%"
"Oct 22, 2019","31.82","31.48","31.86","30.74","1.82M","1.14%"
"Oct 21, 2019","31.46","31.54","32.00","31.41","1.91M","1.39%"
"Oct 18, 2019","31.03","30.47","31.36","30.36","1.98M","0.19%"
"Oct 17, 2019","30.97","31.00","31.24","30.65","1.26M","0.26%"
"Oct 16, 2019","30.89","30.12","30.95","30.12","2.32M","2.62%"
"Oct 15, 2019","30.10","29.64","30.60","29.27","1.78M","1.65%"
"Oct 14, 2019","29.61","29.31","29.63","28.63","2.11M","0.03%"
"Oct 11, 2019","29.60","28.79","30.07","28.74","2.73M","4.78%"
"Oct 10, 2019","28.25","27.88","28.56","27.63","1.90M","1.51%"
"Oct 09, 2019","27.83","28.31","28.55","27.68","2.35M","-0.32%"
"Oct 08, 2019","27.92","28.26","28.46","27.75","2.52M","-3.16%"
"Oct 07, 2019","28.83","29.31","29.52","28.82","2.04M","-1.74%"
"Oct 04, 2019","29.34","29.26","29.41","28.73","2.61M","-0.47%"
"Oct 03, 2019","29.48","29.52","29.71","28.40","3.11M","-0.44%"
"Oct 02, 2019","29.61","31.03","31.07","29.45","3.51M","-5.82%"
"Oct 01, 2019","31.44","33.24","33.27","31.41","3.56M","-5.19%"
"Sep 30, 2019","33.16","32.67","33.23","32.38","2.48M","1.66%"
"Sep 27, 2019","32.62","32.83","33.45","32.44","2.59M","-0.37%"
"Sep 26, 2019","32.74","33.07","33.07","32.26","1.45M","-0.37%"
"Sep 25, 2019","32.86","32.75","33.69","32.47","2.28M","0.49%"
"Sep 24, 2019","32.70","32.98","33.23","32.33","2.83M","-0.27%"
"Sep 23, 2019","32.79","31.57","32.91","31.32","2.46M","1.86%"
"Sep 20, 2019","32.19","32.59","33.27","32.14","3.33M","-1.17%"
"Sep 19, 2019","32.57","32.32","32.78","32.11","2.70M","0.87%"
"Sep 18, 2019","32.29","32.78","33.00","31.82","2.97M","1.89%"
"Sep 17, 2019","31.69","31.94","31.95","31.06","2.09M","-1.77%"
"Sep 16, 2019","32.26","31.66","32.69","31.66","2.12M","0.78%"
"Sep 13, 2019","32.01","32.23","32.96","31.68","3.47M","-0.59%"
"Sep 12, 2019","32.20","31.51","32.30","30.86","3.38M","0.50%"
"Sep 11, 2019","32.04","31.39","32.32","30.26","4.04M","2.04%"
"Sep 10, 2019","31.40","29.92","31.46","29.80","4.96M","5.55%"
"Sep 09, 2019","29.75","28.23","29.95","28.22","3.90M","5.99%"
"Sep 06, 2019","28.07","28.44","28.74","27.78","2.50M","-0.81%"
"Sep 05, 2019","28.30","27.10","28.37","27.10","5.34M","6.95%"
"Sep 04, 2019","26.46","25.78","26.73","25.73","3.99M","3.48%"
"Sep 03, 2019","25.57","26.01","26.22","25.25","3.53M","-3.07%"
"Aug 30, 2019","26.38","26.61","27.09","26.36","2.26M","-0.64%"
"Aug 29, 2019","26.55","26.54","26.88","26.19","3.01M","1.34%"
"Aug 28, 2019","26.20","25.79","26.48","25.43","3.01M","1.20%"
"Aug 27, 2019","25.89","26.89","26.89","25.85","3.24M","-3.18%"
"Aug 26, 2019","26.74","26.89","27.21","26.23","2.95M","-0.04%"
"Aug 23, 2019","26.75","27.54","27.88","26.64","3.91M","-4.50%"
"Aug 22, 2019","28.01","28.10","28.60","27.65","3.20M","0.32%"
"Aug 21, 2019","27.92","28.10","28.20","27.80","2.31M","0.90%"
"Aug 20, 2019","27.67","28.32","28.41","27.25","4.74M","-3.18%"
"Aug 19, 2019","28.58","28.88","28.98","28.24","3.64M","1.20%"
"Aug 16, 2019","28.24","27.80","28.50","27.58","3.70M","4.63%"
"Aug 15, 2019","26.99","28.67","28.68","26.61","7.84M","-5.89%"
"Aug 14, 2019","28.68","29.50","29.52","28.17","4.45M","-5.50%"
"Aug 13, 2019","30.35","29.70","31.43","29.37","2.80M","1.68%"
"Aug 12, 2019","29.85","30.53","30.78","29.29","4.13M","-3.71%"
"Aug 09, 2019","31.00","32.32","32.37","30.52","6.20M","-5.17%"
"Aug 08, 2019","32.69","32.37","32.90","32.01","3.75M","0.40%"
"Aug 07, 2019","32.56","31.57","33.10","31.50","5.08M","3.07%"
"Aug 06, 2019","31.59","31.94","32.05","31.25","3.93M","-0.38%"
"Aug 05, 2019","31.71","32.25","32.32","31.08","4.93M","-4.46%"
"Aug 02, 2019","33.19","33.60","34.04","32.97","2.85M","-2.30%"
"Aug 01, 2019","33.97","35.59","35.72","33.14","3.59M","-4.55%"
"Jul 31, 2019","35.59","35.71","35.91","35.25","2.52M","-0.67%"
"Jul 30, 2019","35.83","36.00","36.19","35.03","3.40M","-1.29%"
"Jul 29, 2019","36.30","36.00","36.38","35.51","1.70M","0.61%"
"Jul 26, 2019","36.08","36.65","36.66","35.67","1.61M","-1.23%"
"Jul 25, 2019","36.53","36.33","36.82","36.10","1.38M","-0.49%"
"Jul 24, 2019","36.71","36.49","37.23","36.21","1.93M","1.02%"
"Jul 23, 2019","36.34","36.00","36.48","35.62","2.60M","1.94%"
"Jul 22, 2019","35.65","36.64","36.99","35.40","2.56M","-1.87%"
"Jul 19, 2019","36.33","36.27","36.89","35.89","2.20M","1.06%"
"Jul 18, 2019","35.95","36.60","36.74","35.60","1.84M","-1.80%"
"Jul 17, 2019","36.61","37.07","37.07","36.45","2.37M","-1.21%"
"Jul 16, 2019","37.06","36.93","37.59","36.90","2.70M","0.32%"
"Jul 15, 2019","36.94","36.80","37.67","36.43","2.44M","1.29%"
"Jul 12, 2019","36.47","35.36","36.85","35.25","2.30M","3.90%"
"Jul 11, 2019","35.10","34.73","35.52","34.52","2.61M","1.36%"
"Jul 10, 2019","34.63","34.41","34.69","34.13","2.14M","0.96%"
"Jul 09, 2019","34.30","34.28","34.38","33.74","2.58M","-0.58%"
"Jul 08, 2019","34.50","34.56","34.73","33.95","1.90M","-0.72%"
"Jul 05, 2019","34.75","34.69","35.26","34.51","1.15M","-0.03%"
"Jul 03, 2019","34.76","34.33","35.03","34.06","1.30M","1.49%"
"Jul 02, 2019","34.25","34.76","34.76","33.99","2.09M","-1.69%"
"Jul 01, 2019","34.84","35.30","35.89","34.43","2.65M","0.46%"
"Jun 28, 2019","34.68","34.21","34.96","34.04","2.41M","2.00%"
