"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","36.34","36.23","36.57","36.20","548.18K","0.92%"
"Oct 24, 2019","36.01","36.37","36.39","35.90","787.23K","0.73%"
"Oct 23, 2019","35.75","35.72","35.91","35.57","654.16K","2.17%"
"Oct 22, 2019","34.99","35.26","35.33","34.96","473.29K","-0.85%"
"Oct 21, 2019","35.29","35.53","35.57","35.26","426.85K","0.92%"
"Oct 18, 2019","34.97","35.03","35.12","34.79","373.02K","0.09%"
"Oct 17, 2019","34.94","35.13","35.26","34.87","598.13K","-0.06%"
"Oct 16, 2019","34.96","34.83","35.12","34.68","538.29K","0.49%"
"Oct 15, 2019","34.79","34.65","35.02","34.47","846.33K","1.81%"
"Oct 14, 2019","34.17","34.16","34.45","34.09","587.57K","0.80%"
"Oct 11, 2019","33.90","34.21","34.44","33.89","803.69K","2.02%"
"Oct 10, 2019","33.23","32.95","33.31","32.85","718.97K","2.15%"
"Oct 09, 2019","32.53","32.45","32.61","32.28","447.75K","1.59%"
"Oct 08, 2019","32.02","31.95","32.23","31.83","731.94K","-2.17%"
"Oct 07, 2019","32.73","32.70","32.94","32.67","536.92K","-1.12%"
"Oct 04, 2019","33.10","32.60","33.10","32.56","515.36K","0.79%"
"Oct 03, 2019","32.84","32.67","33.02","32.40","610.29K","0.46%"
"Oct 02, 2019","32.69","33.28","33.28","32.63","873.32K","-3.20%"
"Oct 01, 2019","33.77","34.34","34.46","33.70","985.01K","-1.72%"
"Sep 30, 2019","34.36","34.35","34.62","34.28","799.13K","0.82%"
"Sep 27, 2019","34.08","34.04","34.37","33.84","1.22M","0.53%"
"Sep 26, 2019","33.90","33.64","33.95","33.63","945.02K","1.59%"
"Sep 25, 2019","33.37","33.11","33.40","32.98","463.01K","-0.18%"
"Sep 24, 2019","33.43","33.72","33.82","33.43","603.64K","-0.77%"
"Sep 23, 2019","33.69","33.57","33.80","33.54","311.27K","-0.71%"
"Sep 20, 2019","33.93","34.61","34.69","33.92","640.87K","-0.91%"
"Sep 19, 2019","34.24","34.42","34.65","34.24","329.23K","0.56%"
"Sep 18, 2019","34.05","33.95","34.20","33.82","331.50K","-0.09%"
"Sep 17, 2019","34.08","33.77","34.11","33.74","725.53K","-0.53%"
"Sep 16, 2019","34.26","34.78","34.78","34.12","632.36K","-2.70%"
"Sep 13, 2019","35.21","35.44","35.50","35.09","684.91K","1.27%"
"Sep 12, 2019","34.77","34.67","34.94","34.54","447.79K","0.78%"
"Sep 11, 2019","34.50","34.32","34.50","34.16","378.13K","1.50%"
"Sep 10, 2019","33.99","33.81","33.99","33.63","336.26K","0.74%"
"Sep 09, 2019","33.74","33.91","33.91","33.64","277.65K","-0.24%"
"Sep 06, 2019","33.82","33.86","33.95","33.74","429.49K","0.33%"
"Sep 05, 2019","33.71","34.07","34.11","33.59","760.77K","-0.91%"
"Sep 04, 2019","34.02","33.91","34.12","33.84","264.43K","1.28%"
"Sep 03, 2019","33.59","33.59","33.63","33.18","553.27K","-0.09%"
"Aug 30, 2019","33.62","33.98","34.00","33.38","387.97K","0.33%"
"Aug 29, 2019","33.51","33.17","33.58","33.15","696.05K","3.01%"
"Aug 28, 2019","32.53","32.26","32.67","32.14","1.63M","-0.49%"
"Aug 27, 2019","32.69","32.53","32.96","32.53","1.66M","-0.34%"
"Aug 26, 2019","32.80","32.62","32.94","32.52","856.40K","-0.15%"
