"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","21.00","21.01","21.01","21.00","0.90K","-3.18%"
"Nov 19, 2019","21.69","21.50","21.70","21.50","0.60K","-0.60%"
"Nov 18, 2019","21.82","22.49","22.49","21.51","1.20K","-2.46%"
"Nov 14, 2019","22.37","23.79","23.79","22.12","0.50K","-2.70%"
"Nov 13, 2019","22.99","22.01","22.99","22.00","2.00K","1.77%"
"Nov 12, 2019","22.59","22.49","22.65","22.41","0.60K","-1.09%"
"Nov 11, 2019","22.84","23.52","23.52","21.21","14.10K","-7.34%"
"Nov 08, 2019","24.65","24.65","24.65","24.65","0.10K","0.45%"
"Nov 07, 2019","24.54","24.29","24.54","24.29","0.30K","-0.20%"
"Nov 06, 2019","24.59","24.50","24.65","24.11","1.50K","0.00%"
"Nov 05, 2019","24.59","24.03","24.65","24.01","0.70K","-1.24%"
"Oct 31, 2019","24.90","24.75","24.90","24.75","0.20K","2.05%"
"Oct 30, 2019","24.40","24.89","24.89","24.40","0.40K","-1.41%"
"Oct 29, 2019","24.75","24.71","24.84","24.51","2.00K","-0.96%"
"Oct 28, 2019","24.99","24.99","24.99","24.51","0.80K","1.42%"
"Oct 25, 2019","24.64","24.65","24.65","24.64","0.40K","0.86%"
"Oct 24, 2019","24.43","24.61","24.88","24.43","4.20K","-2.28%"
"Oct 23, 2019","25.00","25.20","25.29","25.00","0.70K","-0.75%"
"Oct 22, 2019","25.19","25.10","25.39","24.81","2.40K","-0.40%"
"Oct 21, 2019","25.29","24.39","25.49","24.39","1.80K","4.07%"
"Oct 18, 2019","24.30","24.40","24.40","24.00","3.00K","2.75%"
"Oct 17, 2019","23.65","23.75","23.75","23.31","0.90K","-0.42%"
"Oct 16, 2019","23.75","23.85","23.90","23.61","2.20K","-0.08%"
"Oct 15, 2019","23.77","23.73","23.77","23.60","1.90K","0.76%"
"Oct 14, 2019","23.59","23.77","23.88","23.24","3.70K","-0.76%"
"Oct 11, 2019","23.77","23.59","23.88","23.01","4.20K","-0.79%"
"Oct 10, 2019","23.96","23.50","23.96","23.50","2.60K","-2.08%"
"Oct 09, 2019","24.47","24.47","24.47","24.47","0.10K","1.16%"
"Oct 08, 2019","24.19","24.19","24.19","24.19","0.10K","1.68%"
"Oct 07, 2019","23.79","23.99","23.99","23.79","0.60K","0.00%"
"Oct 04, 2019","23.79","23.70","23.79","23.22","0.60K","-0.34%"
"Oct 03, 2019","23.87","23.70","23.87","23.60","0.40K","-0.08%"
"Oct 02, 2019","23.89","23.68","23.89","23.68","0.30K","0.04%"
"Oct 01, 2019","23.88","23.88","23.88","23.88","0.10K","0.80%"
"Sep 30, 2019","23.69","24.00","24.00","23.51","0.50K","-3.19%"
"Sep 27, 2019","24.47","24.47","24.47","24.47","0.10K","0.33%"
"Sep 26, 2019","24.39","23.60","24.39","23.57","0.70K","3.79%"
"Sep 25, 2019","23.50","23.45","23.50","23.39","1.20K","0.13%"
"Sep 24, 2019","23.47","23.47","23.47","23.47","0.10K","-0.04%"
"Sep 23, 2019","23.48","23.47","23.48","23.47","0.90K","0.04%"
"Sep 20, 2019","23.47","23.02","23.47","22.88","1.40K","2.00%"
"Sep 19, 2019","23.01","23.49","23.49","23.00","1.80K","-1.03%"
"Sep 18, 2019","23.25","23.45","23.48","22.89","4.80K","0.56%"
"Sep 17, 2019","23.12","23.51","23.55","23.00","6.20K","-5.09%"
"Sep 16, 2019","24.36","24.69","24.69","24.35","0.60K","1.50%"
"Sep 13, 2019","24.00","25.01","25.01","24.00","5.40K","-3.19%"
"Sep 12, 2019","24.79","25.79","25.79","24.79","5.20K","-3.16%"
"Sep 11, 2019","25.60","25.12","25.60","25.01","2.50K","-0.78%"
"Sep 10, 2019","25.80","25.92","26.05","25.25","0.60K","-2.86%"
"Sep 09, 2019","26.56","25.60","26.56","25.60","1.90K","-1.19%"
"Sep 06, 2019","26.88","26.71","26.88","26.71","0.20K","1.70%"
"Sep 04, 2019","26.43","27.02","27.02","26.43","0.60K","-2.83%"
"Sep 03, 2019","27.20","27.51","27.51","27.00","2.90K","-1.48%"
"Sep 02, 2019","27.61","28.29","28.29","27.38","5.00K","-2.40%"
"Aug 30, 2019","28.29","28.00","28.29","28.00","2.20K","1.18%"
"Aug 29, 2019","27.96","27.01","27.99","27.01","2.70K","-0.11%"
"Aug 28, 2019","27.99","27.99","27.99","27.99","0.10K","1.89%"
"Aug 27, 2019","27.47","27.20","27.49","26.51","2.90K","-1.86%"
"Aug 26, 2019","27.99","27.51","27.99","27.51","0.20K","-1.06%"
"Aug 22, 2019","28.29","28.05","28.49","28.01","0.60K","-2.41%"
"Aug 21, 2019","28.99","28.99","29.44","28.45","0.40K","1.76%"
"Aug 20, 2019","28.49","28.00","28.49","28.00","0.20K","0.35%"
"Aug 19, 2019","28.39","27.99","28.50","27.99","0.90K","3.24%"
"Aug 16, 2019","27.50","27.80","27.80","25.50","3.60K","-4.75%"
"Aug 15, 2019","28.87","28.51","28.97","28.00","1.40K","-1.94%"
"Aug 14, 2019","29.44","30.00","30.00","28.51","2.80K","-4.04%"
"Aug 13, 2019","30.68","30.68","30.68","30.68","0.10K","0.26%"
"Aug 12, 2019","30.60","30.50","30.60","30.09","1.30K","-1.29%"
"Aug 06, 2019","31.00","30.99","31.00","30.99","0.20K","-0.26%"
"Aug 05, 2019","31.08","31.11","31.11","30.95","0.40K","-2.69%"
"Aug 01, 2019","31.94","31.49","31.99","30.11","2.20K","3.70%"
"Jul 31, 2019","30.80","31.46","31.99","30.01","4.30K","-2.13%"
"Jul 30, 2019","31.47","31.29","31.49","31.29","0.50K","0.54%"
"Jul 26, 2019","31.30","31.30","31.30","31.00","1.10K","-1.57%"
"Jul 25, 2019","31.80","31.01","31.80","31.00","0.90K","-0.56%"
"Jul 24, 2019","31.98","31.95","31.99","31.95","0.60K","0.03%"
"Jul 23, 2019","31.97","31.97","31.97","31.97","0.10K","0.50%"
"Jul 22, 2019","31.81","32.34","32.34","31.51","1.20K","0.03%"
"Jul 19, 2019","31.80","32.30","32.40","31.01","5.60K","-1.55%"
"Jul 18, 2019","32.30","31.92","32.30","31.51","2.00K","1.19%"
"Jul 17, 2019","31.92","31.92","31.92","31.92","0.40K","0.13%"
"Jul 16, 2019","31.88","31.48","31.88","31.48","0.40K","0.73%"
"Jul 12, 2019","31.65","30.99","31.78","30.99","0.60K","1.80%"
"Jul 11, 2019","31.09","30.80","31.09","30.80","0.70K","-0.03%"
"Jul 10, 2019","31.10","30.00","31.10","30.00","3.40K","4.01%"
"Jul 08, 2019","29.90","29.49","29.99","29.47","2.00K","1.39%"
"Jul 05, 2019","29.49","28.95","29.49","28.95","0.60K","1.69%"
"Jul 04, 2019","29.00","29.00","29.00","29.00","0.10K","-0.34%"
"Jul 03, 2019","29.10","29.04","29.10","29.04","0.30K","-1.36%"
"Jul 02, 2019","29.50","28.00","29.99","28.00","2.20K","4.61%"
"Jul 01, 2019","28.20","27.00","28.20","27.00","12.50K","7.63%"
"Jun 28, 2019","26.20","26.00","26.20","25.65","2.20K","4.76%"
"Jun 27, 2019","25.01","25.01","25.01","25.01","0.20K","-4.18%"
"Jun 26, 2019","26.10","26.00","26.10","26.00","0.20K","2.27%"
"Jun 25, 2019","25.52","25.53","25.60","25.52","0.60K","-2.22%"
"Jun 24, 2019","26.10","26.10","26.10","26.10","0.10K","1.24%"
"Jun 21, 2019","25.78","25.75","25.85","25.75","1.20K","0.12%"
"Jun 19, 2019","25.75","25.39","25.80","25.30","2.40K","1.78%"
"Jun 18, 2019","25.30","25.97","25.97","25.30","1.30K","1.61%"
"Jun 17, 2019","24.90","25.01","25.15","24.90","0.70K","1.63%"
"Jun 14, 2019","24.50","25.50","25.50","24.00","0.90K","-3.92%"
"Jun 13, 2019","25.50","25.50","25.50","25.50","0.40K","-1.92%"
"Jun 11, 2019","26.00","26.77","26.77","25.65","1.80K","-1.33%"
"Jun 10, 2019","26.35","26.01","26.40","26.01","0.90K","1.39%"
"Jun 07, 2019","25.99","25.34","25.99","25.30","1.80K","2.44%"
"Jun 06, 2019","25.37","25.15","25.37","25.15","0.20K","0.87%"
"Jun 05, 2019","25.15","25.15","25.15","24.87","0.60K","0.84%"
"Jun 04, 2019","24.94","24.50","24.94","24.50","0.90K","5.01%"
"Jun 03, 2019","23.75","23.90","23.90","23.05","1.00K","-0.63%"
"May 31, 2019","23.90","24.01","24.30","23.70","0.70K","-1.81%"
"May 30, 2019","24.34","23.40","24.34","23.35","1.30K","4.69%"
"May 29, 2019","23.25","23.05","23.43","22.70","9.70K","-3.13%"
"May 28, 2019","24.00","24.00","24.60","24.00","4.50K","-2.72%"
"May 27, 2019","24.67","25.18","25.18","24.67","0.40K","-3.25%"
"May 24, 2019","25.50","26.39","26.39","25.50","0.20K","-0.58%"
"May 23, 2019","25.65","25.70","25.79","25.65","0.30K","-3.75%"
"May 22, 2019","26.65","26.04","26.65","26.00","1.30K","1.02%"
"May 20, 2019","26.38","25.00","26.38","24.10","1.00K","1.46%"
"May 17, 2019","26.00","25.74","26.00","25.58","2.80K","-1.89%"
"May 16, 2019","26.50","27.00","27.00","26.00","0.90K","-3.81%"
"May 15, 2019","27.55","27.49","27.55","27.01","2.20K","-1.57%"
"May 13, 2019","27.99","28.15","28.15","27.99","0.20K","-1.79%"
"May 10, 2019","28.50","28.78","28.78","28.10","0.30K","-0.97%"
"May 09, 2019","28.78","28.12","28.78","28.00","0.30K","0.10%"
"May 08, 2019","28.75","28.30","28.75","28.30","0.20K","2.79%"
"May 07, 2019","27.97","28.79","28.79","27.95","0.60K","-0.11%"
"May 06, 2019","28.00","28.58","28.58","27.21","1.10K","-2.44%"
"May 03, 2019","28.70","29.60","29.60","28.70","0.80K","-2.31%"
"May 02, 2019","29.38","29.90","29.90","27.66","1.30K","-0.37%"
"Apr 30, 2019","29.49","29.48","29.49","29.05","0.30K","-13.26%"
"Apr 29, 2019","34.00","32.94","34.00","32.94","0.70K","3.25%"
"Apr 26, 2019","32.93","31.30","32.93","31.30","0.40K","5.88%"
"Apr 25, 2019","31.10","30.30","31.10","29.80","1.10K","2.67%"
"Apr 24, 2019","30.29","30.40","30.40","30.01","0.60K","-0.03%"
"Apr 23, 2019","30.30","30.40","30.40","30.30","0.20K","0.33%"
"Apr 22, 2019","30.20","30.53","30.53","30.06","0.70K","-0.98%"
"Apr 18, 2019","30.50","30.90","31.14","30.03","0.90K","-1.29%"
"Apr 17, 2019","30.90","31.50","31.78","30.90","0.80K","0.98%"
"Apr 16, 2019","30.60","27.79","30.60","27.00","2.50K","6.66%"
"Apr 15, 2019","28.69","29.80","29.80","28.69","1.60K","-10.37%"
"Apr 12, 2019","32.01","32.21","32.21","28.86","7.70K","0.16%"
"Apr 11, 2019","31.96","40.49","40.49","28.50","15.60K","-22.90%"
"Apr 10, 2019","41.45","41.49","41.49","41.30","0.60K","-0.12%"
"Apr 09, 2019","41.50","41.00","41.50","41.00","0.70K","0.48%"
"Apr 08, 2019","41.30","41.00","41.40","40.72","0.90K","0.36%"
"Apr 05, 2019","41.15","40.80","41.15","40.80","0.20K","-0.60%"
"Apr 04, 2019","41.40","41.40","41.40","41.40","0.20K","-0.96%"
"Apr 03, 2019","41.80","41.79","41.80","41.70","2.50K","0.00%"
"Apr 02, 2019","41.80","40.48","41.98","40.48","2.50K","1.95%"
