"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","44.95","45.00","45.00","44.95","29.37K","0.22%"
"Oct 28, 2019","44.85","40.83","44.94","40.77","1.37M","12.55%"
"Oct 25, 2019","39.85","39.46","40.40","39.46","255.89K","0.20%"
"Oct 24, 2019","39.77","39.64","40.00","39.06","246.77K","1.38%"
"Oct 23, 2019","39.23","38.78","39.87","38.56","189.70K","0.59%"
"Oct 22, 2019","39.00","40.81","41.43","38.31","666.73K","-2.62%"
"Oct 21, 2019","40.05","38.21","40.80","38.09","771.95K","5.64%"
"Oct 18, 2019","37.91","37.77","38.45","37.21","394.52K","0.00%"
"Oct 17, 2019","37.91","37.97","38.45","37.72","282.71K","0.42%"
"Oct 16, 2019","37.75","38.31","38.55","37.41","444.62K","-0.55%"
"Oct 15, 2019","37.96","36.65","38.87","36.65","375.08K","3.49%"
"Oct 14, 2019","36.68","36.74","37.97","36.49","381.45K","-0.76%"
"Oct 11, 2019","36.96","37.99","38.78","36.88","592.29K","0.41%"
"Oct 10, 2019","36.81","36.59","37.20","35.46","832.79K","0.22%"
"Oct 09, 2019","36.73","37.56","37.98","36.59","581.47K","-1.69%"
"Oct 08, 2019","37.36","41.36","41.36","36.42","1.18M","-9.06%"
"Oct 07, 2019","41.08","39.70","41.52","38.97","462.75K","3.63%"
"Oct 04, 2019","39.64","38.88","40.43","38.27","467.25K","2.19%"
"Oct 03, 2019","38.79","38.97","39.40","38.02","491.19K","-0.77%"
"Oct 02, 2019","39.09","38.13","39.42","37.75","679.71K","1.45%"
"Oct 01, 2019","38.53","41.06","41.70","38.45","823.16K","-6.00%"
"Sep 30, 2019","40.99","42.56","42.56","40.70","435.49K","-3.23%"
"Sep 27, 2019","42.36","42.50","42.73","41.00","670.31K","-0.21%"
"Sep 26, 2019","42.45","45.35","45.35","42.36","466.12K","-5.79%"
"Sep 25, 2019","45.06","45.87","46.66","44.85","232.03K","-1.94%"
"Sep 24, 2019","45.95","47.77","48.47","44.71","519.45K","-3.67%"
"Sep 23, 2019","47.70","48.41","48.73","47.67","116.28K","-1.30%"
"Sep 20, 2019","48.33","47.74","48.78","47.51","263.33K","1.73%"
"Sep 19, 2019","47.51","49.20","49.30","47.01","385.32K","-3.83%"
"Sep 18, 2019","49.40","49.31","49.69","48.10","276.43K","0.37%"
"Sep 17, 2019","49.22","49.92","50.29","48.60","387.69K","-0.91%"
"Sep 16, 2019","49.67","47.61","50.00","47.19","356.20K","4.20%"
"Sep 13, 2019","47.67","48.08","48.85","47.59","250.61K","-0.77%"
"Sep 12, 2019","48.04","48.11","49.14","46.74","266.68K","0.36%"
"Sep 11, 2019","47.87","45.63","48.19","45.63","347.42K","3.61%"
"Sep 10, 2019","46.20","45.38","46.64","44.97","231.56K","1.69%"
"Sep 09, 2019","45.43","46.36","46.80","44.90","428.42K","-0.79%"
"Sep 06, 2019","45.79","46.50","47.76","45.69","442.88K","-2.35%"
