"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2019","60.80","59.10","61.01","58.66","1.16M","3.05%"
"Nov 13, 2019","59.00","60.50","60.50","57.00","2.84M","2.43%"
"Nov 12, 2019","57.60","59.00","61.21","57.13","3.17M","-4.93%"
"Nov 11, 2019","60.59","59.00","61.21","58.99","1.62M","2.00%"
"Nov 08, 2019","59.40","59.01","60.10","58.80","926.30K","-0.77%"
"Nov 07, 2019","59.86","59.50","59.99","58.50","1.04M","1.34%"
"Nov 06, 2019","59.07","59.50","59.81","58.50","902.90K","-0.72%"
"Nov 05, 2019","59.50","59.94","60.22","59.22","1.12M","-0.83%"
"Nov 04, 2019","60.00","58.86","60.58","58.43","1.14M","1.95%"
"Nov 01, 2019","58.85","57.46","59.00","57.40","982.50K","1.83%"
"Oct 31, 2019","57.79","58.68","59.00","57.06","1.76M","-1.70%"
"Oct 30, 2019","58.79","56.61","58.79","56.51","1.24M","3.69%"
"Oct 29, 2019","56.70","57.38","57.38","56.41","1.25M","-0.75%"
"Oct 28, 2019","57.13","57.22","57.62","56.89","778.00K","-0.16%"
"Oct 25, 2019","57.22","56.92","57.84","56.72","602.30K","1.08%"
"Oct 24, 2019","56.61","57.11","57.65","55.89","1.06M","-1.20%"
"Oct 23, 2019","57.30","57.67","57.70","56.89","1.18M","-0.64%"
"Oct 22, 2019","57.67","57.15","58.29","56.92","1.30M","1.00%"
"Oct 21, 2019","57.10","56.58","57.19","56.25","575.70K","0.58%"
"Oct 18, 2019","56.77","56.71","57.20","56.24","432.60K","0.12%"
"Oct 17, 2019","56.70","57.63","57.80","56.70","756.50K","-1.48%"
"Oct 16, 2019","57.55","56.39","57.77","55.59","907.30K","1.86%"
"Oct 15, 2019","56.50","56.15","56.67","55.70","816.90K","0.64%"
"Oct 14, 2019","56.14","55.89","56.14","55.45","489.60K","0.83%"
"Oct 11, 2019","55.68","54.66","56.16","54.66","1.33M","2.15%"
"Oct 10, 2019","54.51","54.18","55.31","53.85","1.22M","1.28%"
"Oct 09, 2019","53.82","53.00","53.87","52.76","1.05M","2.28%"
"Oct 08, 2019","52.62","51.94","53.02","51.63","1.37M","2.19%"
"Oct 07, 2019","51.49","53.57","53.68","51.05","1.44M","-3.95%"
"Oct 04, 2019","53.61","53.00","53.61","52.53","572.10K","0.96%"
"Oct 03, 2019","53.10","52.82","53.10","52.00","999.40K","0.76%"
"Oct 02, 2019","52.70","53.60","53.71","52.23","1.15M","-1.70%"
"Oct 01, 2019","53.61","53.40","54.83","53.31","1.75M","0.77%"
"Sep 30, 2019","53.20","53.51","53.75","53.09","1.28M","-0.62%"
"Sep 27, 2019","53.53","54.72","54.83","53.35","1.09M","-2.64%"
"Sep 26, 2019","54.98","54.50","54.98","53.40","1.14M","1.33%"
"Sep 25, 2019","54.26","53.44","54.26","52.81","880.80K","1.53%"
"Sep 24, 2019","53.44","52.81","53.69","52.58","1.14M","1.19%"
"Sep 23, 2019","52.81","54.30","54.30","52.67","1.46M","-2.53%"
"Sep 20, 2019","54.18","54.18","54.19","53.35","1.36M","0.33%"
"Sep 19, 2019","54.00","53.81","54.49","53.08","1.26M","0.88%"
"Sep 18, 2019","53.53","53.77","54.10","53.17","1.63M","-0.65%"
