"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","13.41","13.29","13.56","13.29","945.90K","2.21%"
"Oct 25, 2019","13.12","12.73","13.42","12.46","2.08M","2.10%"
"Oct 24, 2019","12.85","13.72","13.84","12.64","4.37M","-6.07%"
"Oct 23, 2019","13.68","14.11","14.45","13.17","3.98M","-6.30%"
"Oct 22, 2019","14.60","14.46","14.79","14.28","2.03M","1.18%"
"Oct 21, 2019","14.43","14.40","14.50","14.25","1.45M","1.33%"
"Oct 18, 2019","14.24","13.96","14.34","13.96","1.60M","1.93%"
"Oct 17, 2019","13.97","14.14","14.22","13.82","1.30M","-0.21%"
"Oct 16, 2019","14.00","13.54","14.18","13.54","1.80M","1.97%"
"Oct 15, 2019","13.73","13.57","13.95","13.40","1.62M","3.78%"
"Oct 14, 2019","13.23","13.18","13.35","13.05","571.91K","-0.90%"
"Oct 11, 2019","13.35","13.36","13.49","13.13","978.93K","4.95%"
"Oct 10, 2019","12.72","12.58","12.85","12.57","981.89K","2.00%"
"Oct 09, 2019","12.47","12.45","12.62","12.14","617.52K","1.46%"
"Oct 08, 2019","12.29","12.33","12.46","12.11","1.35M","-1.76%"
"Oct 07, 2019","12.51","12.54","12.69","12.46","599.85K","-0.56%"
"Oct 04, 2019","12.58","12.26","12.60","12.14","1.24M","3.11%"
"Oct 03, 2019","12.20","12.29","12.42","12.06","805.65K","-1.61%"
"Oct 02, 2019","12.40","12.27","12.56","11.96","1.99M","-0.48%"
"Oct 01, 2019","12.46","12.77","13.14","12.36","986.43K","-1.97%"
"Sep 30, 2019","12.71","13.01","13.01","12.62","1.32M","-2.00%"
"Sep 27, 2019","12.97","13.34","13.62","12.86","639.21K","-2.48%"
"Sep 26, 2019","13.30","13.31","13.41","13.06","1.17M","0.23%"
"Sep 25, 2019","13.27","13.03","13.33","12.83","1.21M","1.61%"
"Sep 24, 2019","13.06","13.71","13.81","12.88","1.58M","-4.67%"
"Sep 23, 2019","13.70","13.49","13.75","13.31","692.48K","0.37%"
"Sep 20, 2019","13.65","13.86","13.96","13.59","1.02M","-1.44%"
"Sep 19, 2019","13.85","13.37","14.00","13.37","1.10M","2.59%"
"Sep 18, 2019","13.50","13.55","13.63","13.21","1.60M","-0.95%"
"Sep 17, 2019","13.63","13.81","13.82","13.32","1.53M","-2.64%"
"Sep 16, 2019","14.00","13.62","14.16","13.62","1.18M","0.72%"
"Sep 13, 2019","13.90","13.98","14.05","13.68","1.16M","-0.14%"
"Sep 12, 2019","13.92","13.53","13.94","13.45","2.37M","2.81%"
"Sep 11, 2019","13.54","12.81","13.64","12.59","1.99M","5.86%"
"Sep 10, 2019","12.79","12.36","12.80","12.28","1.76M","3.06%"
"Sep 09, 2019","12.41","12.16","12.49","12.13","593.20K","2.14%"
"Sep 06, 2019","12.15","12.10","12.33","12.07","478.42K","0.16%"
"Sep 05, 2019","12.13","12.11","12.28","12.01","608.78K","1.51%"
"Sep 04, 2019","11.95","11.87","12.10","11.73","806.34K","2.66%"
"Sep 03, 2019","11.64","11.89","11.98","11.55","721.85K","-3.32%"
"Aug 30, 2019","12.04","11.98","12.07","11.87","651.98K","1.18%"
"Aug 29, 2019","11.90","11.74","12.01","11.66","814.85K","3.48%"
"Aug 28, 2019","11.50","10.97","11.55","10.97","664.26K","4.07%"
"Aug 27, 2019","11.05","11.37","11.49","10.96","535.83K","-1.78%"
"Aug 26, 2019","11.25","11.30","11.36","11.03","365.14K","1.17%"
"Aug 23, 2019","11.12","11.43","11.70","11.04","538.59K","-4.30%"
"Aug 22, 2019","11.62","11.75","11.87","11.31","532.06K","-0.85%"
"Aug 21, 2019","11.72","11.88","11.92","11.56","393.79K","0.51%"
"Aug 20, 2019","11.66","11.65","11.82","11.62","917.58K","-0.34%"
"Aug 19, 2019","11.70","11.33","11.72","11.30","963.46K","5.69%"
"Aug 16, 2019","11.07","10.65","11.18","10.65","1.10M","4.34%"
"Aug 15, 2019","10.61","10.90","11.03","10.50","761.86K","-2.12%"
"Aug 14, 2019","10.84","11.44","11.45","10.82","1.54M","-8.52%"
"Aug 13, 2019","11.85","11.42","12.02","11.36","1.19M","3.22%"
"Aug 12, 2019","11.48","11.63","11.63","11.33","1.08M","-2.38%"
"Aug 09, 2019","11.76","11.89","11.91","11.59","1.55M","-2.41%"
"Aug 08, 2019","12.05","11.46","12.17","11.46","997.52K","5.79%"
"Aug 07, 2019","11.39","11.16","11.52","11.06","1.22M","0.00%"
"Aug 06, 2019","11.39","11.31","11.49","11.00","1.33M","1.79%"
"Aug 05, 2019","11.19","11.48","11.55","10.89","1.67M","-4.52%"
"Aug 02, 2019","11.72","11.99","12.00","11.57","700.57K","-2.90%"
"Aug 01, 2019","12.07","12.02","12.15","11.77","1.15M","0.50%"
"Jul 31, 2019","12.01","12.80","12.80","11.98","1.86M","-6.17%"
"Jul 30, 2019","12.80","12.68","12.94","12.46","932.41K","-0.70%"
"Jul 29, 2019","12.89","12.70","12.92","12.58","1.62M","1.82%"
"Jul 26, 2019","12.66","12.65","12.70","12.37","1.57M","0.00%"
"Jul 25, 2019","12.66","12.00","12.84","11.88","3.74M","6.12%"
"Jul 24, 2019","11.93","11.39","12.19","11.19","5.78M","14.38%"
"Jul 23, 2019","10.43","10.43","10.54","10.29","792.31K","0.29%"
"Jul 22, 2019","10.40","10.23","10.45","10.21","485.96K","1.76%"
"Jul 19, 2019","10.22","10.19","10.42","10.19","347.14K","1.09%"
"Jul 18, 2019","10.11","10.04","10.15","9.94","491.42K","-0.20%"
"Jul 17, 2019","10.13","10.57","10.57","9.94","889.48K","-4.16%"
"Jul 16, 2019","10.57","10.23","10.62","10.19","440.27K","3.12%"
"Jul 15, 2019","10.25","10.37","10.37","10.16","738.89K","-0.77%"
"Jul 12, 2019","10.33","10.27","10.39","10.20","387.21K","0.58%"
"Jul 11, 2019","10.27","10.30","10.37","10.09","997.25K","0.49%"
