"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","12.69","12.69","12.79","12.69","4.20M","0.95%"
"Oct 25, 2019","12.57","12.48","12.61","12.48","1.35M","0.56%"
"Oct 24, 2019","12.50","12.62","12.63","12.43","1.85M","-0.79%"
"Oct 23, 2019","12.60","12.53","12.61","12.48","1.26M","1.04%"
"Oct 22, 2019","12.47","12.51","12.57","12.46","1.80M","-0.16%"
"Oct 21, 2019","12.49","12.55","12.59","12.48","1.78M","1.30%"
"Oct 18, 2019","12.33","12.29","12.34","12.27","1.68M","0.33%"
"Oct 17, 2019","12.29","12.43","12.45","12.25","2.41M","-0.24%"
"Oct 16, 2019","12.32","12.30","12.39","12.30","2.17M","1.07%"
"Oct 15, 2019","12.19","12.09","12.29","12.05","3.27M","1.75%"
"Oct 14, 2019","11.98","11.98","12.01","11.95","1.52M","0.34%"
"Oct 11, 2019","11.94","11.98","12.08","11.93","3.66M","2.75%"
"Oct 10, 2019","11.62","11.57","11.65","11.55","3.26M","1.75%"
"Oct 09, 2019","11.42","11.43","11.50","11.39","2.85M","-0.09%"
"Oct 08, 2019","11.43","11.42","11.52","11.38","3.54M","-0.44%"
"Oct 07, 2019","11.48","11.50","11.60","11.48","2.06M","-0.61%"
"Oct 04, 2019","11.55","11.41","11.56","11.38","2.42M","0.52%"
"Oct 03, 2019","11.49","11.48","11.50","11.35","3.79M","-0.86%"
"Oct 02, 2019","11.59","11.70","11.73","11.55","2.74M","-2.44%"
"Oct 01, 2019","11.88","12.10","12.11","11.81","3.41M","-2.70%"
"Sep 30, 2019","12.21","12.28","12.28","12.20","2.34M","0.41%"
"Sep 27, 2019","12.16","12.17","12.21","12.11","2.67M","-0.25%"
"Sep 26, 2019","12.19","12.23","12.27","12.18","2.52M","-0.41%"
"Sep 25, 2019","12.24","12.11","12.28","12.09","4.24M","-1.29%"
"Sep 24, 2019","12.40","12.53","12.55","12.37","3.54M","-1.51%"
"Sep 23, 2019","12.59","12.62","12.67","12.52","2.60M","-1.79%"
