"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","12.58","10.55","12.68","10.55","-","19.24%"
"May 15, 2020","10.55","10.51","10.96","10.29","3.02M","-0.57%"
"May 14, 2020","10.61","10.42","10.74","9.98","3.72M","-1.03%"
"May 13, 2020","10.72","10.91","11.18","10.19","3.65M","-0.28%"
"May 12, 2020","10.75","11.22","11.98","10.67","4.21M","-3.67%"
"May 11, 2020","11.16","11.60","11.64","10.77","4.55M","-6.14%"
"May 08, 2020","11.89","11.20","11.89","10.96","4.40M","9.08%"
"May 07, 2020","10.90","11.81","12.04","10.66","6.69M","-6.52%"
"May 06, 2020","11.66","12.35","12.35","11.65","4.09M","-5.89%"
"May 05, 2020","12.39","13.24","13.53","12.39","2.22M","-4.03%"
"May 04, 2020","12.91","12.97","13.34","12.55","3.01M","-6.45%"
"Apr 30, 2020","13.80","13.87","14.55","13.64","6.29M","-2.75%"
"Apr 29, 2020","14.19","14.50","14.84","13.74","4.77M","0.28%"
"Apr 28, 2020","14.15","12.70","14.39","12.42","7.02M","14.48%"
"Apr 27, 2020","12.36","12.33","12.80","11.95","5.02M","3.09%"
"Apr 24, 2020","11.99","13.60","13.60","11.58","6.85M","-13.86%"
"Apr 23, 2020","13.92","15.05","15.48","13.75","6.60M","-6.26%"
"Apr 22, 2020","14.85","14.45","15.05","14.31","3.35M","1.99%"
"Apr 20, 2020","14.56","14.30","14.80","14.10","3.09M","-0.75%"
"Apr 17, 2020","14.67","15.10","15.19","14.58","3.24M","0.48%"
"Apr 16, 2020","14.60","14.75","15.27","14.05","4.57M","0.69%"
"Apr 15, 2020","14.50","13.70","15.06","13.43","6.93M","1.54%"
"Apr 14, 2020","14.28","13.45","14.66","13.41","6.03M","9.01%"
"Apr 13, 2020","13.10","12.61","13.38","12.41","4.35M","1.16%"
"Apr 09, 2020","12.95","12.05","12.98","12.05","7.24M","10.21%"
"Apr 08, 2020","11.75","11.40","12.00","11.01","7.49M","1.29%"
"Apr 07, 2020","11.60","11.10","11.90","10.87","6.18M","12.29%"
"Apr 06, 2020","10.33","11.00","11.07","10.03","4.70M","4.34%"
"Apr 03, 2020","9.90","10.50","10.50","9.01","4.23M","-3.41%"
"Apr 02, 2020","10.25","9.60","10.50","9.33","9.03M","9.04%"
"Apr 01, 2020","9.40","9.90","10.09","9.24","7.78M","-15.32%"
"Mar 31, 2020","11.10","12.50","12.72","11.00","8.99M","-14.29%"
