"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","8.77","8.72","8.91","8.72","2.94M","-0.11%"
"Oct 24, 2019","8.78","8.95","9.02","8.65","2.53M","-1.90%"
"Oct 23, 2019","8.95","8.69","9.03","8.62","4.83M","3.11%"
"Oct 22, 2019","8.68","8.67","8.90","8.48","4.56M","-0.69%"
"Oct 21, 2019","8.74","8.59","8.82","8.53","2.38M","1.75%"
"Oct 18, 2019","8.59","8.69","8.72","8.53","2.71M","-0.69%"
"Oct 17, 2019","8.65","8.65","8.66","8.50","3.46M","0.58%"
"Oct 16, 2019","8.60","8.53","8.71","8.53","2.98M","0.70%"
"Oct 15, 2019","8.54","8.38","8.75","8.38","4.06M","1.07%"
"Oct 14, 2019","8.45","8.43","8.56","8.37","1.67M","-1.52%"
"Oct 11, 2019","8.58","8.27","8.64","8.26","5.96M","5.02%"
"Oct 10, 2019","8.17","8.09","8.18","8.01","3.15M","1.74%"
"Oct 09, 2019","8.03","8.22","8.26","8.01","4.68M","-1.23%"
"Oct 08, 2019","8.13","8.48","8.48","8.10","5.88M","-5.13%"
"Oct 07, 2019","8.57","8.63","8.77","8.42","4.41M","0.47%"
"Oct 04, 2019","8.53","8.77","8.85","8.48","2.65M","-2.85%"
"Oct 03, 2019","8.78","8.65","8.85","8.57","4.27M","0.69%"
"Oct 02, 2019","8.72","9.09","9.11","8.62","6.74M","-4.39%"
"Oct 01, 2019","9.12","9.38","9.49","9.02","3.54M","-2.77%"
"Sep 30, 2019","9.38","9.61","9.68","9.38","2.41M","-2.39%"
"Sep 27, 2019","9.61","9.64","9.82","9.56","4.80M","-0.72%"
"Sep 26, 2019","9.68","9.73","9.81","9.55","2.44M","-0.41%"
"Sep 25, 2019","9.72","9.58","9.78","9.55","3.49M","0.00%"
"Sep 24, 2019","9.72","9.79","9.80","9.64","2.18M","-1.52%"
"Sep 23, 2019","9.87","9.91","9.99","9.84","2.21M","-0.90%"
"Sep 20, 2019","9.96","10.03","10.15","9.86","4.55M","-0.20%"
"Sep 19, 2019","9.98","10.10","10.14","9.92","4.41M","0.10%"
"Sep 18, 2019","9.97","10.05","10.11","9.86","6.42M","-1.77%"
"Sep 17, 2019","10.15","10.42","10.45","10.02","6.64M","-3.52%"
"Sep 16, 2019","10.52","10.06","10.82","10.00","13.80M","12.51%"
"Sep 13, 2019","9.35","9.52","9.63","9.24","4.72M","-1.58%"
"Sep 12, 2019","9.50","9.15","9.62","9.06","4.02M","1.39%"
"Sep 11, 2019","9.37","9.34","9.49","9.18","4.81M","0.21%"
"Sep 10, 2019","9.35","9.32","9.55","9.26","3.07M","0.97%"
"Sep 09, 2019","9.26","9.24","9.48","9.19","4.27M","1.65%"
"Sep 06, 2019","9.11","9.07","9.12","8.96","2.74M","-0.33%"
"Sep 05, 2019","9.14","8.79","9.16","8.79","4.76M","4.82%"
"Sep 04, 2019","8.72","8.80","8.84","8.60","3.40M","1.16%"
"Sep 03, 2019","8.62","8.51","8.64","8.41","1.66M","-1.26%"
"Aug 30, 2019","8.73","8.93","8.98","8.72","2.77M","-1.80%"
"Aug 29, 2019","8.89","8.60","8.93","8.60","2.47M","4.47%"
"Aug 28, 2019","8.51","8.39","8.53","8.28","4.40M","2.78%"
"Aug 27, 2019","8.28","8.44","8.54","8.27","3.03M","-1.55%"
"Aug 26, 2019","8.41","8.42","8.55","8.34","1.95M","1.33%"
"Aug 23, 2019","8.30","8.42","8.66","8.27","2.71M","-3.15%"
"Aug 22, 2019","8.57","8.57","8.71","8.52","1.95M","0.35%"
"Aug 21, 2019","8.54","8.30","8.69","8.28","5.47M","3.89%"
"Aug 20, 2019","8.22","8.19","8.30","8.13","3.04M","-0.48%"
"Aug 19, 2019","8.26","8.35","8.35","8.17","3.41M","1.10%"
"Aug 16, 2019","8.17","8.24","8.24","8.13","2.75M","0.00%"
"Aug 15, 2019","8.17","8.23","8.30","8.06","2.48M","-1.33%"
"Aug 14, 2019","8.28","8.45","8.50","8.18","3.26M","-5.05%"
"Aug 13, 2019","8.72","8.49","8.86","8.38","5.20M","2.59%"
"Aug 12, 2019","8.50","8.50","8.59","8.40","2.44M","-0.47%"
"Aug 09, 2019","8.54","8.56","8.66","8.46","1.94M","0.59%"
"Aug 08, 2019","8.49","8.31","8.50","8.27","3.11M","2.78%"
"Aug 07, 2019","8.26","8.27","8.37","8.12","3.66M","-2.36%"
"Aug 06, 2019","8.46","8.49","8.58","8.36","3.42M","0.12%"
"Aug 05, 2019","8.45","8.60","8.64","8.44","1.72M","-4.30%"
"Aug 02, 2019","8.83","9.06","9.19","8.72","2.67M","-2.86%"
"Aug 01, 2019","9.09","9.15","9.26","8.89","3.65M","-2.05%"
"Jul 31, 2019","9.28","9.33","9.46","9.17","3.55M","0.22%"
"Jul 30, 2019","9.26","8.81","9.36","8.78","3.60M","4.16%"
"Jul 29, 2019","8.89","9.24","9.30","8.85","3.55M","-3.47%"
"Jul 26, 2019","9.21","9.18","9.31","9.04","4.36M","0.33%"
"Jul 25, 2019","9.18","9.44","9.49","9.03","5.86M","-1.71%"
"Jul 24, 2019","9.34","9.55","9.76","9.30","5.34M","-3.01%"
"Jul 23, 2019","9.63","9.56","9.69","9.45","3.26M","0.84%"
"Jul 22, 2019","9.55","9.52","9.63","9.50","1.96M","0.42%"
"Jul 19, 2019","9.51","9.28","9.55","9.26","2.57M","2.70%"
