"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","3.98","3.92","4.00","3.87","6.74M","2.05%"
"Oct 24, 2019","3.90","4.09","4.09","3.83","14.55M","-6.92%"
"Oct 23, 2019","4.19","4.15","4.20","4.10","8.11M","1.21%"
"Oct 22, 2019","4.14","4.06","4.16","4.04","6.98M","1.47%"
"Oct 21, 2019","4.08","4.10","4.12","4.05","2.83M","0.00%"
"Oct 18, 2019","4.08","4.08","4.15","4.00","6.40M","0.25%"
"Oct 17, 2019","4.07","4.12","4.20","4.07","3.78M","-1.45%"
"Oct 16, 2019","4.13","4.11","4.16","4.09","3.53M","0.49%"
"Oct 15, 2019","4.11","4.10","4.22","4.08","5.79M","0.24%"
"Oct 14, 2019","4.10","4.05","4.12","4.00","8.58M","0.74%"
"Oct 11, 2019","4.07","3.99","4.11","3.96","13.79M","4.09%"
"Oct 10, 2019","3.91","3.85","3.98","3.83","7.77M","1.30%"
"Oct 09, 2019","3.86","3.83","3.87","3.75","6.78M","2.66%"
"Oct 08, 2019","3.76","3.68","3.82","3.66","4.65M","1.62%"
"Oct 07, 2019","3.70","3.74","3.77","3.69","2.98M","-1.33%"
"Oct 04, 2019","3.75","3.66","3.76","3.65","4.99M","1.90%"
"Oct 03, 2019","3.68","3.66","3.73","3.62","5.89M","-0.27%"
"Oct 02, 2019","3.69","3.75","3.79","3.60","8.95M","-2.89%"
"Oct 01, 2019","3.80","3.95","3.95","3.79","5.91M","-3.06%"
"Sep 30, 2019","3.92","3.96","4.01","3.90","3.44M","-1.01%"
"Sep 27, 2019","3.96","3.97","4.05","3.95","4.12M","-0.50%"
"Sep 26, 2019","3.98","3.96","3.98","3.94","2.90M","-0.50%"
"Sep 25, 2019","4.00","3.95","4.00","3.85","3.72M","0.25%"
"Sep 24, 2019","3.99","4.02","4.04","3.98","3.69M","-0.99%"
"Sep 23, 2019","4.03","4.06","4.10","4.00","4.98M","-1.95%"
"Sep 20, 2019","4.11","4.00","4.12","3.98","9.59M","3.27%"
"Sep 19, 2019","3.98","3.98","4.07","3.95","4.58M","0.00%"
"Sep 18, 2019","3.98","4.02","4.07","3.94","9.67M","-1.73%"
"Sep 17, 2019","4.05","3.86","4.06","3.85","4.93M","3.32%"
"Sep 16, 2019","3.92","3.90","3.95","3.84","5.12M","-0.76%"
"Sep 13, 2019","3.95","3.91","3.95","3.87","5.06M","2.07%"
"Sep 12, 2019","3.87","3.93","3.98","3.84","7.11M","-1.53%"
"Sep 11, 2019","3.93","3.98","4.05","3.81","13.08M","-2.72%"
"Sep 10, 2019","4.04","3.95","4.07","3.88","9.38M","2.28%"
"Sep 09, 2019","3.95","3.83","4.00","3.83","6.73M","3.13%"
"Sep 06, 2019","3.83","3.88","3.93","3.79","10.50M","-1.29%"
"Sep 05, 2019","3.88","3.82","3.93","3.81","5.75M","3.47%"
"Sep 04, 2019","3.75","3.61","3.78","3.61","6.19M","5.04%"
"Sep 03, 2019","3.57","3.71","3.73","3.52","10.62M","-4.80%"
"Aug 30, 2019","3.75","3.61","3.84","3.61","12.87M","5.04%"
