"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","100.05","100.03","100.40","97.69","484.29K","-0.73%"
"Oct 24, 2019","100.79","98.00","100.94","97.51","1.21M","3.97%"
"Oct 23, 2019","96.94","96.44","99.73","94.30","879.18K","-0.06%"
"Oct 22, 2019","97.00","101.00","101.30","97.00","791.89K","-3.33%"
"Oct 21, 2019","100.34","99.52","101.25","98.42","821.26K","1.17%"
"Oct 18, 2019","99.18","101.92","101.92","96.66","762.00K","-2.71%"
"Oct 17, 2019","101.94","102.70","103.00","100.40","616.57K","-0.17%"
"Oct 16, 2019","102.11","104.44","104.44","101.50","578.36K","-3.08%"
"Oct 15, 2019","105.35","103.00","105.92","103.00","508.22K","2.25%"
"Oct 14, 2019","103.03","104.46","105.05","102.64","474.03K","-1.30%"
"Oct 11, 2019","104.39","103.50","105.20","103.01","401.99K","2.36%"
"Oct 10, 2019","101.98","105.24","105.49","98.83","1.05M","-3.88%"
"Oct 09, 2019","106.10","105.20","106.81","104.07","504.49K","2.73%"
"Oct 08, 2019","103.28","104.28","105.38","102.11","526.07K","-2.19%"
"Oct 07, 2019","105.59","103.45","106.33","103.17","394.43K","0.75%"
"Oct 04, 2019","104.80","105.06","106.76","102.72","630.90K","-0.02%"
"Oct 03, 2019","104.82","100.57","105.47","99.86","827.97K","4.74%"
"Oct 02, 2019","100.08","100.69","100.97","97.42","463.56K","-1.22%"
"Oct 01, 2019","101.32","99.91","101.82","99.20","660.94K","1.50%"
"Sep 30, 2019","99.82","98.66","100.90","97.61","508.47K","1.14%"
"Sep 27, 2019","98.69","101.01","101.25","97.77","528.44K","-2.13%"
"Sep 26, 2019","100.84","101.72","102.20","100.11","322.08K","-0.48%"
"Sep 25, 2019","101.33","100.26","101.70","99.41","633.01K","0.45%"
"Sep 24, 2019","100.88","105.65","106.62","100.11","1.02M","-4.33%"
"Sep 23, 2019","105.45","105.95","107.10","105.15","494.51K","0.13%"
"Sep 20, 2019","105.31","106.24","107.37","103.72","914.01K","-0.18%"
"Sep 19, 2019","105.50","105.29","106.85","104.17","886.88K","0.62%"
"Sep 18, 2019","104.85","103.55","105.21","102.94","894.31K","1.13%"
"Sep 17, 2019","103.68","101.43","104.10","101.20","672.49K","2.30%"
"Sep 16, 2019","101.35","98.93","102.14","98.32","549.07K","1.11%"
"Sep 13, 2019","100.24","98.63","100.61","97.00","937.98K","2.15%"
"Sep 12, 2019","98.13","100.51","102.35","98.01","1.51M","-1.40%"
"Sep 11, 2019","99.52","102.81","102.81","96.82","2.65M","-3.69%"
"Sep 10, 2019","103.33","105.25","106.50","102.76","1.78M","-3.79%"
"Sep 09, 2019","107.40","113.77","114.00","106.60","1.22M","-5.55%"
"Sep 06, 2019","113.71","116.40","116.93","113.40","352.00K","-1.89%"
"Sep 05, 2019","115.90","115.49","116.47","112.83","713.83K","1.41%"
"Sep 04, 2019","114.29","113.93","114.47","112.50","377.94K","1.77%"
"Sep 03, 2019","112.30","110.70","114.20","110.69","512.32K","-0.04%"
"Aug 30, 2019","112.34","114.56","114.74","110.31","492.09K","-1.25%"
"Aug 29, 2019","113.76","113.59","114.88","112.53","469.21K","1.35%"
"Aug 28, 2019","112.25","111.21","112.86","109.24","783.14K","0.31%"
"Aug 27, 2019","111.90","115.04","115.35","111.22","746.39K","-2.38%"
"Aug 26, 2019","114.63","116.99","117.26","113.22","650.24K","-1.04%"
"Aug 23, 2019","115.84","117.77","119.80","115.55","604.00K","-1.69%"
"Aug 22, 2019","117.83","120.21","121.55","115.70","700.07K","-1.56%"
"Aug 21, 2019","119.70","118.25","121.47","116.64","648.86K","3.21%"
"Aug 20, 2019","115.98","115.10","117.31","114.59","545.18K","0.35%"
"Aug 19, 2019","115.57","117.00","118.00","115.10","648.43K","0.36%"
"Aug 16, 2019","115.16","113.46","117.06","113.46","664.51K","2.17%"
"Aug 15, 2019","112.71","114.50","115.18","111.56","1.04M","-1.49%"
"Aug 14, 2019","114.41","117.01","118.20","112.64","1.01M","-4.85%"
"Aug 13, 2019","120.24","117.15","120.74","117.15","619.57K","1.57%"
"Aug 12, 2019","118.38","118.13","119.42","116.91","683.87K","-0.11%"
"Aug 09, 2019","118.51","121.42","122.88","118.45","989.34K","-3.79%"
"Aug 08, 2019","123.18","119.24","123.54","116.82","1.58M","6.08%"
"Aug 07, 2019","116.12","124.02","124.65","113.17","2.87M","-8.71%"
"Aug 06, 2019","127.20","128.04","129.43","125.41","1.01M","1.09%"
"Aug 05, 2019","125.83","127.51","129.50","122.72","1.35M","-5.67%"
"Aug 02, 2019","133.40","137.00","137.94","131.26","953.48K","-3.59%"
"Aug 01, 2019","138.37","139.90","141.65","136.83","558.36K","-0.37%"
"Jul 31, 2019","138.88","140.53","142.80","136.21","623.39K","-1.29%"
"Jul 30, 2019","140.69","140.00","143.46","139.11","512.49K","-0.73%"
"Jul 29, 2019","141.73","147.87","148.04","134.60","1.44M","-3.55%"
"Jul 26, 2019","146.94","147.71","148.74","145.50","669.51K","-0.02%"
"Jul 25, 2019","146.97","145.00","148.19","143.77","749.05K","1.46%"
"Jul 24, 2019","144.86","141.12","145.90","140.90","1.01M","2.64%"
"Jul 23, 2019","141.13","143.00","143.35","138.63","486.04K","-0.62%"
"Jul 22, 2019","142.01","139.86","143.50","139.86","582.17K","1.83%"
"Jul 19, 2019","139.46","141.11","142.91","139.43","560.11K","-0.18%"
"Jul 18, 2019","139.71","140.29","140.83","136.00","806.43K","-0.70%"
"Jul 17, 2019","140.70","140.00","144.14","139.43","729.27K","0.80%"
"Jul 16, 2019","139.59","142.00","143.81","138.32","1.11M","-1.33%"
"Jul 15, 2019","141.47","134.20","144.18","133.60","2.37M","6.07%"
