"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","12.65","13.39","13.67","12.55","13.83M","-7.19%"
"May 14, 2020","13.63","12.20","13.63","12.13","12.15M","8.26%"
"May 13, 2020","12.59","13.16","13.17","12.07","17.37M","-3.60%"
"May 12, 2020","13.06","13.28","13.59","13.01","10.01M","-0.99%"
"May 11, 2020","13.19","13.47","13.65","13.07","6.25M","-3.01%"
"May 08, 2020","13.60","13.60","13.79","13.18","8.11M","1.95%"
"May 07, 2020","13.34","14.60","14.60","13.34","8.13M","-7.04%"
"May 06, 2020","14.35","14.95","15.15","14.35","6.63M","-3.37%"
"May 05, 2020","14.85","15.14","15.48","14.79","6.23M","0.13%"
"May 04, 2020","14.83","15.30","15.31","14.62","8.62M","-6.79%"
"Apr 30, 2020","15.91","16.55","16.89","15.69","8.71M","-6.85%"
"Apr 29, 2020","17.08","16.32","17.12","16.09","10.78M","6.35%"
"Apr 28, 2020","16.06","14.75","16.09","14.45","13.07M","12.70%"
"Apr 27, 2020","14.25","14.38","14.62","13.51","17.56M","1.71%"
"Apr 24, 2020","14.01","15.58","15.58","13.31","17.21M","-12.44%"
"Apr 23, 2020","16.00","16.25","16.73","15.46","7.84M","-0.31%"
"Apr 22, 2020","16.05","16.10","16.49","15.51","10.65M","2.75%"
"Apr 20, 2020","15.62","14.10","15.62","14.02","10.90M","8.85%"
"Apr 17, 2020","14.35","14.40","14.96","14.04","6.70M","2.14%"
"Apr 16, 2020","14.05","14.36","14.75","14.00","7.87M","-1.20%"
"Apr 15, 2020","14.22","14.01","14.57","13.75","8.45M","-1.46%"
"Apr 14, 2020","14.43","14.61","15.05","14.12","6.14M","1.05%"
"Apr 13, 2020","14.28","14.57","14.83","13.98","10.84M","-2.19%"
"Apr 09, 2020","14.60","14.58","15.60","14.25","10.50M","1.74%"
"Apr 08, 2020","14.35","13.86","14.46","13.26","8.17M","3.99%"
"Apr 07, 2020","13.80","14.20","14.61","13.53","6.89M","4.55%"
"Apr 06, 2020","13.20","13.73","13.94","12.91","9.99M","3.37%"
"Apr 03, 2020","12.77","12.52","12.83","11.94","12.81M","2.57%"
"Apr 02, 2020","12.45","13.11","13.17","12.20","13.20M","-3.94%"
"Apr 01, 2020","12.96","13.16","13.34","12.60","11.93M","-8.28%"
"Mar 31, 2020","14.13","15.58","15.58","14.13","8.73M","-10.00%"
"Mar 30, 2020","15.70","16.44","16.68","15.28","5.98M","-2.30%"
"Mar 27, 2020","16.07","17.10","17.51","16.07","9.74M","-11.85%"
"Mar 26, 2020","18.23","16.45","18.47","16.26","10.00M","10.02%"
"Mar 25, 2020","16.57","15.30","17.46","14.69","11.00M","8.30%"
"Mar 24, 2020","15.30","13.85","15.65","13.85","9.26M","18.06%"
"Mar 23, 2020","12.96","14.30","15.05","12.50","9.17M","-8.54%"
"Mar 20, 2020","14.17","15.54","16.40","14.00","16.27M","-3.61%"
"Mar 19, 2020","14.70","12.55","15.70","11.30","15.11M","9.95%"
"Mar 18, 2020","13.37","15.18","15.52","11.20","11.83M","-20.65%"
"Mar 17, 2020","16.85","17.98","18.25","16.52","9.44M","-1.23%"
"Mar 16, 2020","17.06","18.30","18.30","16.48","10.82M","-18.95%"
"Mar 13, 2020","21.05","22.10","22.50","18.28","11.01M","14.96%"
"Mar 12, 2020","18.31","20.00","20.30","16.84","7.77M","-24.65%"
"Mar 11, 2020","24.30","24.70","24.70","21.17","6.60M","-3.46%"
"Mar 10, 2020","25.17","24.45","25.25","23.53","10.12M","8.87%"
"Mar 09, 2020","23.12","24.50","25.30","22.97","8.97M","-16.68%"
"Mar 06, 2020","27.75","28.10","28.55","26.66","9.56M","-5.68%"
"Mar 05, 2020","29.42","31.67","31.77","28.51","4.10M","-8.58%"
"Mar 04, 2020","32.18","31.25","32.23","31.20","3.77M","5.27%"
"Mar 03, 2020","30.57","30.75","32.24","30.47","5.61M","-0.20%"
