"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","7.97","7.89","7.97","7.88","2.99M","0.89%"
"Oct 24, 2019","7.90","8.01","8.05","7.79","5.75M","-1.13%"
"Oct 23, 2019","7.99","7.96","8.00","7.91","3.55M","1.01%"
"Oct 22, 2019","7.91","8.04","8.05","7.89","10.24M","-2.10%"
"Oct 21, 2019","8.08","8.15","8.16","8.06","5.71M","2.02%"
"Oct 18, 2019","7.92","7.94","7.96","7.85","5.03M","0.25%"
"Oct 17, 2019","7.90","7.96","8.02","7.90","5.47M","0.77%"
"Oct 16, 2019","7.84","7.90","7.95","7.84","5.18M","0.77%"
"Oct 15, 2019","7.78","7.60","7.82","7.57","5.77M","3.05%"
"Oct 14, 2019","7.55","7.54","7.58","7.51","3.40M","1.21%"
"Oct 11, 2019","7.46","7.42","7.55","7.41","6.57M","4.63%"
"Oct 10, 2019","7.13","7.06","7.17","7.04","5.63M","2.74%"
"Oct 09, 2019","6.94","6.93","6.97","6.88","4.32M","0.29%"
"Oct 08, 2019","6.92","6.94","6.99","6.87","6.91M","-2.40%"
"Oct 07, 2019","7.09","7.04","7.15","7.01","4.05M","-1.39%"
"Oct 04, 2019","7.19","7.12","7.20","7.04","3.28M","0.56%"
"Oct 03, 2019","7.15","7.14","7.20","7.02","5.52M","-0.56%"
"Oct 02, 2019","7.19","7.25","7.33","7.15","5.48M","-0.83%"
"Oct 01, 2019","7.25","7.44","7.47","7.21","6.24M","-3.33%"
"Sep 30, 2019","7.50","7.53","7.53","7.44","3.49M","-0.79%"
"Sep 27, 2019","7.56","7.54","7.60","7.49","3.82M","1.89%"
"Sep 26, 2019","7.42","7.48","7.52","7.39","3.18M","-2.11%"
"Sep 25, 2019","7.58","7.43","7.62","7.42","5.21M","0.00%"
"Sep 24, 2019","7.58","7.75","7.76","7.54","6.46M","-2.70%"
"Sep 23, 2019","7.79","7.78","7.82","7.69","8.36M","-2.50%"
"Sep 20, 2019","7.99","8.09","8.12","7.98","3.96M","-0.99%"
"Sep 19, 2019","8.07","8.13","8.16","8.06","3.33M","0.12%"
"Sep 18, 2019","8.06","8.08","8.10","7.96","4.69M","-1.59%"
"Sep 17, 2019","8.19","8.06","8.22","7.99","5.77M","-0.49%"
"Sep 16, 2019","8.23","8.29","8.32","8.21","9.46M","-2.60%"
"Sep 13, 2019","8.45","8.48","8.53","8.40","6.94M","1.56%"
"Sep 12, 2019","8.32","8.15","8.35","8.09","10.23M","0.36%"
"Sep 11, 2019","8.29","8.20","8.29","8.14","8.08M","-0.12%"
"Sep 10, 2019","8.30","8.25","8.32","8.21","6.73M","2.09%"
"Sep 09, 2019","8.13","8.01","8.18","7.99","6.73M","3.57%"
"Sep 06, 2019","7.85","7.82","7.88","7.78","3.48M","0.38%"
"Sep 05, 2019","7.82","7.74","7.85","7.71","8.57M","4.55%"
"Sep 04, 2019","7.48","7.46","7.49","7.38","3.91M","2.47%"
