"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","8.97","8.66","9.07","8.66","2.52M","6.79%"
"May 15, 2020","8.40","8.65","8.91","8.23","5.31M","-3.67%"
"May 14, 2020","8.72","8.46","8.90","8.37","3.14M","1.40%"
"May 13, 2020","8.60","8.74","8.92","8.43","3.01M","-0.58%"
"May 12, 2020","8.65","9.45","9.56","8.59","4.38M","-6.59%"
"May 11, 2020","9.26","9.62","9.66","9.26","2.10M","-3.74%"
"May 08, 2020","9.62","9.82","10.09","9.40","2.63M","-1.43%"
"May 07, 2020","9.76","9.99","10.41","9.76","4.36M","0.10%"
"May 06, 2020","9.75","9.95","10.33","9.68","2.65M","-1.71%"
"May 05, 2020","9.92","9.91","10.16","9.78","1.25M","2.90%"
"May 04, 2020","9.64","9.47","9.80","9.22","1.96M","-1.03%"
"Apr 30, 2020","9.74","10.33","10.64","9.71","3.46M","-7.06%"
"Apr 29, 2020","10.48","10.30","10.79","10.14","2.56M","3.76%"
"Apr 28, 2020","10.10","9.62","10.31","9.45","4.20M","7.68%"
"Apr 27, 2020","9.38","9.49","9.67","9.28","3.94M","1.30%"
"Apr 24, 2020","9.26","10.12","10.23","8.93","3.83M","-10.27%"
"Apr 23, 2020","10.32","11.18","11.23","10.28","7.01M","-7.44%"
"Apr 22, 2020","11.15","9.89","11.15","9.79","7.51M","14.59%"
"Apr 20, 2020","9.73","9.40","9.91","9.29","3.16M","1.78%"
"Apr 17, 2020","9.56","9.42","9.78","9.27","4.52M","2.80%"
"Apr 16, 2020","9.30","9.33","9.45","9.11","2.53M","1.64%"
"Apr 15, 2020","9.15","9.13","9.36","9.03","2.20M","-1.29%"
"Apr 14, 2020","9.27","9.00","9.42","8.96","2.38M","4.51%"
"Apr 13, 2020","8.87","9.30","9.37","8.81","2.05M","-5.03%"
"Apr 09, 2020","9.34","9.50","9.71","9.03","1.59M","-0.64%"
"Apr 08, 2020","9.40","9.01","9.67","8.76","3.29M","4.56%"
"Apr 07, 2020","8.99","8.90","9.19","8.57","2.29M","7.66%"
"Apr 06, 2020","8.35","8.31","8.66","8.17","5.13M","7.46%"
"Apr 03, 2020","7.77","8.23","8.37","7.40","4.30M","-5.24%"
"Apr 02, 2020","8.20","8.35","8.62","8.00","5.30M","0.00%"
"Apr 01, 2020","8.20","8.99","9.07","8.10","3.28M","-12.30%"
"Mar 31, 2020","9.35","10.13","10.30","9.09","2.20M","-6.69%"
"Mar 30, 2020","10.02","10.19","10.90","10.00","1.55M","-0.69%"
"Mar 27, 2020","10.09","10.26","10.58","10.01","2.11M","-5.17%"
"Mar 26, 2020","10.64","10.48","11.47","10.33","2.83M","1.62%"
"Mar 25, 2020","10.47","8.73","11.50","8.73","3.95M","18.71%"
"Mar 24, 2020","8.82","8.81","9.50","8.63","2.82M","7.04%"
"Mar 23, 2020","8.24","9.09","9.21","8.07","3.05M","-9.45%"
"Mar 20, 2020","9.10","9.86","10.81","8.78","8.64M","-1.41%"
"Mar 19, 2020","9.23","8.55","9.64","7.47","4.84M","4.18%"
"Mar 18, 2020","8.86","9.70","9.91","7.98","4.73M","-15.62%"
"Mar 17, 2020","10.50","10.59","10.83","9.97","3.43M","1.45%"
"Mar 16, 2020","10.35","10.93","11.12","10.00","3.97M","-15.30%"
"Mar 13, 2020","12.22","12.80","12.94","10.75","4.34M","10.69%"
"Mar 12, 2020","11.04","11.15","12.28","9.62","3.05M","-22.85%"
"Mar 11, 2020","14.31","14.91","15.09","13.00","8.31M","-5.86%"
"Mar 10, 2020","15.20","14.80","15.32","14.35","5.74M","9.27%"
"Mar 09, 2020","13.91","15.00","15.02","13.91","4.52M","-13.39%"
"Mar 06, 2020","16.06","16.48","16.48","15.76","4.51M","-5.53%"
"Mar 05, 2020","17.00","18.18","18.18","16.70","6.16M","-6.75%"
"Mar 04, 2020","18.23","18.10","18.45","17.60","2.23M","3.17%"
"Mar 03, 2020","17.67","18.00","18.32","17.30","3.06M","-0.95%"
"Mar 02, 2020","17.84","18.00","18.26","17.10","5.18M","2.59%"
"Feb 28, 2020","17.39","16.70","17.39","15.77","6.46M","3.20%"
"Feb 27, 2020","16.85","17.62","17.64","16.75","5.17M","-5.44%"
"Feb 26, 2020","17.82","18.20","18.49","17.73","4.99M","-5.96%"
"Feb 21, 2020","18.95","19.16","19.40","18.79","3.34M","-1.81%"
"Feb 20, 2020","19.30","19.12","19.45","18.89","4.78M","1.05%"
"Feb 19, 2020","19.10","17.96","19.11","17.82","11.15M","6.64%"
"Feb 18, 2020","17.91","17.00","17.99","16.80","3.84M","1.47%"
"Feb 17, 2020","17.65","17.48","17.91","17.32","2.56M","1.85%"
"Feb 14, 2020","17.33","16.92","17.60","16.87","6.54M","3.22%"
"Feb 13, 2020","16.79","16.44","17.05","16.02","3.65M","2.13%"
"Feb 12, 2020","16.44","15.91","16.76","15.66","2.91M","4.38%"
