"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","5.08","5.10","5.10","5.08","5.30K","0.00%"
"Nov 19, 2019","5.08","5.03","5.09","5.00","32.10K","0.20%"
"Nov 18, 2019","5.07","5.10","5.10","4.98","49.90K","-0.59%"
"Nov 14, 2019","5.10","5.04","5.17","4.98","72.50K","1.59%"
"Nov 13, 2019","5.02","5.10","5.13","5.01","38.40K","-2.14%"
"Nov 12, 2019","5.13","5.05","5.15","5.00","37.10K","1.58%"
"Nov 11, 2019","5.05","4.98","5.05","4.96","14.10K","0.00%"
"Nov 08, 2019","5.05","5.00","5.14","4.95","48.20K","-0.39%"
"Nov 07, 2019","5.07","5.05","5.10","5.00","20.50K","0.80%"
"Nov 06, 2019","5.03","5.01","5.03","4.91","9.30K","0.40%"
"Nov 05, 2019","5.01","5.06","5.06","5.00","34.60K","-1.76%"
"Nov 04, 2019","5.10","5.07","5.10","5.02","24.80K","1.59%"
"Nov 01, 2019","5.02","4.97","5.08","4.97","19.90K","-1.18%"
"Oct 31, 2019","5.08","5.07","5.08","4.96","10.10K","-0.20%"
"Oct 30, 2019","5.09","4.89","5.09","4.89","7.80K","1.80%"
"Oct 29, 2019","5.00","5.01","5.09","4.97","26.50K","-0.99%"
"Oct 28, 2019","5.05","5.10","5.18","5.05","14.10K","-0.59%"
"Oct 25, 2019","5.08","5.11","5.15","5.01","72.20K","-0.78%"
"Oct 24, 2019","5.12","5.09","5.12","4.95","65.60K","1.59%"
"Oct 23, 2019","5.04","4.89","5.11","4.89","87.70K","3.70%"
"Oct 22, 2019","4.86","4.83","4.90","4.83","8.60K","0.00%"
"Oct 21, 2019","4.86","4.80","4.86","4.76","3.60K","2.10%"
"Oct 18, 2019","4.76","4.80","4.80","4.73","5.50K","1.28%"
"Oct 17, 2019","4.70","4.80","4.80","4.70","28.50K","-1.88%"
"Oct 16, 2019","4.79","4.81","4.92","4.79","11.00K","-1.24%"
"Oct 15, 2019","4.85","4.90","4.90","4.76","20.20K","-1.02%"
"Oct 14, 2019","4.90","4.94","4.94","4.78","20.00K","0.00%"
"Oct 11, 2019","4.90","4.98","5.02","4.84","15.40K","2.08%"
"Oct 10, 2019","4.80","4.90","4.90","4.77","18.50K","-2.04%"
"Oct 09, 2019","4.90","5.05","5.19","4.88","50.10K","0.41%"
"Oct 08, 2019","4.88","4.89","5.30","4.80","164.50K","0.00%"
"Oct 07, 2019","4.88","4.65","4.91","4.65","44.60K","3.39%"
"Oct 04, 2019","4.72","4.71","4.72","4.67","9.10K","0.00%"
"Oct 03, 2019","4.72","4.72","4.72","4.61","10.80K","-0.42%"
"Oct 02, 2019","4.74","4.70","4.74","4.61","19.00K","-0.21%"
"Oct 01, 2019","4.75","4.75","4.75","4.62","28.50K","1.71%"
"Sep 30, 2019","4.67","4.78","4.79","4.67","32.30K","0.21%"
"Sep 27, 2019","4.66","4.85","4.85","4.62","43.70K","-1.89%"
"Sep 26, 2019","4.75","4.85","4.94","4.74","93.20K","-2.06%"
"Sep 25, 2019","4.85","4.84","4.98","4.72","109.60K","1.68%"
"Sep 24, 2019","4.77","5.30","5.38","4.70","424.10K","-7.20%"
"Sep 23, 2019","5.14","4.74","5.60","4.69","1.06M","9.59%"
"Sep 20, 2019","4.69","4.84","4.84","4.69","14.70K","0.00%"
"Sep 19, 2019","4.69","4.65","4.75","4.63","131.70K","1.52%"
"Sep 18, 2019","4.62","4.59","4.69","4.52","41.00K","-0.86%"
"Sep 17, 2019","4.66","4.66","4.67","4.56","6.50K","-0.64%"
"Sep 16, 2019","4.69","4.60","4.70","4.53","2.60K","1.96%"
"Sep 13, 2019","4.60","4.62","4.70","4.60","21.30K","-0.65%"
"Sep 12, 2019","4.63","4.71","4.71","4.63","5.60K","-0.43%"
"Sep 11, 2019","4.65","4.70","4.75","4.65","9.80K","-0.85%"
"Sep 10, 2019","4.69","4.70","4.70","4.68","9.40K","-0.21%"
"Sep 09, 2019","4.70","4.63","4.75","4.63","21.30K","0.21%"
"Sep 06, 2019","4.69","4.75","4.75","4.62","40.90K","-0.21%"
"Sep 05, 2019","4.70","4.76","4.78","4.70","22.40K","-2.89%"
"Sep 04, 2019","4.84","4.76","4.86","4.75","4.60K","1.89%"
"Sep 03, 2019","4.75","4.76","4.76","4.75","12.10K","0.00%"
"Sep 02, 2019","4.75","4.89","4.89","4.74","18.00K","-2.86%"
"Aug 30, 2019","4.89","4.89","4.93","4.80","14.10K","1.87%"
"Aug 29, 2019","4.80","4.75","4.80","4.73","5.20K","1.69%"
"Aug 28, 2019","4.72","4.56","4.72","4.56","3.30K","0.43%"
"Aug 27, 2019","4.70","4.74","4.74","4.55","10.80K","1.51%"
"Aug 26, 2019","4.63","4.74","4.74","4.50","13.40K","2.43%"
"Aug 23, 2019","4.52","4.61","4.70","4.45","65.00K","-4.24%"
"Aug 22, 2019","4.72","4.75","4.75","4.66","12.60K","0.00%"
"Aug 21, 2019","4.72","4.72","4.73","4.65","10.10K","0.64%"
"Aug 20, 2019","4.69","4.70","4.72","4.58","12.50K","-0.21%"
"Aug 19, 2019","4.70","4.85","4.85","4.61","13.50K","-1.67%"
"Aug 16, 2019","4.78","4.89","4.89","4.70","15.90K","-1.24%"
"Aug 15, 2019","4.84","4.90","4.90","4.66","34.30K","-1.22%"
"Aug 14, 2019","4.90","4.92","4.92","4.80","55.10K","-1.41%"
"Aug 13, 2019","4.97","5.00","5.00","4.90","50.00K","0.40%"
"Aug 12, 2019","4.95","5.01","5.02","4.95","30.30K","-1.39%"
"Aug 09, 2019","5.02","4.99","5.02","4.81","206.40K","2.03%"
"Aug 08, 2019","4.92","4.90","4.92","4.85","13.40K","0.41%"
"Aug 07, 2019","4.90","4.81","4.93","4.78","11.60K","1.87%"
"Aug 06, 2019","4.81","4.86","4.96","4.81","12.90K","-0.82%"
"Aug 05, 2019","4.85","4.89","4.99","4.85","12.30K","-2.81%"
"Aug 02, 2019","4.99","5.01","5.02","4.93","6.80K","-0.60%"
"Aug 01, 2019","5.02","4.91","5.05","4.91","10.00K","2.45%"
"Jul 31, 2019","4.90","4.99","5.00","4.90","10.80K","-2.58%"
"Jul 30, 2019","5.03","4.98","5.08","4.60","17.50K","1.00%"
"Jul 29, 2019","4.98","5.07","5.07","4.98","21.90K","-1.97%"
"Jul 26, 2019","5.08","5.00","5.09","4.95","16.80K","2.42%"
"Jul 25, 2019","4.96","4.84","4.96","4.81","10.00K","3.33%"
"Jul 24, 2019","4.80","4.79","4.80","4.74","20.40K","0.84%"
"Jul 23, 2019","4.76","4.83","4.85","4.76","29.70K","-2.26%"
"Jul 22, 2019","4.87","4.89","4.89","4.80","21.10K","1.46%"
"Jul 19, 2019","4.80","4.97","4.97","4.78","78.70K","-2.24%"
"Jul 18, 2019","4.91","4.99","5.19","4.91","157.10K","3.37%"
"Jul 17, 2019","4.75","4.57","4.78","4.57","36.40K","1.50%"
"Jul 16, 2019","4.68","4.74","4.74","4.61","33.50K","1.30%"
"Jul 15, 2019","4.62","4.64","4.64","4.52","10.50K","0.43%"
"Jul 12, 2019","4.60","4.56","4.75","4.50","39.50K","1.32%"
"Jul 11, 2019","4.54","4.62","4.70","4.51","76.10K","0.00%"
"Jul 10, 2019","4.54","4.49","4.80","4.48","375.10K","1.79%"
"Jul 08, 2019","4.46","4.43","4.48","4.43","23.70K","-0.67%"
"Jul 05, 2019","4.49","4.38","4.49","4.38","25.00K","0.90%"
"Jul 04, 2019","4.45","4.36","4.49","4.36","5.10K","0.45%"
"Jul 03, 2019","4.43","4.36","4.45","4.35","3.80K","2.07%"
"Jul 02, 2019","4.34","4.40","4.40","4.33","37.50K","-1.14%"
"Jul 01, 2019","4.39","4.45","4.45","4.34","23.90K","0.00%"
"Jun 28, 2019","4.39","4.37","4.40","4.33","12.10K","-0.23%"
"Jun 27, 2019","4.40","4.40","4.40","4.35","14.90K","0.00%"
"Jun 26, 2019","4.40","4.42","4.42","4.35","23.60K","-0.68%"
"Jun 25, 2019","4.43","4.45","4.45","4.37","18.40K","0.68%"
"Jun 24, 2019","4.40","4.45","4.46","4.40","11.60K","-1.12%"
"Jun 21, 2019","4.45","4.45","4.46","4.36","9.50K","-0.89%"
"Jun 19, 2019","4.49","4.41","4.49","4.41","3.10K","0.90%"
"Jun 18, 2019","4.45","4.48","4.49","4.40","14.40K","-0.67%"
