"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","4.26","4.12","4.26","4.07","17.56M","2.40%"
"Oct 24, 2019","4.16","4.15","4.20","4.05","19.02M","1.71%"
"Oct 23, 2019","4.09","4.05","4.17","3.98","25.31M","0.49%"
"Oct 22, 2019","4.07","4.08","4.15","3.96","19.62M","0.74%"
"Oct 21, 2019","4.04","4.06","4.10","4.00","17.41M","-0.49%"
"Oct 18, 2019","4.06","4.25","4.27","4.06","15.67M","-3.79%"
"Oct 17, 2019","4.22","4.27","4.30","4.20","13.88M","-0.71%"
"Oct 16, 2019","4.25","4.26","4.42","4.25","11.36M","-0.93%"
"Oct 15, 2019","4.29","4.20","4.39","4.15","21.09M","0.47%"
"Oct 14, 2019","4.27","4.39","4.39","4.19","11.90M","-3.39%"
"Oct 11, 2019","4.42","4.35","4.44","4.33","15.67M","3.27%"
"Oct 10, 2019","4.28","4.20","4.33","4.17","21.31M","2.88%"
"Oct 09, 2019","4.16","4.27","4.31","4.14","21.35M","-0.72%"
"Oct 08, 2019","4.19","4.45","4.47","4.19","24.22M","-7.10%"
"Oct 07, 2019","4.51","4.41","4.53","4.32","20.70M","1.58%"
"Oct 04, 2019","4.44","4.48","4.51","4.32","18.91M","-0.22%"
"Oct 03, 2019","4.45","4.22","4.45","4.18","24.40M","4.46%"
"Oct 02, 2019","4.26","4.42","4.44","4.26","26.56M","-4.27%"
"Oct 01, 2019","4.45","4.60","4.66","4.38","36.34M","-3.26%"
"Sep 30, 2019","4.60","4.60","4.62","4.47","23.16M","-0.22%"
"Sep 27, 2019","4.61","4.54","4.65","4.53","18.95M","-0.43%"
"Sep 26, 2019","4.63","4.66","4.66","4.57","18.02M","-1.07%"
"Sep 25, 2019","4.68","4.63","4.78","4.61","15.78M","-0.85%"
"Sep 24, 2019","4.72","5.03","5.03","4.69","18.84M","-6.35%"
"Sep 23, 2019","5.04","4.89","5.06","4.85","20.36M","3.07%"
"Sep 20, 2019","4.89","4.95","4.99","4.84","13.56M","-0.41%"
"Sep 19, 2019","4.91","5.12","5.13","4.91","14.32M","-2.39%"
"Sep 18, 2019","5.03","5.09","5.20","4.95","27.75M","-2.90%"
"Sep 17, 2019","5.18","5.53","5.55","5.16","38.04M","-6.50%"
"Sep 16, 2019","5.54","5.28","5.75","5.12","78.86M","16.63%"
"Sep 13, 2019","4.75","4.72","4.82","4.67","15.35M","1.50%"
"Sep 12, 2019","4.68","4.61","4.77","4.55","18.91M","-1.27%"
"Sep 11, 2019","4.74","4.75","4.87","4.65","24.61M","0.85%"
"Sep 10, 2019","4.70","4.79","4.85","4.67","22.93M","-0.42%"
"Sep 09, 2019","4.72","4.61","4.82","4.56","24.41M","4.19%"
"Sep 06, 2019","4.53","4.55","4.57","4.48","15.11M","-1.31%"
"Sep 05, 2019","4.59","4.50","4.64","4.46","23.24M","3.15%"
"Sep 04, 2019","4.45","4.47","4.50","4.41","16.34M","1.83%"
"Sep 03, 2019","4.37","4.33","4.38","4.27","20.78M","-1.58%"
