"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","10.16","9.34","10.23","9.34","-","8.78%"
"May 15, 2020","9.34","9.54","9.83","9.31","4.77M","-3.01%"
"May 14, 2020","9.63","9.14","9.72","8.94","3.09M","4.11%"
"May 13, 2020","9.25","9.40","9.47","8.96","4.24M","-2.12%"
"May 12, 2020","9.45","9.69","9.95","9.39","3.53M","-2.17%"
"May 11, 2020","9.66","9.70","9.80","9.36","3.58M","-1.23%"
"May 08, 2020","9.78","9.93","10.17","9.49","3.87M","0.20%"
"May 07, 2020","9.76","10.52","10.53","9.58","4.81M","-6.69%"
"May 06, 2020","10.46","10.53","10.70","10.22","2.94M","-0.38%"
"May 05, 2020","10.50","10.38","10.68","10.29","2.90M","3.35%"
"May 04, 2020","10.16","10.00","10.35","9.92","2.46M","-3.15%"
"Apr 30, 2020","10.49","10.95","11.10","10.36","4.87M","-4.98%"
"Apr 29, 2020","11.04","11.02","11.18","10.64","3.54M","1.85%"
"Apr 28, 2020","10.84","11.08","11.25","10.72","5.10M","0.56%"
"Apr 27, 2020","10.78","10.65","11.04","10.43","3.63M","4.46%"
"Apr 24, 2020","10.32","11.19","11.19","9.46","10.27M","-10.42%"
"Apr 23, 2020","11.52","11.49","11.83","11.00","4.36M","2.31%"
"Apr 22, 2020","11.26","11.02","11.71","10.90","8.51M","3.11%"
"Apr 20, 2020","10.92","10.15","10.92","10.06","4.25M","5.61%"
"Apr 17, 2020","10.34","10.30","10.39","10.10","7.37M","2.17%"
"Apr 16, 2020","10.12","10.64","10.74","9.96","4.90M","-5.33%"
"Apr 15, 2020","10.69","10.71","10.99","10.56","2.57M","-1.93%"
"Apr 14, 2020","10.90","11.14","11.24","10.75","6.56M","0.00%"
"Apr 13, 2020","10.90","10.66","10.99","10.23","3.63M","1.87%"
"Apr 09, 2020","10.70","10.15","11.13","10.13","5.84M","5.63%"
"Apr 08, 2020","10.13","9.38","10.19","9.28","3.62M","8.34%"
"Apr 07, 2020","9.35","9.88","10.06","9.35","4.92M","0.00%"
"Apr 06, 2020","9.35","8.67","9.37","8.67","5.02M","13.33%"
"Apr 03, 2020","8.25","8.86","8.89","8.01","5.04M","-8.33%"
"Apr 02, 2020","9.00","9.10","9.22","8.55","3.65M","-0.66%"
"Apr 01, 2020","9.06","9.01","9.32","8.91","2.66M","-4.13%"
"Mar 31, 2020","9.45","10.16","10.16","9.25","3.83M","-7.35%"
"Mar 30, 2020","10.20","10.59","10.88","9.95","4.28M","-3.50%"
"Mar 27, 2020","10.57","10.57","10.82","10.20","4.56M","-6.46%"
"Mar 26, 2020","11.30","10.90","11.63","10.80","4.54M","4.15%"
"Mar 25, 2020","10.85","10.00","11.14","9.74","3.31M","8.72%"
"Mar 24, 2020","9.98","9.15","10.24","9.15","3.65M","14.58%"
