"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2019","46.33","46.05","46.45","46.02","-","0.76%"
"Nov 01, 2019","45.98","45.52","46.26","45.42","1.88M","1.59%"
"Oct 31, 2019","45.26","45.29","45.47","44.71","1.33M","-0.11%"
"Oct 30, 2019","45.31","44.78","45.33","44.20","861.60K","1.39%"
"Oct 29, 2019","44.69","44.34","44.74","44.07","904.70K","1.06%"
"Oct 28, 2019","44.22","43.70","44.38","43.51","865.30K","1.59%"
"Oct 25, 2019","43.53","43.88","44.12","43.51","895.50K","-0.64%"
"Oct 24, 2019","43.81","43.80","44.02","43.47","1.16M","0.16%"
"Oct 23, 2019","43.74","43.94","44.13","43.50","1.49M","-0.48%"
"Oct 22, 2019","43.95","43.96","44.48","43.74","1.39M","-0.43%"
"Oct 21, 2019","44.14","43.48","44.17","43.23","836.80K","0.87%"
"Oct 18, 2019","43.76","43.68","43.88","43.22","1.69M","0.44%"
"Oct 17, 2019","43.57","43.37","43.58","43.02","730.70K","0.60%"
"Oct 16, 2019","43.31","43.69","43.69","42.44","1.29M","0.21%"
"Oct 15, 2019","43.22","43.87","44.12","42.94","1.55M","-1.37%"
"Oct 14, 2019","43.82","43.26","43.82","42.63","1.14M","1.65%"
"Oct 11, 2019","43.11","42.67","43.23","42.31","858.40K","2.16%"
"Oct 10, 2019","42.20","42.60","42.75","42.17","1.38M","-0.66%"
"Oct 09, 2019","42.48","42.89","43.03","42.25","1.14M","-0.45%"
"Oct 08, 2019","42.67","43.05","43.31","42.42","1.04M","-0.61%"
"Oct 07, 2019","42.93","43.90","44.10","42.81","1.22M","-2.45%"
"Oct 04, 2019","44.01","43.96","44.22","43.55","714.60K","0.09%"
"Oct 03, 2019","43.97","43.75","43.97","43.25","872.20K","0.83%"
"Oct 02, 2019","43.61","44.15","44.25","43.61","1.39M","-1.87%"
"Oct 01, 2019","44.44","44.51","44.51","43.52","1.60M","0.11%"
"Sep 30, 2019","44.39","44.00","44.59","43.91","1.05M","1.00%"
"Sep 27, 2019","43.95","44.00","44.05","43.68","554.60K","0.11%"
"Sep 26, 2019","43.90","43.90","44.18","43.72","631.00K","-0.25%"
"Sep 25, 2019","44.01","44.50","44.55","43.71","1.31M","-1.57%"
"Sep 24, 2019","44.71","44.66","44.93","44.40","729.40K","0.11%"
"Sep 23, 2019","44.66","44.89","45.02","44.33","673.60K","-0.51%"
"Sep 20, 2019","44.89","45.49","45.85","44.45","1.59M","-0.62%"
"Sep 19, 2019","45.17","44.10","45.48","44.01","1.41M","2.73%"
"Sep 18, 2019","43.97","43.92","44.19","43.72","786.20K","0.16%"
"Sep 17, 2019","43.90","44.42","44.68","43.85","1.78M","-1.17%"
"Sep 16, 2019","44.42","44.17","44.70","43.86","837.60K","0.91%"
"Sep 13, 2019","44.02","44.68","44.94","44.02","726.60K","-1.46%"
"Sep 12, 2019","44.67","44.84","45.00","44.53","921.90K","0.68%"
"Sep 11, 2019","44.37","44.00","44.50","43.66","757.70K","1.74%"
"Sep 10, 2019","43.61","43.73","44.15","43.53","821.00K","-0.32%"
"Sep 09, 2019","43.75","44.04","44.76","43.66","1.45M","-0.57%"
"Sep 06, 2019","44.00","45.03","45.34","43.92","1.25M","-1.54%"
"Sep 05, 2019","44.69","44.32","44.96","44.32","1.39M","1.06%"
"Sep 04, 2019","44.22","44.11","44.31","43.40","1.04M","0.64%"
"Sep 03, 2019","43.94","44.45","44.65","43.30","1.03M","-0.70%"
"Sep 02, 2019","44.25","45.30","45.38","44.25","675.60K","-1.62%"
"Aug 30, 2019","44.98","44.14","45.71","43.92","1.85M","2.18%"
"Aug 29, 2019","44.02","43.87","44.12","43.33","1.59M","1.31%"
"Aug 28, 2019","43.45","42.87","43.62","42.39","1.69M","1.12%"
"Aug 27, 2019","42.97","43.21","43.21","42.37","2.31M","-0.14%"
"Aug 26, 2019","43.03","44.09","44.10","42.57","1.25M","-1.60%"
"Aug 23, 2019","43.73","44.00","44.40","43.20","1.18M","-0.64%"
"Aug 22, 2019","44.01","44.96","44.96","44.01","563.20K","-1.26%"
"Aug 21, 2019","44.57","44.74","44.74","43.90","1.16M","0.59%"
"Aug 20, 2019","44.31","45.15","45.29","44.29","1.26M","-1.86%"
"Aug 19, 2019","45.15","45.56","46.03","44.80","806.40K","0.00%"
"Aug 16, 2019","45.15","45.46","46.02","45.12","1.24M","-0.44%"
"Aug 15, 2019","45.35","46.19","46.67","44.76","1.64M","-1.78%"
"Aug 14, 2019","46.17","47.49","47.61","45.96","1.82M","-3.61%"
"Aug 13, 2019","47.90","46.74","48.09","46.64","1.43M","1.48%"
"Aug 12, 2019","47.20","47.17","47.53","46.59","1.05M","-1.38%"
"Aug 09, 2019","47.86","47.50","48.27","47.30","1.60M","0.76%"
"Aug 08, 2019","47.50","47.83","48.39","47.17","1.51M","0.21%"
"Aug 07, 2019","47.40","47.67","47.73","46.24","1.94M","-2.27%"
"Aug 06, 2019","48.50","48.00","48.64","47.53","1.01M","2.32%"
"Aug 05, 2019","47.40","47.75","47.92","47.07","1.37M","-1.92%"
"Aug 02, 2019","48.33","48.10","48.62","47.66","1.29M","0.48%"
"Aug 01, 2019","48.10","48.87","49.44","48.10","1.01M","-0.35%"
"Jul 31, 2019","48.27","48.70","49.01","48.02","1.22M","-1.19%"
"Jul 30, 2019","48.85","48.57","49.50","48.47","1.07M","0.66%"
"Jul 29, 2019","48.53","47.83","48.90","47.22","1.57M","1.51%"
"Jul 26, 2019","47.81","46.95","48.41","46.95","1.56M","2.31%"
"Jul 25, 2019","46.73","47.07","47.37","46.56","984.90K","-0.47%"
"Jul 24, 2019","46.95","46.89","47.42","46.74","1.32M","0.75%"
"Jul 23, 2019","46.60","47.34","47.34","46.45","1.05M","-0.96%"
"Jul 22, 2019","47.05","46.83","47.40","46.44","1.04M","0.32%"
"Jul 19, 2019","46.90","46.85","47.02","46.24","1.12M","0.34%"
"Jul 18, 2019","46.74","46.82","47.00","46.54","775.50K","0.09%"
"Jul 17, 2019","46.70","46.50","47.00","46.24","1.11M","0.65%"
"Jul 16, 2019","46.40","46.00","46.49","46.00","899.90K","0.89%"
"Jul 15, 2019","45.99","46.61","46.91","45.84","919.60K","-1.10%"
"Jul 12, 2019","46.50","46.08","47.18","46.08","1.83M","1.02%"
"Jul 11, 2019","46.03","46.38","46.55","45.69","995.30K","-0.28%"
"Jul 10, 2019","46.16","45.30","46.40","45.30","1.58M","2.19%"
"Jul 08, 2019","45.17","44.75","45.19","44.37","599.30K","1.39%"
"Jul 05, 2019","44.55","44.36","44.82","44.07","744.10K","0.47%"
"Jul 04, 2019","44.34","44.68","45.05","44.31","989.10K","0.64%"
"Jul 03, 2019","44.06","43.31","44.80","43.12","1.84M","0.80%"
