"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","26.57","25.22","26.77","25.22","-","5.35%"
"May 15, 2020","25.22","24.89","25.53","23.84","2.74M","0.20%"
"May 14, 2020","25.17","22.80","25.17","22.43","4.87M","7.79%"
"May 13, 2020","23.35","23.80","23.98","22.00","4.59M","0.43%"
"May 12, 2020","23.25","25.15","25.58","23.25","3.35M","-5.87%"
"May 11, 2020","24.70","25.15","25.82","24.44","2.49M","-2.76%"
"May 08, 2020","25.40","25.00","25.49","24.57","3.04M","4.40%"
"May 07, 2020","24.33","26.21","26.21","24.16","5.54M","-5.92%"
"May 06, 2020","25.86","26.19","26.35","25.15","2.71M","-1.30%"
"May 05, 2020","26.20","26.74","27.00","26.01","2.05M","-0.38%"
"May 04, 2020","26.30","26.18","26.75","25.49","3.87M","-5.53%"
"Apr 30, 2020","27.84","26.68","27.84","26.08","4.25M","0.36%"
"Apr 29, 2020","27.74","27.60","28.10","26.78","3.17M","1.54%"
"Apr 28, 2020","27.32","27.36","27.88","26.53","4.15M","5.93%"
"Apr 27, 2020","25.79","25.60","26.50","25.05","3.95M","3.45%"
"Apr 24, 2020","24.93","27.70","27.70","22.90","7.60M","-13.17%"
"Apr 23, 2020","28.71","30.33","30.55","27.66","4.04M","-4.20%"
"Apr 22, 2020","29.97","29.15","30.56","28.92","3.12M","2.60%"
"Apr 20, 2020","29.21","28.60","29.83","27.16","3.71M","-0.44%"
"Apr 17, 2020","29.34","29.75","29.79","28.60","2.54M","0.89%"
"Apr 16, 2020","29.08","30.45","30.58","28.93","3.05M","-2.94%"
"Apr 15, 2020","29.96","29.10","30.69","28.65","3.11M","-0.76%"
"Apr 14, 2020","30.19","29.63","31.23","29.54","3.16M","3.43%"
"Apr 13, 2020","29.19","28.19","29.38","27.30","2.80M","3.00%"
"Apr 09, 2020","28.34","27.00","29.24","26.83","3.64M","5.16%"
"Apr 08, 2020","26.95","25.84","27.33","24.91","2.83M","5.19%"
"Apr 07, 2020","25.62","26.36","27.46","25.46","2.59M","3.10%"
"Apr 06, 2020","24.85","25.80","26.78","24.37","3.98M","-0.40%"
"Apr 03, 2020","24.95","25.22","25.25","22.74","3.61M","-1.15%"
"Apr 02, 2020","25.24","25.20","25.80","24.49","3.08M","1.20%"
"Apr 01, 2020","24.94","24.81","25.64","24.07","3.88M","-4.19%"
"Mar 31, 2020","26.03","26.60","28.13","25.49","5.56M","-1.55%"
"Mar 30, 2020","26.44","25.30","26.64","25.30","4.74M","6.57%"
"Mar 27, 2020","24.81","23.41","25.53","23.40","4.19M","-1.98%"
"Mar 26, 2020","25.31","22.88","25.42","22.88","4.51M","5.68%"
"Mar 25, 2020","23.95","19.89","24.48","19.89","5.14M","16.89%"
"Mar 24, 2020","20.49","19.74","20.49","18.79","4.10M","10.88%"
"Mar 23, 2020","18.48","19.06","19.25","16.12","5.80M","-2.27%"
"Mar 20, 2020","18.91","20.12","20.50","18.33","5.54M","-2.58%"
"Mar 19, 2020","19.41","21.14","21.14","18.06","8.40M","-9.13%"
"Mar 18, 2020","21.36","23.01","23.85","19.18","7.02M","-16.10%"
"Mar 17, 2020","25.46","24.90","26.70","23.85","3.78M","3.54%"
"Mar 16, 2020","24.59","24.00","25.65","21.90","7.79M","-14.97%"
"Mar 13, 2020","28.92","28.28","29.26","24.34","5.80M","16.24%"
"Mar 12, 2020","24.88","26.51","26.51","21.94","3.84M","-19.33%"
"Mar 11, 2020","30.84","32.27","33.35","27.93","6.84M","-4.79%"
"Mar 10, 2020","32.39","31.32","32.39","29.96","4.69M","8.58%"
"Mar 09, 2020","29.83","30.60","31.55","29.23","5.19M","-13.28%"
"Mar 06, 2020","34.40","34.09","35.25","33.62","3.55M","-4.58%"
"Mar 05, 2020","36.05","36.45","37.03","35.52","3.63M","-1.10%"
"Mar 04, 2020","36.45","35.94","37.00","35.86","3.82M","2.04%"
"Mar 03, 2020","35.72","35.83","37.13","35.06","5.89M","-0.53%"
"Mar 02, 2020","35.91","35.98","36.65","35.25","4.43M","0.17%"
"Feb 28, 2020","35.85","35.61","35.90","33.61","5.55M","0.70%"
"Feb 27, 2020","35.60","36.28","37.10","35.60","4.56M","-3.76%"
"Feb 26, 2020","36.99","38.03","38.30","36.74","3.52M","-6.90%"
"Feb 21, 2020","39.73","39.80","40.03","39.28","1.42M","-1.59%"
"Feb 20, 2020","40.37","40.95","40.95","39.56","2.44M","-1.87%"
"Feb 19, 2020","41.14","40.65","41.52","40.00","3.60M","1.21%"
"Feb 18, 2020","40.65","38.50","40.65","38.50","3.24M","5.23%"
"Feb 17, 2020","38.63","38.57","38.89","38.30","1.14M","0.65%"
"Feb 14, 2020","38.38","38.05","38.68","37.57","3.12M","1.27%"
