"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","6.23","6.50","6.79","6.23","17.42M","-5.18%"
"May 14, 2020","6.57","5.91","6.62","5.89","26.66M","6.14%"
"May 13, 2020","6.19","6.78","6.78","6.17","24.42M","-8.70%"
"May 12, 2020","6.78","7.22","7.33","6.73","20.67M","-5.70%"
"May 11, 2020","7.19","7.45","7.69","7.16","12.71M","-4.64%"
"May 08, 2020","7.54","7.16","7.57","7.06","11.59M","7.56%"
"May 07, 2020","7.01","7.24","7.53","6.99","23.37M","-2.09%"
"May 06, 2020","7.16","7.59","7.59","7.14","14.04M","-4.53%"
"May 05, 2020","7.50","7.91","7.96","7.36","17.98M","-2.85%"
"May 04, 2020","7.72","8.20","8.23","7.62","24.12M","-10.75%"
"Apr 30, 2020","8.65","8.66","8.75","8.32","24.37M","-1.93%"
"Apr 29, 2020","8.82","8.28","9.00","8.20","12.94M","7.96%"
"Apr 28, 2020","8.17","7.93","8.35","7.73","19.37M","6.66%"
"Apr 27, 2020","7.66","7.26","7.89","6.91","45.91M","-7.49%"
"Apr 24, 2020","8.28","9.20","9.20","8.18","13.92M","-10.68%"
"Apr 23, 2020","9.27","8.95","9.34","8.90","8.44M","3.34%"
"Apr 22, 2020","8.97","9.07","9.13","8.83","9.27M","-2.50%"
"Apr 20, 2020","9.20","9.29","9.35","9.09","6.71M","-3.66%"
"Apr 17, 2020","9.55","9.40","9.67","9.11","7.20M","3.24%"
"Apr 16, 2020","9.25","9.38","9.52","8.99","6.98M","-0.32%"
"Apr 15, 2020","9.28","9.50","9.56","9.16","6.53M","-3.53%"
"Apr 14, 2020","9.62","9.93","9.93","9.51","6.21M","-1.43%"
"Apr 13, 2020","9.76","9.65","9.76","9.25","3.09M","1.35%"
"Apr 09, 2020","9.63","9.39","9.74","9.27","4.51M","3.10%"
"Apr 08, 2020","9.34","8.90","9.40","8.82","7.22M","6.74%"
"Apr 07, 2020","8.75","9.55","10.05","8.74","7.67M","-1.24%"
"Apr 06, 2020","8.86","8.90","9.42","8.80","5.51M","4.48%"
"Apr 03, 2020","8.48","9.20","9.29","8.30","5.91M","-8.32%"
"Apr 02, 2020","9.25","9.48","9.72","9.10","5.29M","-2.01%"
"Apr 01, 2020","9.44","9.18","9.48","9.02","3.48M","-1.05%"
"Mar 31, 2020","9.54","9.50","9.97","9.37","6.20M","2.36%"
"Mar 30, 2020","9.32","9.03","9.48","8.71","7.28M","3.90%"
"Mar 27, 2020","8.97","9.93","9.99","8.97","8.33M","-11.45%"
"Mar 26, 2020","10.13","10.50","11.04","10.00","8.85M","-4.16%"
"Mar 25, 2020","10.57","8.98","10.92","8.97","8.70M","16.80%"
"Mar 24, 2020","9.05","8.10","10.63","7.79","10.05M","16.93%"
"Mar 23, 2020","7.74","8.53","8.53","7.34","11.38M","-7.86%"
"Mar 20, 2020","8.40","10.00","10.00","8.40","8.98M","-12.95%"
"Mar 19, 2020","9.65","8.91","10.01","8.43","9.92M","6.87%"
"Mar 18, 2020","9.03","9.47","9.90","8.53","10.49M","-13.84%"
"Mar 17, 2020","10.48","10.00","10.77","9.61","9.24M","4.80%"
"Mar 16, 2020","10.00","10.35","11.17","10.00","10.56M","-14.38%"
"Mar 13, 2020","11.68","12.07","12.14","10.55","9.55M","11.66%"
"Mar 12, 2020","10.46","10.99","11.56","10.46","6.72M","-26.44%"
"Mar 11, 2020","14.22","14.59","14.88","13.64","7.25M","-6.26%"
"Mar 10, 2020","15.17","15.05","15.40","14.51","6.87M","1.40%"
"Mar 09, 2020","14.96","15.26","15.28","14.68","6.89M","-6.03%"
"Mar 06, 2020","15.92","16.03","16.30","15.76","6.10M","-3.81%"
"Mar 05, 2020","16.55","17.00","17.21","16.35","3.93M","-4.00%"
"Mar 04, 2020","17.24","17.26","17.36","16.70","4.28M","1.95%"
"Mar 03, 2020","16.91","16.92","17.55","16.67","5.28M","-1.40%"
"Mar 02, 2020","17.15","16.80","17.16","16.53","4.13M","1.12%"
"Feb 28, 2020","16.96","17.20","17.20","16.28","7.11M","-1.28%"
"Feb 27, 2020","17.18","17.70","17.83","17.17","10.35M","-3.70%"
"Feb 26, 2020","17.84","18.35","18.48","17.63","6.56M","-8.70%"
"Feb 21, 2020","19.54","19.53","19.66","19.32","2.38M","-0.71%"
"Feb 20, 2020","19.68","19.06","20.04","19.06","4.65M","3.36%"
"Feb 19, 2020","19.04","18.54","19.19","18.45","2.28M","1.44%"
"Feb 18, 2020","18.77","18.80","18.90","18.44","2.79M","-0.53%"
"Feb 17, 2020","18.87","18.51","18.94","18.15","1.12M","1.67%"
"Feb 14, 2020","18.56","19.05","19.18","18.56","2.28M","-3.18%"
"Feb 13, 2020","19.17","18.66","19.17","18.61","2.94M","0.21%"
"Feb 12, 2020","19.13","18.97","19.33","18.79","4.31M","1.00%"
"Feb 11, 2020","18.94","18.70","18.94","18.45","2.31M","2.32%"
"Feb 10, 2020","18.51","18.40","18.85","18.24","2.68M","0.65%"
"Feb 07, 2020","18.39","18.53","18.62","18.23","2.62M","-1.39%"
"Feb 06, 2020","18.65","18.58","18.74","18.41","3.12M","1.30%"
"Feb 05, 2020","18.41","18.41","18.74","18.32","4.11M","0.88%"
"Feb 04, 2020","18.25","18.13","18.37","18.06","2.62M","1.16%"
"Feb 03, 2020","18.04","18.07","18.41","17.98","3.12M","-0.55%"
"Jan 31, 2020","18.14","18.10","18.24","17.80","3.43M","0.22%"
"Jan 30, 2020","18.10","18.10","18.17","17.73","2.69M","-0.44%"
"Jan 29, 2020","18.18","18.24","18.44","18.15","2.76M","-0.11%"
"Jan 28, 2020","18.20","18.61","18.78","18.20","2.33M","0.33%"
"Jan 27, 2020","18.14","18.40","18.40","18.11","2.41M","-2.21%"
"Jan 24, 2020","18.55","18.99","19.05","18.55","2.00M","-2.32%"
"Jan 23, 2020","18.99","19.23","19.23","18.73","2.17M","-1.09%"
"Jan 22, 2020","19.20","19.02","19.25","18.83","2.71M","1.43%"
"Jan 21, 2020","18.93","19.33","19.41","18.90","2.20M","-2.37%"
"Jan 20, 2020","19.39","19.60","19.60","19.24","962.10K","-0.82%"
"Jan 17, 2020","19.55","19.73","19.77","19.46","1.78M","-0.51%"
"Jan 16, 2020","19.65","20.11","20.11","19.57","2.27M","-1.75%"
"Jan 15, 2020","20.00","20.27","20.31","19.79","2.97M","-1.82%"
"Jan 14, 2020","20.37","20.47","20.47","20.15","2.51M","-0.44%"
"Jan 13, 2020","20.46","20.11","20.53","20.08","2.42M","1.74%"
"Jan 10, 2020","20.11","20.29","20.32","20.06","2.07M","-0.40%"
"Jan 09, 2020","20.19","20.32","20.43","20.01","3.22M","-0.69%"
"Jan 08, 2020","20.33","20.50","20.59","20.29","1.83M","-0.83%"
"Jan 07, 2020","20.50","20.42","20.57","20.07","3.58M","0.59%"
"Jan 06, 2020","20.38","20.43","20.59","20.14","3.35M","-0.15%"
"Jan 03, 2020","20.41","20.10","20.47","19.99","3.45M","1.04%"
