"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","9.76","10.09","10.18","9.41","3.53M","1.35%"
"May 15, 2020","9.63","9.54","9.91","9.34","2.82M","1.48%"
"May 14, 2020","9.49","8.60","9.50","8.51","4.94M","12.31%"
"May 13, 2020","8.45","8.66","8.85","8.28","1.17M","-1.86%"
"May 12, 2020","8.61","8.64","9.09","8.54","1.94M","1.29%"
"May 11, 2020","8.50","8.86","9.13","8.50","1.26M","-4.28%"
"May 08, 2020","8.88","9.16","9.31","8.65","1.84M","-1.33%"
"May 07, 2020","9.00","9.79","10.10","9.00","3.22M","-3.23%"
"May 06, 2020","9.30","9.46","9.66","9.07","1.90M","-1.06%"
"May 05, 2020","9.40","8.96","9.53","8.90","1.42M","7.80%"
"May 04, 2020","8.72","8.95","9.02","8.45","1.04M","-4.49%"
"Apr 30, 2020","9.13","9.29","9.52","9.02","1.53M","-2.67%"
"Apr 29, 2020","9.38","9.00","9.57","8.82","1.94M","6.59%"
"Apr 28, 2020","8.80","9.06","9.20","8.77","1.65M","-1.12%"
"Apr 27, 2020","8.90","8.50","8.96","8.02","2.20M","6.33%"
"Apr 24, 2020","8.37","9.04","9.04","8.02","2.15M","-8.92%"
"Apr 23, 2020","9.19","9.00","9.24","8.56","1.96M","3.96%"
"Apr 22, 2020","8.84","8.25","8.93","8.00","2.81M","4.00%"
"Apr 20, 2020","8.50","8.65","9.08","8.50","2.38M","-5.35%"
"Apr 17, 2020","8.98","9.06","9.32","8.82","1.81M","2.31%"
"Apr 16, 2020","8.78","8.98","9.11","8.67","1.45M","-0.80%"
"Apr 15, 2020","8.85","8.65","9.00","8.48","1.86M","-0.89%"
"Apr 14, 2020","8.93","9.11","9.41","8.77","1.83M","-1.08%"
"Apr 13, 2020","9.03","8.56","9.03","8.32","1.89M","6.03%"
"Apr 09, 2020","8.51","9.47","9.71","8.49","3.03M","-7.50%"
"Apr 08, 2020","9.20","8.76","9.58","8.62","2.86M","4.94%"
"Apr 07, 2020","8.77","8.08","9.25","8.08","3.90M","11.60%"
