"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","16.23","15.63","16.44","15.60","-","3.84%"
"May 15, 2020","15.63","15.46","15.96","15.32","2.91M","-0.82%"
"May 14, 2020","15.76","15.16","15.88","14.82","3.12M","3.07%"
"May 13, 2020","15.29","15.53","15.63","15.02","2.74M","-1.16%"
"May 12, 2020","15.47","15.50","15.91","15.47","2.21M","-0.26%"
"May 11, 2020","15.51","16.00","16.21","15.51","3.04M","-3.54%"
"May 08, 2020","16.08","16.31","16.34","16.02","3.03M","0.69%"
"May 07, 2020","15.97","16.90","16.93","15.93","3.76M","-5.11%"
"May 06, 2020","16.83","16.92","16.96","16.51","2.81M","-0.12%"
"May 05, 2020","16.85","17.20","17.29","16.85","1.55M","-0.53%"
"May 04, 2020","16.94","16.52","17.18","16.48","4.03M","-0.35%"
"Apr 30, 2020","17.00","16.77","17.19","16.62","7.47M","0.18%"
"Apr 29, 2020","16.97","17.16","17.22","16.64","2.50M","0.59%"
"Apr 28, 2020","16.87","17.00","17.45","16.87","1.70M","1.81%"
"Apr 27, 2020","16.57","16.50","16.88","16.13","1.95M","3.50%"
"Apr 24, 2020","16.01","16.86","16.89","15.50","4.75M","-5.55%"
"Apr 23, 2020","16.95","17.74","17.84","16.75","2.43M","-3.42%"
"Apr 22, 2020","17.55","17.23","17.70","16.91","3.00M","2.09%"
"Apr 20, 2020","17.19","16.51","17.19","16.32","3.21M","2.32%"
"Apr 17, 2020","16.80","17.34","17.56","16.67","3.41M","-0.77%"
"Apr 16, 2020","16.93","17.15","17.18","16.56","3.02M","-0.99%"
"Apr 15, 2020","17.10","16.60","17.31","16.42","3.02M","0.77%"
"Apr 14, 2020","16.97","16.55","17.37","16.46","2.53M","3.54%"
"Apr 13, 2020","16.39","16.04","16.55","15.67","2.66M","1.86%"
"Apr 09, 2020","16.09","16.20","16.67","16.06","2.99M","0.94%"
"Apr 08, 2020","15.94","16.06","16.42","15.72","2.34M","0.38%"
"Apr 07, 2020","15.88","16.65","17.12","15.88","2.89M","1.08%"
"Apr 06, 2020","15.71","15.24","16.06","15.24","2.66M","7.53%"
"Apr 03, 2020","14.61","15.30","15.31","14.50","4.29M","-4.01%"
"Apr 02, 2020","15.22","15.49","16.10","14.99","3.50M","-1.81%"
"Apr 01, 2020","15.50","15.40","15.84","15.31","2.53M","0.16%"
"Mar 31, 2020","15.48","15.36","16.15","15.15","4.21M","-0.06%"
"Mar 30, 2020","15.49","14.69","15.51","14.60","2.70M","-0.09%"
"Mar 27, 2020","15.50","15.50","15.84","15.30","3.54M","-3.73%"
"Mar 26, 2020","16.10","14.79","16.51","14.79","5.39M","10.20%"
"Mar 25, 2020","14.61","14.11","15.09","13.93","5.01M","3.76%"
"Mar 24, 2020","14.08","14.40","14.82","14.00","5.57M","2.10%"
"Mar 23, 2020","13.79","14.30","14.43","13.19","6.10M","-3.77%"
"Mar 20, 2020","14.33","14.97","15.12","14.07","7.92M","-3.04%"
"Mar 19, 2020","14.78","15.00","15.20","14.10","6.39M","-3.78%"
"Mar 18, 2020","15.36","16.00","16.71","14.45","5.19M","-9.11%"
"Mar 17, 2020","16.90","16.39","17.30","16.14","4.05M","4.64%"
"Mar 16, 2020","16.15","16.37","16.71","15.83","4.02M","-10.33%"
"Mar 13, 2020","18.01","19.21","19.21","16.35","4.74M","10.76%"
"Mar 12, 2020","16.26","17.00","17.08","15.70","4.46M","-12.77%"
"Mar 11, 2020","18.64","18.86","19.11","17.49","4.82M","-4.07%"
"Mar 10, 2020","19.43","19.97","20.08","18.87","4.74M","1.89%"
"Mar 09, 2020","19.07","18.10","19.31","18.10","5.96M","-5.45%"
"Mar 06, 2020","20.17","20.38","20.59","19.91","6.00M","-3.08%"
"Mar 05, 2020","20.81","21.21","21.31","20.19","4.74M","-3.12%"
"Mar 04, 2020","21.48","20.71","21.81","20.63","6.01M","5.24%"
"Mar 03, 2020","20.41","20.89","21.44","20.40","2.70M","-2.06%"
"Mar 02, 2020","20.84","20.43","20.92","20.22","5.56M","2.01%"
"Feb 28, 2020","20.43","20.03","20.43","19.41","4.12M","1.69%"
"Feb 27, 2020","20.09","20.58","20.75","20.09","4.25M","-3.41%"
"Feb 26, 2020","20.80","20.80","20.99","20.40","3.85M","-3.97%"
"Feb 21, 2020","21.66","21.46","21.66","21.18","2.17M","0.98%"
"Feb 20, 2020","21.45","22.08","22.08","21.41","2.32M","-2.90%"
"Feb 19, 2020","22.09","21.70","22.09","21.70","3.54M","2.27%"
"Feb 18, 2020","21.60","21.66","21.83","21.49","1.99M","0.28%"
"Feb 17, 2020","21.54","21.61","21.71","21.45","2.82M","0.09%"
"Feb 14, 2020","21.52","21.46","21.83","21.40","2.77M","-0.46%"
"Feb 13, 2020","21.62","21.45","21.92","21.40","3.54M","0.14%"
"Feb 12, 2020","21.59","21.45","21.74","21.45","2.27M","1.08%"
"Feb 11, 2020","21.36","21.28","21.48","20.99","7.20M","0.47%"
"Feb 10, 2020","21.26","21.51","21.78","20.96","2.32M","-1.12%"
"Feb 07, 2020","21.50","22.21","22.21","21.50","2.31M","-3.28%"
"Feb 06, 2020","22.23","22.54","22.66","22.01","1.89M","-0.98%"
"Feb 05, 2020","22.45","22.70","22.79","22.33","4.72M","-0.27%"
"Feb 04, 2020","22.51","23.10","23.18","22.45","3.14M","-1.96%"
"Feb 03, 2020","22.96","22.38","23.16","22.26","3.19M","2.73%"
"Jan 31, 2020","22.35","22.06","22.80","21.98","3.16M","0.54%"
"Jan 30, 2020","22.23","22.39","22.45","21.87","4.05M","-1.24%"
"Jan 29, 2020","22.51","23.08","23.14","22.51","2.81M","-2.76%"
"Jan 28, 2020","23.15","22.85","23.32","22.76","1.67M","1.14%"
