"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","4.50","4.36","4.62","4.35","6.09M","3.21%"
"Oct 24, 2019","4.36","4.76","4.79","4.28","9.66M","-8.21%"
"Oct 23, 2019","4.75","4.68","4.80","4.43","7.96M","1.06%"
"Oct 22, 2019","4.70","4.65","4.80","4.53","5.61M","1.08%"
"Oct 21, 2019","4.65","4.98","5.03","4.38","25.65M","-4.71%"
"Oct 18, 2019","4.88","5.14","5.18","4.75","21.88M","1.04%"
"Oct 17, 2019","4.83","4.30","5.17","4.22","30.40M","16.11%"
"Oct 16, 2019","4.16","3.60","4.47","3.60","22.45M","19.20%"
"Oct 15, 2019","3.49","3.44","3.60","3.33","4.24M","3.87%"
"Oct 14, 2019","3.36","3.69","3.70","3.32","4.24M","-9.43%"
"Oct 11, 2019","3.71","3.61","3.83","3.61","5.01M","3.63%"
"Oct 10, 2019","3.58","3.68","3.78","3.38","5.11M","-2.72%"
"Oct 09, 2019","3.68","3.75","3.81","3.65","3.96M","-1.34%"
"Oct 08, 2019","3.73","3.94","3.95","3.69","5.21M","-5.57%"
"Oct 07, 2019","3.95","3.82","4.04","3.81","6.07M","3.40%"
"Oct 04, 2019","3.82","3.86","3.99","3.52","10.50M","-1.04%"
"Oct 03, 2019","3.86","3.40","3.86","3.37","9.22M","12.87%"
"Oct 02, 2019","3.42","3.31","3.53","3.21","6.00M","2.40%"
"Oct 01, 2019","3.34","3.27","3.82","3.20","15.77M","4.05%"
"Sep 30, 2019","3.21","3.27","3.27","3.04","5.64M","0.63%"
"Sep 27, 2019","3.19","2.91","3.34","2.89","7.99M","10.00%"
"Sep 26, 2019","2.90","3.15","3.21","2.89","6.02M","-8.52%"
"Sep 25, 2019","3.17","3.11","3.27","3.10","3.61M","0.32%"
"Sep 24, 2019","3.16","3.24","3.31","3.08","6.39M","-3.07%"
"Sep 23, 2019","3.26","3.40","3.52","3.17","6.13M","-6.32%"
"Sep 20, 2019","3.48","3.34","3.67","3.33","9.01M","3.57%"
"Sep 19, 2019","3.36","3.83","3.89","3.28","10.08M","-12.95%"
"Sep 18, 2019","3.86","4.03","4.05","3.82","4.89M","-5.85%"
"Sep 17, 2019","4.10","4.19","4.20","3.77","7.43M","-2.38%"
"Sep 16, 2019","4.20","3.80","4.28","3.79","7.62M","8.25%"
"Sep 13, 2019","3.88","4.07","4.26","3.82","5.46M","-2.02%"
"Sep 12, 2019","3.96","4.05","4.05","3.62","8.72M","-2.22%"
"Sep 11, 2019","4.05","4.03","4.46","3.73","22.76M","1.25%"
"Sep 10, 2019","4.00","3.06","4.07","3.04","24.35M","30.29%"
"Sep 09, 2019","3.07","3.43","3.43","2.98","14.45M","-11.78%"
"Sep 06, 2019","3.48","2.34","3.51","2.33","25.28M","47.46%"
"Sep 05, 2019","2.36","2.23","2.43","1.97","19.62M","-3.28%"
"Sep 04, 2019","2.44","2.45","2.46","2.24","10.01M","2.52%"
"Sep 03, 2019","2.38","2.30","2.39","2.16","6.68M","0.42%"
"Aug 30, 2019","2.37","2.42","2.44","2.21","7.53M","-3.66%"
"Aug 29, 2019","2.46","2.43","2.55","2.36","5.65M","2.07%"
"Aug 28, 2019","2.41","2.51","2.56","2.37","4.97M","-5.49%"
"Aug 27, 2019","2.55","2.97","2.99","2.51","8.65M","-12.37%"
"Aug 26, 2019","2.91","2.93","3.14","2.85","6.39M","0.34%"
"Aug 23, 2019","2.90","2.77","3.02","2.71","7.21M","3.20%"
"Aug 22, 2019","2.81","2.96","3.00","2.80","5.39M","-5.39%"
"Aug 21, 2019","2.97","3.13","3.19","2.81","8.67M","-1.66%"
"Aug 20, 2019","3.02","2.75","3.40","2.72","19.18M","18.43%"
"Aug 19, 2019","2.55","2.35","2.56","2.25","4.95M","12.83%"
"Aug 16, 2019","2.26","2.29","2.36","2.24","3.35M","1.35%"
"Aug 15, 2019","2.23","2.24","2.48","2.14","6.66M","-0.89%"
"Aug 14, 2019","2.25","2.45","2.49","2.24","5.91M","-8.91%"
"Aug 13, 2019","2.47","2.43","2.73","2.39","7.06M","0.82%"
"Aug 12, 2019","2.45","2.42","2.49","2.38","4.75M","0.41%"
"Aug 09, 2019","2.44","2.57","2.61","2.37","6.68M","-5.79%"
"Aug 08, 2019","2.59","2.36","2.63","2.31","11.37M","9.75%"
"Aug 07, 2019","2.36","2.28","2.42","2.14","7.55M","4.89%"
"Aug 06, 2019","2.25","3.11","3.11","2.21","12.70M","-21.05%"
"Aug 05, 2019","2.85","2.91","2.97","2.79","7.25M","-4.36%"
"Aug 02, 2019","2.98","3.05","3.12","2.93","3.82M","-2.30%"
"Aug 01, 2019","3.05","3.14","3.24","3.00","4.74M","-3.79%"
"Jul 31, 2019","3.17","3.22","3.34","3.15","4.79M","-0.94%"
"Jul 30, 2019","3.20","3.00","3.24","2.97","4.89M","5.61%"
"Jul 29, 2019","3.03","3.12","3.24","3.01","6.62M","-0.33%"
"Jul 26, 2019","3.04","3.05","3.17","3.03","3.54M","-0.33%"
"Jul 25, 2019","3.05","3.30","3.32","3.04","6.46M","-7.58%"
"Jul 24, 2019","3.30","3.14","3.37","3.12","5.21M","5.10%"
"Jul 23, 2019","3.14","3.14","3.30","3.12","5.14M","0.00%"
"Jul 22, 2019","3.14","3.27","3.32","3.01","8.49M","-3.98%"
"Jul 19, 2019","3.27","3.33","3.40","3.21","4.82M","-2.10%"
"Jul 18, 2019","3.34","3.53","3.55","3.25","4.75M","-4.57%"
"Jul 17, 2019","3.50","3.72","3.76","3.48","7.50M","-5.15%"
"Jul 16, 2019","3.69","3.96","4.03","3.67","5.05M","-6.58%"
"Jul 15, 2019","3.95","3.89","4.09","3.73","5.69M","-3.66%"
"Jul 12, 2019","4.10","3.93","4.17","3.83","4.94M","3.54%"
"Jul 11, 2019","3.96","4.10","4.13","3.88","5.86M","-5.94%"
"Jul 10, 2019","4.21","4.25","4.33","4.13","3.87M","-2.09%"
"Jul 09, 2019","4.30","4.18","4.38","4.16","5.13M","1.65%"
"Jul 08, 2019","4.23","4.31","4.54","4.08","4.98M","-2.53%"
"Jul 05, 2019","4.34","4.56","4.61","4.26","4.00M","-5.86%"
"Jul 03, 2019","4.61","4.54","4.68","4.50","2.58M","1.32%"
"Jul 02, 2019","4.55","4.57","4.59","4.27","5.39M","-0.87%"
"Jul 01, 2019","4.59","4.17","4.67","4.15","9.30M","11.41%"
"Jun 28, 2019","4.12","4.09","4.18","4.05","4.27M","0.49%"
"Jun 27, 2019","4.10","3.88","4.19","3.88","4.38M","5.40%"
"Jun 26, 2019","3.89","3.71","3.93","3.69","3.85M","5.14%"
"Jun 25, 2019","3.70","3.65","3.88","3.54","5.35M","3.06%"
"Jun 24, 2019","3.59","3.92","3.95","3.55","6.35M","-6.51%"
"Jun 21, 2019","3.84","3.94","3.99","3.73","7.51M","-2.29%"
"Jun 20, 2019","3.93","4.09","4.21","3.92","3.43M","-1.01%"
"Jun 19, 2019","3.97","4.01","4.08","3.88","5.30M","0.25%"
"Jun 18, 2019","3.96","3.93","4.22","3.83","8.70M","1.28%"
"Jun 17, 2019","3.91","3.86","4.06","3.84","7.57M","-3.46%"
"Jun 14, 2019","4.05","4.49","4.55","4.02","4.22M","-9.40%"
"Jun 13, 2019","4.47","4.50","4.65","4.33","5.35M","0.22%"
"Jun 12, 2019","4.46","4.48","4.52","4.17","5.55M","-0.67%"
"Jun 11, 2019","4.49","4.78","4.84","4.45","6.06M","-5.07%"
"Jun 10, 2019","4.73","4.91","5.07","4.71","4.06M","-3.27%"
"Jun 07, 2019","4.89","5.11","5.13","4.86","2.76M","-3.74%"
"Jun 06, 2019","5.08","5.10","5.17","4.97","3.86M","0.00%"
