"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","11.48","11.36","11.75","11.36","1.80K","2.96%"
"Nov 19, 2019","11.15","11.21","11.59","11.15","2.00K","-2.02%"
"Nov 18, 2019","11.38","11.86","11.97","10.99","22.30K","-3.48%"
"Nov 14, 2019","11.79","11.34","11.79","11.34","2.30K","2.25%"
"Nov 13, 2019","11.53","11.50","11.75","11.21","3.10K","0.26%"
"Nov 12, 2019","11.50","11.83","11.83","11.50","7.30K","-2.79%"
"Nov 11, 2019","11.83","11.59","11.84","11.57","9.70K","1.98%"
"Nov 08, 2019","11.60","11.45","11.86","11.00","4.30K","0.52%"
"Nov 07, 2019","11.54","11.51","11.64","11.36","7.20K","-1.11%"
"Nov 06, 2019","11.67","11.27","11.87","11.27","8.40K","3.73%"
"Nov 05, 2019","11.25","11.32","11.46","11.22","11.30K","-0.62%"
"Nov 04, 2019","11.32","11.57","11.75","11.09","6.60K","-1.14%"
"Nov 01, 2019","11.45","11.33","11.97","11.15","6.30K","1.06%"
"Oct 31, 2019","11.33","11.33","11.58","11.16","2.50K","-1.56%"
"Oct 30, 2019","11.51","11.17","12.08","11.17","24.10K","3.04%"
"Oct 29, 2019","11.17","10.67","11.39","10.67","3.80K","0.81%"
"Oct 28, 2019","11.08","10.76","11.08","10.76","4.60K","0.64%"
"Oct 25, 2019","11.01","10.86","11.14","10.25","5.30K","-0.72%"
"Oct 24, 2019","11.09","11.20","11.20","11.08","2.10K","-0.98%"
"Oct 23, 2019","11.20","11.22","11.22","11.00","5.10K","0.00%"
"Oct 22, 2019","11.20","11.25","11.45","11.20","3.90K","-0.44%"
"Oct 21, 2019","11.25","11.54","11.54","11.24","7.20K","-2.43%"
"Oct 18, 2019","11.53","11.30","11.53","11.24","3.60K","2.04%"
"Oct 17, 2019","11.30","11.26","11.60","11.26","5.50K","-2.16%"
"Oct 16, 2019","11.55","11.53","11.69","11.24","2.90K","2.67%"
"Oct 15, 2019","11.25","11.50","11.60","11.05","7.30K","-3.85%"
"Oct 14, 2019","11.70","11.57","11.89","11.51","8.40K","1.21%"
"Oct 11, 2019","11.56","11.55","11.60","11.48","4.90K","1.67%"
"Oct 10, 2019","11.37","11.30","11.40","11.07","2.00K","0.62%"
"Oct 09, 2019","11.30","11.44","11.44","11.21","4.00K","0.44%"
"Oct 08, 2019","11.25","11.30","11.32","11.25","2.60K","-0.88%"
"Oct 07, 2019","11.35","11.87","11.87","11.05","13.10K","-5.34%"
"Oct 04, 2019","11.99","11.63","12.34","11.60","23.40K","6.11%"
"Oct 03, 2019","11.30","10.46","11.30","10.46","10.70K","9.71%"
"Oct 02, 2019","10.30","10.95","10.95","10.30","14.30K","-3.38%"
"Oct 01, 2019","10.66","11.25","11.30","10.66","18.40K","-3.96%"
"Sep 30, 2019","11.10","11.30","11.30","11.10","6.80K","1.83%"
"Sep 27, 2019","10.90","11.30","11.30","10.90","14.80K","-3.54%"
"Sep 26, 2019","11.30","11.69","11.71","11.30","15.50K","-3.42%"
"Sep 25, 2019","11.70","11.50","11.75","11.33","8.70K","1.30%"
"Sep 24, 2019","11.55","12.00","12.08","11.55","27.40K","-3.99%"
"Sep 23, 2019","12.03","12.42","12.50","11.98","31.70K","-3.45%"
"Sep 20, 2019","12.46","13.00","13.00","12.42","31.20K","-3.93%"
"Sep 19, 2019","12.97","13.68","13.70","12.97","40.40K","-6.01%"
"Sep 18, 2019","13.80","13.52","13.80","13.52","1.90K","2.22%"
"Sep 17, 2019","13.50","13.41","13.67","13.40","2.80K","-1.03%"
"Sep 16, 2019","13.64","13.97","13.97","13.32","3.50K","-1.37%"
"Sep 13, 2019","13.83","13.81","13.88","13.60","3.40K","-0.58%"
"Sep 12, 2019","13.91","13.97","13.97","13.81","2.20K","-0.57%"
"Sep 11, 2019","13.99","13.99","14.01","13.91","4.30K","0.65%"
"Sep 10, 2019","13.90","13.75","13.90","13.75","1.80K","1.09%"
"Sep 09, 2019","13.75","13.74","13.95","13.74","2.50K","-1.15%"
"Sep 06, 2019","13.91","13.90","14.00","13.49","5.40K","0.94%"
"Sep 05, 2019","13.78","13.89","13.90","13.30","10.30K","-0.14%"
"Sep 04, 2019","13.80","13.66","13.86","13.59","1.70K","2.53%"
"Sep 03, 2019","13.46","13.64","13.80","13.46","4.60K","-1.39%"
"Sep 02, 2019","13.65","13.79","13.88","13.65","6.10K","-1.09%"
"Aug 30, 2019","13.80","13.37","13.85","13.37","4.60K","3.22%"
"Aug 29, 2019","13.37","13.89","13.89","13.20","5.60K","-3.12%"
"Aug 28, 2019","13.80","13.89","13.89","13.20","7.50K","0.00%"
"Aug 27, 2019","13.80","13.65","13.80","13.50","2.40K","1.10%"
"Aug 26, 2019","13.65","13.76","13.76","12.61","1.40K","3.17%"
"Aug 23, 2019","13.23","13.70","13.70","13.21","2.90K","-3.43%"
"Aug 22, 2019","13.70","13.79","13.80","13.50","2.30K","0.00%"
"Aug 21, 2019","13.70","13.20","13.71","13.18","1.60K","3.79%"
"Aug 20, 2019","13.20","13.35","13.80","13.20","0.70K","-1.12%"
"Aug 19, 2019","13.35","13.58","13.58","13.35","1.20K","-1.55%"
"Aug 16, 2019","13.56","13.60","13.60","13.55","1.60K","0.07%"
"Aug 15, 2019","13.55","13.55","13.80","13.55","6.10K","0.22%"
"Aug 14, 2019","13.52","13.29","13.55","12.61","4.30K","1.73%"
"Aug 13, 2019","13.29","13.15","13.29","13.11","2.90K","1.37%"
"Aug 12, 2019","13.11","13.33","13.33","13.10","7.20K","-1.06%"
