"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","9.45","9.44","9.50","9.43","806.61K","-0.21%"
"Oct 24, 2019","9.47","9.43","9.56","9.42","1.23M","0.32%"
"Oct 23, 2019","9.44","9.45","9.58","9.42","1.10M","-0.94%"
"Oct 22, 2019","9.53","9.46","9.61","9.38","1.50M","1.17%"
"Oct 21, 2019","9.42","9.61","9.61","9.33","1.76M","-3.09%"
"Oct 18, 2019","9.72","9.54","9.75","9.52","1.44M","2.21%"
"Oct 17, 2019","9.51","9.50","9.58","9.47","1.38M","0.00%"
"Oct 16, 2019","9.51","9.49","9.53","9.39","1.06M","0.11%"
"Oct 15, 2019","9.50","9.69","9.69","9.50","1.20M","-1.96%"
"Oct 14, 2019","9.69","9.70","9.73","9.64","555.92K","-0.21%"
"Oct 11, 2019","9.71","9.54","9.76","9.54","1.56M","2.32%"
"Oct 10, 2019","9.49","9.41","9.53","9.37","1.48M","1.06%"
"Oct 09, 2019","9.39","9.37","9.42","9.33","831.62K","0.54%"
"Oct 08, 2019","9.34","9.44","9.45","9.33","830.10K","-1.06%"
"Oct 07, 2019","9.44","9.50","9.57","9.44","863.89K","-1.05%"
"Oct 04, 2019","9.54","9.44","9.54","9.41","1.30M","1.38%"
"Oct 03, 2019","9.41","9.32","9.42","9.28","859.25K","1.62%"
"Oct 02, 2019","9.26","9.16","9.31","9.16","2.58M","0.65%"
"Oct 01, 2019","9.20","9.11","9.23","9.10","1.46M","0.99%"
"Sep 30, 2019","9.11","9.05","9.13","9.01","2.89M","1.45%"
"Sep 27, 2019","8.98","8.93","9.03","8.93","3.17M","0.56%"
"Sep 26, 2019","8.93","8.89","9.00","8.85","733.79K","0.34%"
"Sep 25, 2019","8.90","8.88","8.91","8.82","866.00K","-0.34%"
"Sep 24, 2019","8.93","8.98","9.00","8.92","785.41K","-0.11%"
"Sep 23, 2019","8.94","9.06","9.06","8.93","1.10M","-1.32%"
"Sep 20, 2019","9.06","9.08","9.26","9.06","1.26M","-0.11%"
"Sep 19, 2019","9.07","9.09","9.13","9.05","810.78K","-0.11%"
"Sep 18, 2019","9.08","9.15","9.16","9.03","439.22K","0.00%"
"Sep 17, 2019","9.08","8.95","9.12","8.95","1.13M","1.11%"
"Sep 16, 2019","8.98","8.96","9.07","8.83","1.81M","0.22%"
"Sep 13, 2019","8.96","8.71","8.96","8.62","6.75M","3.34%"
"Sep 12, 2019","8.67","8.58","8.75","8.55","3.43M","1.05%"
"Sep 11, 2019","8.58","8.60","8.60","8.45","882.77K","0.35%"
"Sep 10, 2019","8.55","8.45","8.56","8.41","1.15M","1.18%"
"Sep 09, 2019","8.45","8.42","8.46","8.37","462.04K","0.36%"
"Sep 06, 2019","8.42","8.41","8.48","8.34","975.41K","0.96%"
"Sep 05, 2019","8.34","8.25","8.34","8.20","1.01M","2.46%"
"Sep 04, 2019","8.14","8.19","8.20","8.11","936.10K","0.62%"
"Sep 03, 2019","8.09","8.13","8.15","8.03","994.82K","-1.10%"
"Aug 30, 2019","8.18","8.15","8.20","8.10","1.20M","1.49%"
"Aug 29, 2019","8.06","7.99","8.10","7.99","573.77K","1.26%"
"Aug 28, 2019","7.96","7.98","7.98","7.92","577.47K","-0.38%"
