"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","24.84","24.68","24.86","24.43","163.47K","0.16%"
"Oct 29, 2019","24.80","24.47","24.82","24.40","200.59K","1.10%"
"Oct 28, 2019","24.53","24.32","24.73","24.32","162.26K","1.28%"
"Oct 25, 2019","24.22","23.75","24.34","23.70","252.13K","1.89%"
"Oct 24, 2019","23.77","24.02","24.04","23.61","244.05K","-0.29%"
"Oct 23, 2019","23.84","23.33","23.88","23.27","260.57K","1.97%"
"Oct 22, 2019","23.38","22.96","23.70","22.68","249.91K","1.65%"
"Oct 21, 2019","23.00","22.80","23.13","22.72","273.57K","1.95%"
"Oct 18, 2019","22.56","22.51","22.77","22.30","336.52K","-0.18%"
"Oct 17, 2019","22.60","22.38","22.67","22.30","403.28K","1.44%"
"Oct 16, 2019","22.28","21.81","22.89","21.81","403.92K","1.50%"
"Oct 15, 2019","21.95","21.40","22.06","21.34","438.63K","2.81%"
"Oct 14, 2019","21.35","21.36","21.56","21.27","276.92K","-0.37%"
"Oct 11, 2019","21.43","21.24","21.80","21.24","444.41K","2.73%"
"Oct 10, 2019","20.86","20.82","21.15","20.67","421.30K","0.14%"
"Oct 09, 2019","20.83","21.02","21.05","20.63","518.79K","0.19%"
"Oct 08, 2019","20.79","20.93","21.26","20.31","460.18K","-2.07%"
"Oct 07, 2019","21.23","21.59","22.00","21.20","317.60K","-2.93%"
"Oct 04, 2019","21.87","21.32","21.93","21.32","541.50K","2.72%"
"Oct 03, 2019","21.29","20.52","21.41","20.36","800.37K","3.00%"
"Oct 02, 2019","20.67","20.89","21.05","20.42","894.73K","-2.73%"
"Oct 01, 2019","21.25","22.08","22.39","21.16","770.52K","-3.14%"
"Sep 30, 2019","21.94","22.01","22.11","21.86","679.07K","-0.50%"
"Sep 27, 2019","22.05","21.94","22.56","21.64","1.07M","1.01%"
"Sep 26, 2019","21.83","21.14","22.16","20.47","1.74M","-11.90%"
"Sep 25, 2019","24.78","24.26","25.00","24.26","512.76K","2.23%"
"Sep 24, 2019","24.24","24.35","24.52","24.16","531.77K","-0.45%"
"Sep 23, 2019","24.35","23.90","24.53","23.90","368.41K","1.16%"
"Sep 20, 2019","24.07","24.26","24.50","24.00","1.84M","-0.58%"
"Sep 19, 2019","24.21","24.71","24.86","24.13","453.74K","-1.59%"
"Sep 18, 2019","24.60","25.38","25.48","24.20","544.57K","-3.23%"
"Sep 17, 2019","25.42","25.19","25.71","24.99","540.20K","-2.94%"
"Sep 16, 2019","26.19","26.11","26.23","25.75","454.02K","-0.08%"
"Sep 13, 2019","26.21","26.20","26.56","25.94","589.27K","0.81%"
"Sep 12, 2019","26.00","26.05","26.17","25.52","673.56K","-0.34%"
"Sep 11, 2019","26.09","24.65","26.12","24.38","421.94K","1.91%"
"Sep 10, 2019","25.60","24.53","25.84","24.37","444.16K","4.49%"
"Sep 09, 2019","24.50","23.80","24.50","23.63","349.01K","3.68%"
"Sep 06, 2019","23.63","23.40","23.73","23.19","255.56K","1.07%"
"Sep 05, 2019","23.38","22.45","23.57","22.27","343.19K","5.36%"
"Sep 04, 2019","22.19","22.21","22.30","22.00","259.62K","1.51%"
