"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","18.36","17.60","18.46","17.60","-","4.32%"
"May 15, 2020","17.60","17.20","17.65","17.15","5.69M","-0.23%"
"May 14, 2020","17.64","16.51","17.64","16.14","10.75M","5.00%"
"May 13, 2020","16.80","17.44","17.44","16.80","9.14M","-2.89%"
"May 12, 2020","17.30","17.96","18.18","17.30","7.45M","-3.30%"
"May 11, 2020","17.89","17.26","18.10","17.14","10.06M","1.65%"
"May 08, 2020","17.60","17.30","17.60","16.70","13.32M","5.39%"
"May 07, 2020","16.70","17.62","17.66","16.70","12.01M","-5.22%"
"May 06, 2020","17.62","18.21","18.26","17.30","12.56M","-3.03%"
"May 05, 2020","18.17","18.10","18.46","17.95","9.62M","0.94%"
"May 04, 2020","18.00","17.61","18.27","17.37","6.35M","-1.80%"
"Apr 30, 2020","18.33","18.78","19.02","18.01","13.79M","-2.81%"
"Apr 29, 2020","18.86","19.40","19.40","18.85","7.05M","-1.20%"
"Apr 28, 2020","19.09","19.50","19.56","18.77","6.97M","2.14%"
"Apr 27, 2020","18.69","18.50","19.18","18.32","6.99M","4.18%"
"Apr 24, 2020","17.94","18.35","18.58","16.85","15.88M","-4.12%"
"Apr 23, 2020","18.71","19.67","19.95","18.46","10.77M","-3.95%"
"Apr 22, 2020","19.48","19.30","19.71","19.01","9.41M","0.98%"
"Apr 20, 2020","19.29","18.51","19.58","18.48","8.73M","1.53%"
"Apr 17, 2020","19.00","18.60","19.05","18.19","9.66M","3.26%"
"Apr 16, 2020","18.40","18.55","18.82","17.95","7.55M","0.27%"
"Apr 15, 2020","18.35","18.04","18.73","17.72","12.05M","-0.49%"
"Apr 14, 2020","18.44","18.81","18.89","18.26","9.99M","-0.27%"
"Apr 13, 2020","18.49","18.23","18.49","17.50","9.41M","0.87%"
"Apr 09, 2020","18.33","17.61","18.72","17.61","18.29M","4.62%"
"Apr 08, 2020","17.52","16.49","17.78","15.93","28.30M","6.31%"
"Apr 07, 2020","16.48","17.99","18.10","16.46","22.17M","-1.96%"
"Apr 06, 2020","16.81","16.51","17.48","16.16","12.55M","5.86%"
"Apr 03, 2020","15.88","16.14","16.29","15.62","15.38M","-2.22%"
"Apr 02, 2020","16.24","16.37","16.45","15.77","17.77M","-1.04%"
"Apr 01, 2020","16.41","16.82","16.88","15.78","11.32M","-6.76%"
"Mar 31, 2020","17.60","17.50","18.35","17.12","11.46M","0.06%"
