"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","8.92","9.00","9.04","8.90","5.85M","-0.89%"
"Oct 25, 2019","9.00","8.98","9.04","8.95","5.88M","-0.55%"
"Oct 24, 2019","9.05","9.03","9.07","8.92","7.27M","-1.31%"
"Oct 23, 2019","9.17","9.10","9.20","9.08","6.44M","1.10%"
"Oct 22, 2019","9.07","9.07","9.14","9.04","7.22M","-0.44%"
"Oct 21, 2019","9.11","9.17","9.18","9.07","7.12M","-0.76%"
"Oct 18, 2019","9.18","9.10","9.23","9.09","9.63M","1.32%"
"Oct 17, 2019","9.06","9.14","9.24","8.80","20.40M","5.23%"
"Oct 16, 2019","8.61","8.58","8.67","8.52","6.15M","1.77%"
"Oct 15, 2019","8.46","8.46","8.52","8.41","6.44M","1.44%"
"Oct 14, 2019","8.34","8.40","8.42","8.30","3.56M","-1.18%"
"Oct 11, 2019","8.44","8.43","8.49","8.41","7.43M","2.43%"
"Oct 10, 2019","8.24","8.31","8.35","8.20","5.63M","-0.12%"
"Oct 09, 2019","8.25","8.25","8.30","8.18","8.17M","2.23%"
"Oct 08, 2019","8.07","8.18","8.20","8.05","6.41M","0.25%"
"Oct 07, 2019","8.05","7.97","8.11","7.94","7.96M","2.68%"
"Oct 04, 2019","7.84","7.81","7.86","7.75","4.16M","0.51%"
"Oct 03, 2019","7.80","7.72","7.83","7.64","5.22M","0.13%"
"Oct 02, 2019","7.79","7.82","7.84","7.74","4.65M","-1.64%"
"Oct 01, 2019","7.92","8.03","8.06","7.88","9.50M","-0.75%"
"Sep 30, 2019","7.98","7.95","8.06","7.93","4.38M","0.13%"
"Sep 27, 2019","7.97","7.96","8.06","7.94","5.20M","-0.50%"
"Sep 26, 2019","8.01","8.02","8.05","7.94","6.12M","-2.55%"
"Sep 25, 2019","8.22","8.13","8.22","8.06","3.46M","-0.36%"
"Sep 24, 2019","8.25","8.40","8.40","8.21","6.06M","-0.24%"
"Sep 23, 2019","8.27","8.19","8.29","8.14","3.81M","-0.24%"
"Sep 20, 2019","8.29","8.33","8.40","8.29","5.96M","1.22%"
"Sep 19, 2019","8.19","8.30","8.30","8.18","5.73M","0.49%"
"Sep 18, 2019","8.15","8.11","8.23","8.09","5.09M","1.24%"
"Sep 17, 2019","8.05","8.01","8.08","7.98","6.21M","0.37%"
"Sep 16, 2019","8.02","7.99","8.05","7.94","5.03M","-0.12%"
"Sep 13, 2019","8.03","8.10","8.12","8.03","3.32M","-1.11%"
"Sep 12, 2019","8.12","8.03","8.17","8.02","5.83M","1.12%"
"Sep 11, 2019","8.03","8.02","8.05","7.96","5.10M","-0.12%"
"Sep 10, 2019","8.04","7.90","8.06","7.88","6.40M","1.26%"
"Sep 09, 2019","7.94","7.94","7.95","7.89","5.49M","-0.75%"
"Sep 06, 2019","8.00","8.07","8.10","7.99","5.68M","0.76%"
"Sep 05, 2019","7.94","7.95","7.99","7.92","4.74M","1.93%"
"Sep 04, 2019","7.79","7.74","7.79","7.70","5.70M","1.17%"
"Sep 03, 2019","7.70","7.77","7.78","7.65","8.25M","-1.79%"
"Aug 30, 2019","7.84","7.82","7.85","7.78","8.49M","0.13%"
"Aug 29, 2019","7.83","7.77","7.91","7.76","9.43M","0.64%"
"Aug 28, 2019","7.78","7.63","7.80","7.58","15.66M","-1.52%"
"Aug 27, 2019","7.90","8.00","8.04","7.87","8.57M","-2.23%"
"Aug 26, 2019","8.08","8.06","8.10","8.02","4.28M","0.12%"
"Aug 23, 2019","8.07","8.13","8.24","8.06","5.33M","-0.49%"
"Aug 22, 2019","8.11","8.12","8.23","8.08","10.49M","-2.41%"
"Aug 21, 2019","8.31","8.41","8.42","8.30","6.90M","-0.48%"
"Aug 20, 2019","8.35","8.36","8.38","8.33","2.85M","-0.36%"
"Aug 19, 2019","8.38","8.35","8.41","8.35","3.37M","0.72%"
"Aug 16, 2019","8.32","8.26","8.34","8.21","5.42M","1.71%"
"Aug 15, 2019","8.18","8.16","8.25","8.10","7.96M","-1.56%"
"Aug 14, 2019","8.31","8.39","8.45","8.29","5.64M","-4.70%"
"Aug 13, 2019","8.72","8.58","8.80","8.57","4.91M","1.28%"
"Aug 12, 2019","8.61","8.65","8.70","8.59","3.97M","-0.46%"
"Aug 09, 2019","8.65","8.65","8.72","8.62","3.38M","-0.80%"
"Aug 08, 2019","8.72","8.67","8.77","8.65","4.37M","2.11%"
"Aug 07, 2019","8.54","8.41","8.55","8.38","5.34M","0.83%"
"Aug 06, 2019","8.47","8.47","8.49","8.38","4.38M","0.47%"
"Aug 05, 2019","8.43","8.49","8.52","8.39","5.47M","-2.43%"
"Aug 02, 2019","8.64","8.76","8.77","8.58","5.27M","-2.04%"
"Aug 01, 2019","8.82","8.95","9.00","8.77","6.19M","1.26%"
"Jul 31, 2019","8.71","8.84","8.88","8.65","4.31M","-1.58%"
"Jul 30, 2019","8.85","8.81","8.87","8.78","5.43M","-1.56%"
"Jul 29, 2019","8.99","9.01","9.02","8.95","5.31M","-0.11%"
"Jul 26, 2019","9.00","8.94","9.01","8.91","3.96M","1.24%"
"Jul 25, 2019","8.89","8.83","8.92","8.77","5.64M","2.54%"
"Jul 24, 2019","8.67","8.77","8.77","8.66","9.06M","-1.81%"
"Jul 23, 2019","8.83","8.81","8.86","8.77","6.70M","0.46%"
"Jul 22, 2019","8.79","8.83","8.85","8.74","10.95M","-0.68%"
"Jul 19, 2019","8.85","8.85","8.93","8.82","8.33M","0.11%"
"Jul 18, 2019","8.84","8.60","8.84","8.57","25.05M","3.51%"
"Jul 17, 2019","8.54","8.87","8.87","8.46","29.38M","-10.95%"
"Jul 16, 2019","9.59","9.60","9.69","9.57","7.70M","-0.31%"
"Jul 15, 2019","9.62","9.69","9.71","9.58","4.34M","0.00%"
"Jul 12, 2019","9.62","9.61","9.63","9.57","3.30M","1.58%"
"Jul 11, 2019","9.47","9.52","9.55","9.45","2.85M","-0.42%"
"Jul 10, 2019","9.51","9.52","9.56","9.46","2.90M","0.74%"
"Jul 09, 2019","9.44","9.38","9.44","9.38","2.77M","0.32%"
"Jul 08, 2019","9.41","9.45","9.46","9.39","3.49M","0.11%"
"Jul 05, 2019","9.40","9.39","9.42","9.30","4.79M","-2.89%"
"Jul 03, 2019","9.68","9.67","9.70","9.64","3.16M","1.68%"
"Jul 02, 2019","9.52","9.55","9.57","9.48","3.16M","-0.10%"
"Jul 01, 2019","9.53","9.40","9.55","9.38","5.02M","0.32%"
"Jun 28, 2019","9.50","9.57","9.60","9.47","3.38M","-0.94%"
"Jun 27, 2019","9.59","9.61","9.64","9.59","2.53M","0.10%"
"Jun 26, 2019","9.58","9.70","9.75","9.58","5.87M","-1.44%"
"Jun 25, 2019","9.72","9.89","9.89","9.70","6.29M","-1.62%"
"Jun 24, 2019","9.88","9.95","9.96","9.85","2.28M","-0.90%"
"Jun 21, 2019","9.97","10.02","10.03","9.93","4.06M","-0.70%"
"Jun 20, 2019","10.04","9.98","10.06","9.91","7.19M","2.45%"
"Jun 19, 2019","9.80","9.74","9.81","9.68","4.90M","1.66%"
"Jun 18, 2019","9.64","9.64","9.69","9.60","6.58M","0.94%"
"Jun 17, 2019","9.55","9.55","9.64","9.53","4.51M","0.95%"
"Jun 14, 2019","9.46","9.47","9.48","9.39","4.57M","-1.46%"
"Jun 13, 2019","9.60","9.72","9.72","9.59","4.40M","-1.44%"
"Jun 12, 2019","9.74","9.70","9.78","9.69","5.53M","0.31%"
"Jun 11, 2019","9.71","9.81","9.81","9.70","6.49M","0.31%"
"Jun 10, 2019","9.68","9.89","9.91","9.65","6.86M","-3.01%"
"Jun 07, 2019","9.98","9.92","10.03","9.91","4.35M","1.94%"
"Jun 06, 2019","9.79","9.78","9.84","9.75","2.78M","0.41%"
"Jun 05, 2019","9.75","9.78","9.79","9.69","2.69M","0.52%"
"Jun 04, 2019","9.70","9.70","9.74","9.65","7.91M","1.68%"
"Jun 03, 2019","9.54","9.59","9.65","9.50","5.33M","-1.34%"
"May 31, 2019","9.67","9.60","9.68","9.57","5.26M","-0.10%"
"May 30, 2019","9.68","9.80","9.81","9.64","9.51M","-0.51%"
"May 29, 2019","9.73","9.61","9.74","9.54","16.15M","-1.22%"
"May 28, 2019","9.85","9.94","9.96","9.85","8.61M","-1.79%"
"May 24, 2019","10.03","10.03","10.07","9.93","7.27M","3.19%"
"May 23, 2019","9.72","9.74","9.77","9.66","9.47M","-3.28%"
"May 22, 2019","10.05","9.90","10.10","9.89","24.37M","3.61%"
"May 21, 2019","9.70","9.73","9.74","9.63","8.27M","1.36%"
"May 20, 2019","9.57","9.49","9.64","9.43","12.53M","2.13%"
"May 17, 2019","9.37","9.25","9.42","9.25","11.40M","0.43%"
"May 16, 2019","9.33","9.28","9.45","9.28","11.95M","1.41%"
"May 15, 2019","9.20","9.10","9.22","9.09","3.44M","0.88%"
"May 14, 2019","9.12","9.10","9.16","9.09","4.21M","0.77%"
"May 13, 2019","9.05","9.07","9.11","9.00","5.32M","-2.79%"
"May 10, 2019","9.31","9.18","9.32","9.12","6.01M","1.20%"
"May 09, 2019","9.20","9.18","9.24","9.08","5.48M","-1.08%"
"May 08, 2019","9.30","9.30","9.36","9.27","3.37M","0.32%"
"May 07, 2019","9.27","9.38","9.42","9.22","5.90M","-3.44%"
"May 06, 2019","9.60","9.41","9.62","9.38","4.54M","-0.41%"
"May 03, 2019","9.64","9.65","9.69","9.61","5.29M","0.00%"
"May 02, 2019","9.64","9.64","9.71","9.59","8.07M","-1.63%"
"May 01, 2019","9.80","9.97","9.99","9.78","6.11M","-1.01%"
"Apr 30, 2019","9.90","10.01","10.01","9.89","3.74M","-1.10%"
"Apr 29, 2019","10.01","9.97","10.03","9.93","2.40M","-0.30%"
"Apr 26, 2019","10.04","9.98","10.08","9.94","5.51M","1.31%"
"Apr 25, 2019","9.91","9.90","9.94","9.81","5.31M","-2.27%"
"Apr 24, 2019","10.14","10.12","10.16","10.09","5.26M","0.40%"
"Apr 23, 2019","10.10","10.02","10.13","10.00","5.11M","-0.30%"
"Apr 22, 2019","10.13","10.17","10.19","10.06","4.91M","0.20%"
"Apr 18, 2019","10.11","10.22","10.29","10.06","7.92M","-2.69%"
"Apr 17, 2019","10.39","10.02","10.46","9.97","27.22M","7.33%"
"Apr 16, 2019","9.68","9.55","9.70","9.54","12.54M","0.21%"
"Apr 15, 2019","9.66","9.75","9.77","9.64","7.65M","-2.03%"
"Apr 12, 2019","9.86","9.85","9.87","9.80","4.12M","1.13%"
"Apr 11, 2019","9.75","9.83","9.85","9.74","9.35M","0.31%"
"Apr 10, 2019","9.72","9.66","9.74","9.65","3.38M","1.04%"
"Apr 09, 2019","9.62","9.71","9.74","9.62","3.70M","-0.62%"
"Apr 08, 2019","9.68","9.66","9.72","9.61","4.03M","1.68%"
"Apr 05, 2019","9.52","9.55","9.57","9.50","2.28M","0.21%"
"Apr 04, 2019","9.50","9.60","9.61","9.45","4.27M","-0.94%"
"Apr 03, 2019","9.59","9.62","9.66","9.55","6.44M","1.27%"
"Apr 02, 2019","9.47","9.49","9.50","9.40","6.17M","1.18%"
"Apr 01, 2019","9.36","9.27","9.37","9.25","3.89M","1.96%"
"Mar 29, 2019","9.18","9.17","9.20","9.12","3.05M","0.33%"
"Mar 28, 2019","9.15","9.14","9.20","9.08","5.11M","-0.65%"
"Mar 27, 2019","9.21","9.34","9.37","9.12","5.45M","-0.97%"
"Mar 26, 2019","9.30","9.33","9.34","9.26","4.61M","-0.43%"
"Mar 25, 2019","9.34","9.41","9.43","9.29","5.19M","0.54%"
"Mar 22, 2019","9.29","9.52","9.55","9.28","11.70M","-5.30%"
"Mar 21, 2019","9.81","9.81","9.89","9.75","5.55M","-0.10%"
"Mar 20, 2019","9.82","9.82","9.88","9.72","6.61M","1.76%"
"Mar 19, 2019","9.65","9.75","9.75","9.64","7.27M","0.94%"
"Mar 18, 2019","9.56","9.57","9.61","9.51","2.92M","-0.73%"
