"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","1.890","1.900","1.965","1.840","2.85M","-1.05%"
"Oct 24, 2019","1.910","1.850","1.930","1.730","4.07M","6.11%"
"Oct 23, 2019","1.800","1.720","1.850","1.711","4.48M","7.14%"
"Oct 22, 2019","1.680","1.780","1.910","1.620","5.84M","-2.89%"
"Oct 21, 2019","1.730","1.800","2.180","1.680","15.76M","-1.70%"
"Oct 18, 2019","1.760","1.660","1.770","1.590","5.57M","6.02%"
"Oct 17, 2019","1.660","1.500","1.680","1.450","4.60M","12.16%"
"Oct 16, 2019","1.480","1.490","1.500","1.380","3.41M","0.68%"
"Oct 15, 2019","1.470","1.280","1.500","1.250","6.19M","13.08%"
"Oct 14, 2019","1.300","1.360","1.380","1.270","3.24M","-4.41%"
"Oct 11, 2019","1.360","1.380","1.430","1.350","4.07M","0.00%"
"Oct 10, 2019","1.360","1.370","1.410","1.280","5.66M","-2.86%"
"Oct 09, 2019","1.400","1.510","1.550","1.380","4.86M","-4.11%"
"Oct 08, 2019","1.460","1.580","1.790","1.450","6.60M","-15.61%"
"Oct 07, 2019","1.730","1.700","1.950","1.630","7.94M","4.22%"
"Oct 04, 2019","1.660","1.710","1.770","1.600","3.00M","-2.35%"
"Oct 03, 2019","1.700","1.680","1.770","1.590","2.86M","2.41%"
"Oct 02, 2019","1.660","1.780","1.790","1.640","2.86M","-5.68%"
"Oct 01, 2019","1.760","1.900","1.960","1.750","4.10M","-7.85%"
"Sep 30, 2019","1.910","1.880","1.980","1.750","4.91M","6.70%"
"Sep 27, 2019","1.790","2.020","2.230","1.710","7.44M","-10.05%"
"Sep 26, 2019","1.990","2.640","2.640","1.910","12.72M","-29.93%"
"Sep 25, 2019","2.840","2.780","2.940","2.600","3.65M","1.07%"
"Sep 24, 2019","2.810","3.100","3.100","2.670","6.75M","-8.17%"
"Sep 23, 2019","3.060","3.100","3.400","3.010","6.94M","2.34%"
"Sep 20, 2019","2.990","3.420","3.710","2.920","20.65M","-14.81%"
"Sep 19, 2019","3.510","3.000","3.920","2.850","36.24M","38.19%"
"Sep 18, 2019","2.540","2.620","2.781","2.490","3.91M","-1.93%"
"Sep 17, 2019","2.590","2.390","2.630","2.280","2.21M","8.37%"
"Sep 16, 2019","2.390","2.430","2.600","2.380","2.93M","-2.45%"
"Sep 13, 2019","2.450","2.340","2.560","2.290","3.17M","8.41%"
"Sep 12, 2019","2.260","2.230","2.290","2.110","1.73M","1.35%"
"Sep 11, 2019","2.230","2.330","2.700","2.170","6.11M","0.90%"
"Sep 10, 2019","2.210","1.860","2.230","1.850","3.85M","17.55%"
"Sep 09, 2019","1.880","1.890","1.970","1.830","1.82M","1.08%"
"Sep 06, 2019","1.860","1.740","1.900","1.740","1.67M","8.14%"
"Sep 05, 2019","1.720","1.800","1.830","1.605","2.08M","-3.91%"
"Sep 04, 2019","1.790","1.890","1.905","1.730","1.79M","-1.10%"
"Sep 03, 2019","1.810","1.650","1.950","1.650","4.46M","7.10%"
"Aug 30, 2019","1.690","1.680","1.740","1.570","2.11M","1.81%"
"Aug 29, 2019","1.660","1.490","1.700","1.460","2.95M","12.16%"
"Aug 28, 2019","1.480","1.350","1.520","1.330","2.10M","9.63%"
"Aug 27, 2019","1.350","1.340","1.430","1.310","1.38M","0.00%"
"Aug 26, 2019","1.350","1.260","1.360","1.230","1.94M","8.87%"
"Aug 23, 2019","1.240","1.328","1.328","1.200","2.02M","-6.06%"
"Aug 22, 2019","1.320","1.350","1.360","1.280","1.19M","-2.22%"
"Aug 21, 2019","1.350","1.420","1.420","1.310","2.65M","0.00%"
"Aug 20, 2019","1.350","1.400","1.420","1.330","2.04M","-2.88%"
"Aug 19, 2019","1.390","1.310","1.460","1.300","4.75M","6.92%"
"Aug 16, 2019","1.300","1.270","1.370","1.140","3.30M","2.36%"
"Aug 15, 2019","1.270","1.380","1.410","1.210","3.31M","-2.31%"
"Aug 14, 2019","1.300","1.360","1.390","1.300","2.26M","-4.41%"
"Aug 13, 2019","1.360","1.320","1.360","1.250","2.49M","3.82%"
"Aug 12, 2019","1.310","1.260","1.340","1.250","1.25M","2.34%"
"Aug 09, 2019","1.280","1.370","1.383","1.210","2.33M","-5.88%"
"Aug 08, 2019","1.360","1.430","1.440","1.330","2.15M","-4.90%"
"Aug 07, 2019","1.430","1.330","1.450","1.300","1.76M","5.15%"
"Aug 06, 2019","1.360","1.480","1.485","1.340","3.21M","-8.72%"
"Aug 05, 2019","1.490","1.510","1.530","1.430","2.17M","-3.25%"
"Aug 02, 2019","1.540","1.550","1.570","1.470","1.88M","0.00%"
"Aug 01, 2019","1.540","1.620","1.690","1.500","3.16M","-7.23%"
"Jul 31, 2019","1.660","1.730","1.790","1.650","3.09M","-5.14%"
"Jul 30, 2019","1.750","1.720","1.760","1.650","2.29M","4.79%"
"Jul 29, 2019","1.670","1.680","1.690","1.600","1.37M","0.00%"
"Jul 26, 2019","1.670","1.710","1.710","1.610","2.32M","0.00%"
"Jul 25, 2019","1.670","1.610","1.710","1.590","2.55M","4.37%"
"Jul 24, 2019","1.600","1.570","1.650","1.530","2.73M","3.23%"
"Jul 23, 2019","1.550","1.500","1.580","1.425","1.56M","4.73%"
"Jul 22, 2019","1.480","1.560","1.590","1.420","2.30M","-6.33%"
"Jul 19, 2019","1.580","1.610","1.640","1.570","1.42M","-1.86%"
"Jul 18, 2019","1.610","1.520","1.630","1.370","2.73M","5.23%"
"Jul 17, 2019","1.530","1.620","1.620","1.520","1.73M","-6.13%"
"Jul 16, 2019","1.630","1.600","1.630","1.440","3.50M","1.24%"
"Jul 15, 2019","1.610","1.800","1.809","1.530","6.01M","-11.54%"
"Jul 12, 2019","1.820","1.660","1.890","1.640","6.92M","10.98%"
"Jul 11, 2019","1.640","1.720","1.720","1.610","2.78M","-3.53%"
"Jul 10, 2019","1.700","1.680","1.750","1.600","2.42M","2.41%"
"Jul 09, 2019","1.660","1.820","1.860","1.630","5.00M","-8.79%"
"Jul 08, 2019","1.820","1.800","1.930","1.750","4.83M","2.25%"
"Jul 05, 2019","1.780","1.650","1.830","1.640","4.47M","9.20%"
"Jul 03, 2019","1.630","1.770","1.780","1.600","4.92M","-7.91%"
"Jul 02, 2019","1.770","1.850","1.880","1.480","21.38M","18.00%"
"Jul 01, 2019","1.500","1.360","1.550","1.330","7.91M","11.11%"
"Jun 28, 2019","1.350","1.360","1.670","1.260","10.81M","-0.74%"
"Jun 27, 2019","1.360","1.670","1.670","1.330","5.55M","-19.53%"
"Jun 26, 2019","1.690","2.160","2.180","1.670","4.61M","-22.48%"
"Jun 25, 2019","2.180","2.360","2.390","2.170","1.76M","-8.40%"
"Jun 24, 2019","2.380","2.360","2.450","2.260","1.47M","0.00%"
"Jun 21, 2019","2.380","2.470","2.500","2.180","2.86M","-4.80%"
"Jun 20, 2019","2.500","2.690","2.750","2.460","1.90M","-7.06%"
"Jun 19, 2019","2.690","3.000","3.000","2.570","2.88M","-2.89%"
"Jun 18, 2019","2.770","2.690","2.970","2.690","1.50M","4.53%"
"Jun 17, 2019","2.650","2.750","2.750","2.630","1.37M","-3.64%"
"Jun 14, 2019","2.750","2.740","2.820","2.600","2.39M","0.36%"
"Jun 13, 2019","2.740","2.860","2.863","2.710","2.31M","-3.52%"
"Jun 12, 2019","2.840","2.800","2.950","2.690","2.90M","2.53%"
"Jun 11, 2019","2.770","3.150","3.150","2.605","4.90M","-12.06%"
"Jun 10, 2019","3.150","3.740","3.805","3.120","3.40M","-4.55%"
"Jun 07, 2019","3.300","4.040","4.390","3.240","4.62M","-11.05%"
"Jun 06, 2019","3.710","3.600","5.490","2.820","6.84M","-49.18%"
"Jun 05, 2019","7.300","7.620","7.630","7.230","419.18K","-4.07%"
"Jun 04, 2019","7.610","7.720","7.800","7.470","322.31K","-0.65%"
"Jun 03, 2019","7.660","7.730","7.770","7.480","263.25K","-0.91%"
"May 31, 2019","7.730","7.560","7.810","7.560","246.03K","0.39%"
"May 30, 2019","7.700","7.710","7.870","7.605","210.94K","-0.13%"
"May 29, 2019","7.710","7.620","7.770","7.590","214.47K","-0.13%"
"May 28, 2019","7.720","7.940","7.940","7.630","239.19K","-0.64%"
"May 24, 2019","7.770","7.500","7.835","7.500","241.94K","4.44%"
"May 23, 2019","7.440","7.800","7.800","7.342","328.09K","-6.06%"
