"Date","Price","Open","High","Low","Vol.","Change %"
"May 02, 2020","0.024016","0.024019","0.024161","0.023790","2.15K","-0.01%"
"May 01, 2020","0.024019","0.023881","0.024357","0.023857","7.61K","0.59%"
"Apr 30, 2020","0.023877","0.024560","0.024645","0.023621","11.49K","-2.78%"
"Apr 29, 2020","0.024560","0.025371","0.025980","0.024270","21.77K","-3.21%"
"Apr 28, 2020","0.025374","0.025238","0.025470","0.025107","7.11K","0.54%"
"Apr 27, 2020","0.025238","0.025662","0.025689","0.024896","4.67K","-1.65%"
"Apr 26, 2020","0.025662","0.025762","0.025944","0.025512","3.86K","-0.39%"
"Apr 25, 2020","0.025762","0.024993","0.025930","0.024923","8.35K","3.08%"
"Apr 24, 2020","0.024993","0.024809","0.025085","0.024714","11.92K","0.74%"
"Apr 23, 2020","0.024809","0.025649","0.026029","0.024588","30.44K","-3.27%"
"Apr 22, 2020","0.025649","0.024923","0.025750","0.024912","12.46K","2.91%"
"Apr 21, 2020","0.024923","0.024929","0.025313","0.024804","10.80K","-0.02%"
"Apr 20, 2020","0.024929","0.025294","0.025871","0.024677","10.41K","-1.44%"
"Apr 19, 2020","0.025294","0.025877","0.025976","0.024965","4.92K","-2.25%"
"Apr 18, 2020","0.025877","0.024282","0.026000","0.024271","7.39K","6.66%"
"Apr 17, 2020","0.024262","0.024243","0.024476","0.023901","2.85K","0.08%"
"Apr 16, 2020","0.024243","0.023049","0.024762","0.022894","25.82K","5.18%"
"Apr 15, 2020","0.023049","0.023064","0.023391","0.022864","9.64K","-0.07%"
"Apr 14, 2020","0.023064","0.022861","0.023283","0.022837","4.61K","0.89%"
"Apr 13, 2020","0.022861","0.022973","0.023121","0.022622","4.70K","-0.49%"
"Apr 12, 2020","0.022973","0.023043","0.023183","0.022812","3.30K","-0.30%"
"Apr 11, 2020","0.023043","0.023004","0.023245","0.022743","4.20K","0.22%"
"Apr 10, 2020","0.022992","0.023287","0.023380","0.022464","128.51K","-1.26%"
"Apr 09, 2020","0.023286","0.023503","0.023587","0.023180","9.66K","-0.92%"
"Apr 08, 2020","0.023503","0.022850","0.023588","0.022795","2.47K","2.86%"
"Apr 07, 2020","0.022850","0.023376","0.023689","0.022767","16.93K","-2.25%"
"Apr 06, 2020","0.023376","0.021059","0.023416","0.021021","20.31K","11.00%"
"Apr 05, 2020","0.021059","0.021021","0.021192","0.020958","1.27K","0.18%"
"Apr 04, 2020","0.021021","0.020974","0.021239","0.020810","9.85K","0.22%"
"Apr 03, 2020","0.020974","0.020813","0.021077","0.020778","10.05K","0.77%"
"Apr 02, 2020","0.020813","0.020430","0.021080","0.020414","11.11K","1.87%"
"Apr 01, 2020","0.020430","0.020714","0.021157","0.020410","8.23K","-1.37%"
"Mar 31, 2020","0.020713","0.020671","0.020847","0.020403","4.57K","0.20%"
"Mar 30, 2020","0.020671","0.021163","0.021299","0.020464","17.04K","-2.32%"
"Mar 29, 2020","0.021163","0.020995","0.021262","0.020865","6.75K","0.80%"
"Mar 28, 2020","0.020995","0.020637","0.021220","0.020485","12.89K","1.73%"
"Mar 27, 2020","0.020637","0.020554","0.020774","0.020387","107.78K","0.40%"
"Mar 26, 2020","0.020554","0.020351","0.020644","0.020190","7.64K","1.00%"
"Mar 25, 2020","0.020351","0.020537","0.021065","0.020303","16.52K","-0.91%"
"Mar 24, 2020","0.020537","0.021011","0.021142","0.020488","14.86K","-2.26%"
"Mar 23, 2020","0.021011","0.021008","0.021352","0.020471","26.64K","0.03%"
"Mar 22, 2020","0.021005","0.021467","0.021528","0.020805","27.02K","-2.15%"
"Mar 21, 2020","0.021467","0.021484","0.021571","0.021122","8.61K","-0.08%"
"Mar 20, 2020","0.021485","0.022129","0.022783","0.020352","57.55K","-2.91%"
"Mar 19, 2020","0.022129","0.021924","0.022380","0.021612","36.50K","0.94%"
"Mar 18, 2020","0.021924","0.021805","0.022028","0.021581","13.32K","0.55%"
"Mar 17, 2020","0.021805","0.022071","0.022544","0.021559","14.30K","-1.21%"
"Mar 16, 2020","0.022071","0.023102","0.023305","0.021776","38.31K","-4.46%"
"Mar 15, 2020","0.023102","0.023654","0.023810","0.022263","13.29K","-2.33%"
"Mar 14, 2020","0.023654","0.024017","0.024422","0.023479","21.63K","-1.47%"
"Mar 13, 2020","0.024008","0.022354","0.025609","0.022153","231.03K","7.50%"
"Mar 12, 2020","0.022334","0.024538","0.024550","0.021121","368.44K","-8.98%"
"Mar 11, 2020","0.024538","0.025438","0.025574","0.023897","19.49K","-3.54%"
"Mar 10, 2020","0.025438","0.025583","0.025703","0.025071","13.92K","-0.57%"
"Mar 09, 2020","0.025583","0.024786","0.026157","0.024696","35.63K","3.22%"
"Mar 08, 2020","0.024784","0.026726","0.026726","0.024473","27.08K","-7.27%"
"Mar 07, 2020","0.026726","0.026788","0.027484","0.026611","17.81K","-0.23%"
"Mar 06, 2020","0.026788","0.025224","0.026810","0.025224","9.85K","6.20%"
"Mar 05, 2020","0.025224","0.025616","0.025741","0.025040","4.94K","-1.53%"
"Mar 04, 2020","0.025616","0.025532","0.025942","0.025400","3.96K","0.33%"
"Mar 03, 2020","0.025532","0.026027","0.026125","0.025421","4.29K","-1.80%"
"Mar 02, 2020","0.025999","0.025525","0.026298","0.025421","4.60K","1.86%"
"Mar 01, 2020","0.025525","0.025456","0.026063","0.025149","3.88K","0.27%"
"Feb 29, 2020","0.025456","0.026121","0.026571","0.025456","5.46K","-2.55%"
"Feb 28, 2020","0.026121","0.025805","0.026335","0.025303","9.70K","1.21%"
"Feb 27, 2020","0.025808","0.025469","0.026610","0.024616","66.90K","1.33%"
"Feb 26, 2020","0.025469","0.026490","0.026678","0.024829","65.31K","-3.85%"
"Feb 25, 2020","0.026490","0.027524","0.027524","0.026437","8.59K","-3.76%"
"Feb 24, 2020","0.027524","0.027634","0.027794","0.027101","13.27K","-0.40%"
"Feb 23, 2020","0.027634","0.027141","0.027648","0.027012","4.22K","1.82%"
"Feb 22, 2020","0.027141","0.027378","0.027494","0.026809","4.61K","-0.87%"
"Feb 21, 2020","0.027378","0.026817","0.027540","0.026523","10.31K","2.09%"
"Feb 20, 2020","0.026817","0.026941","0.027415","0.025958","11.63K","-0.46%"
"Feb 19, 2020","0.026941","0.027798","0.027880","0.026744","66.46K","-3.08%"
"Feb 18, 2020","0.027798","0.027591","0.028480","0.026974","24.85K","0.75%"
"Feb 17, 2020","0.027591","0.026087","0.027626","0.024909","56.33K","5.24%"
"Feb 16, 2020","0.026216","0.026749","0.027284","0.024644","24.98K","-1.92%"
"Feb 15, 2020","0.026730","0.027618","0.027794","0.026612","34.84K","-3.22%"
"Feb 14, 2020","0.027618","0.026263","0.027674","0.025767","49.20K","5.16%"
"Feb 13, 2020","0.026263","0.025711","0.026731","0.025200","36.26K","2.26%"
"Feb 12, 2020","0.025683","0.023169","0.026449","0.023169","86.77K","10.85%"
"Feb 11, 2020","0.023169","0.022655","0.023284","0.022420","5.09K","2.27%"
"Feb 10, 2020","0.022655","0.022519","0.022798","0.022095","16.21K","0.60%"
"Feb 09, 2020","0.022519","0.022523","0.022843","0.022298","8.74K","-0.13%"
"Feb 08, 2020","0.022549","0.022757","0.023110","0.022079","12.16K","-0.91%"
"Feb 07, 2020","0.022757","0.021830","0.022795","0.021830","20.24K","4.25%"
"Feb 06, 2020","0.021830","0.021211","0.021950","0.021073","19.03K","2.92%"
"Feb 05, 2020","0.021211","0.020541","0.021406","0.020463","33.10K","3.24%"
"Feb 04, 2020","0.020546","0.020428","0.020554","0.020146","3.57K","0.58%"
"Feb 03, 2020","0.020428","0.020201","0.020510","0.020138","10.27K","1.12%"
"Feb 02, 2020","0.020201","0.019565","0.020421","0.019453","15.20K","3.25%"
"Feb 01, 2020","0.019565","0.019247","0.019571","0.019181","6.46K","1.65%"
"Jan 31, 2020","0.019247","0.019408","0.019536","0.019012","11.43K","-0.81%"
"Jan 30, 2020","0.019405","0.018667","0.019525","0.018528","12.49K","3.95%"
"Jan 29, 2020","0.018667","0.018723","0.019049","0.018647","19.45K","-0.49%"
"Jan 28, 2020","0.018758","0.019095","0.019153","0.018741","62.69K","-1.76%"
"Jan 27, 2020","0.019095","0.019495","0.019528","0.019051","5.42K","-2.05%"
"Jan 26, 2020","0.019495","0.019216","0.019536","0.019162","3.87K","1.45%"
"Jan 25, 2020","0.019216","0.019269","0.019364","0.018992","2.62K","-0.28%"
"Jan 24, 2020","0.019269","0.019375","0.019428","0.018840","10.87K","-0.55%"
"Jan 23, 2020","0.019375","0.019387","0.019549","0.019121","4.80K","-0.06%"
"Jan 22, 2020","0.019387","0.019389","0.019556","0.019224","2.43K","-0.03%"
"Jan 21, 2020","0.019393","0.019320","0.019536","0.019170","4.73K","0.38%"
