"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","85.62","84.59","85.90","84.33","2.08M","1.63%"
"Oct 24, 2019","84.25","84.99","85.17","83.87","1.55M","-0.48%"
"Oct 23, 2019","84.66","84.75","84.92","84.02","1.55M","-0.07%"
"Oct 22, 2019","84.72","83.71","85.16","83.18","1.67M","1.46%"
"Oct 21, 2019","83.50","83.00","84.04","82.97","1.88M","1.14%"
"Oct 18, 2019","82.56","81.47","82.91","81.39","1.98M","1.41%"
"Oct 17, 2019","81.41","81.80","82.52","81.04","4.79M","0.42%"
"Oct 16, 2019","81.07","80.81","82.87","80.81","2.59M","-1.28%"
"Oct 15, 2019","82.12","80.88","82.49","80.10","1.92M","1.56%"
"Oct 14, 2019","80.86","80.91","81.27","80.40","1.60M","-0.61%"
"Oct 11, 2019","81.36","80.22","82.81","80.10","2.72M","3.51%"
"Oct 10, 2019","78.60","77.65","79.20","77.50","1.89M","1.56%"
"Oct 09, 2019","77.39","76.69","77.67","76.11","2.23M","1.50%"
"Oct 08, 2019","76.25","77.38","77.39","76.20","1.77M","-2.62%"
"Oct 07, 2019","78.30","79.13","79.55","78.09","1.95M","-1.29%"
"Oct 04, 2019","79.32","78.54","79.42","78.43","1.54M","1.08%"
"Oct 03, 2019","78.47","77.57","78.65","76.43","1.57M","0.91%"
"Oct 02, 2019","77.76","79.68","79.68","76.86","2.87M","-3.76%"
"Oct 01, 2019","80.80","83.92","84.05","80.41","1.81M","-2.83%"
"Sep 30, 2019","83.15","83.35","83.56","82.77","1.75M","0.17%"
"Sep 27, 2019","83.01","82.89","83.29","81.78","1.50M","0.63%"
"Sep 26, 2019","82.49","82.63","82.83","82.00","1.91M","-0.22%"
"Sep 25, 2019","82.67","82.04","83.18","81.80","2.39M","0.43%"
"Sep 24, 2019","82.32","84.14","84.29","81.80","2.81M","-1.89%"
"Sep 23, 2019","83.91","82.97","84.43","82.71","2.37M","0.41%"
"Sep 20, 2019","83.57","84.80","85.31","83.49","3.06M","-1.11%"
"Sep 19, 2019","84.51","85.34","85.72","84.38","1.85M","-0.55%"
"Sep 18, 2019","84.98","85.43","85.86","84.05","2.54M","-1.30%"
"Sep 17, 2019","86.10","85.54","86.21","85.05","1.51M","-0.42%"
"Sep 16, 2019","86.46","86.97","86.99","85.86","1.56M","-1.15%"
"Sep 13, 2019","87.47","87.91","89.07","87.14","3.18M","0.19%"
"Sep 12, 2019","87.30","88.01","88.10","86.70","2.33M","-0.83%"
"Sep 11, 2019","88.03","86.89","88.07","85.82","2.00M","1.37%"
"Sep 10, 2019","86.84","85.00","86.86","85.00","3.29M","2.35%"
"Sep 09, 2019","84.85","83.82","84.93","83.49","2.06M","1.92%"
"Sep 06, 2019","83.25","81.98","83.49","81.71","1.98M","1.59%"
"Sep 05, 2019","81.95","80.43","82.42","80.28","2.24M","3.51%"
"Sep 04, 2019","79.17","79.30","79.76","78.92","1.66M","0.87%"
"Sep 03, 2019","78.49","79.52","79.60","77.62","3.53M","-2.76%"
"Aug 30, 2019","80.72","80.44","81.28","80.29","2.72M","1.36%"
"Aug 29, 2019","79.64","78.95","79.78","78.80","1.65M","2.27%"
"Aug 28, 2019","77.87","76.50","77.99","76.12","1.35M","1.31%"
"Aug 27, 2019","76.86","77.43","77.43","76.49","1.85M","0.04%"
"Aug 26, 2019","76.83","77.16","77.40","76.05","1.67M","0.31%"
"Aug 23, 2019","76.59","77.89","78.17","76.09","4.32M","-2.27%"
"Aug 22, 2019","78.37","78.98","79.08","77.73","1.63M","-0.36%"
"Aug 21, 2019","78.65","79.26","79.30","78.26","1.48M","0.63%"
"Aug 20, 2019","78.16","79.00","79.00","77.98","1.61M","-1.24%"
"Aug 19, 2019","79.14","78.91","79.36","78.44","2.16M","2.35%"
"Aug 16, 2019","77.32","76.37","77.68","76.30","1.66M","1.86%"
"Aug 15, 2019","75.91","75.28","76.07","74.86","2.48M","0.96%"
"Aug 14, 2019","75.19","77.60","77.94","74.95","5.16M","-5.31%"
"Aug 13, 2019","79.41","78.02","80.37","77.62","2.35M","1.87%"
"Aug 12, 2019","77.95","78.55","78.84","77.77","2.29M","-1.37%"
"Aug 09, 2019","79.03","79.30","79.71","78.26","2.39M","-0.92%"
"Aug 08, 2019","79.76","78.71","80.02","78.71","1.88M","2.14%"
"Aug 07, 2019","78.09","77.72","78.46","76.33","3.22M","-1.01%"
"Aug 06, 2019","78.89","78.28","79.08","77.10","2.40M","2.68%"
"Aug 05, 2019","76.83","77.91","78.03","76.45","3.10M","-3.11%"
"Aug 02, 2019","79.30","79.57","80.03","78.98","2.68M","-0.84%"
"Aug 01, 2019","79.97","81.23","82.84","79.68","3.12M","-2.70%"
