"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","5.83","5.98","6.00","5.80","61.90K","-0.17%"
"Nov 19, 2019","5.84","6.00","6.12","5.63","80.10K","-2.50%"
"Nov 18, 2019","5.99","6.12","6.17","5.82","92.30K","-3.07%"
"Nov 14, 2019","6.18","5.76","6.32","5.67","299.40K","7.29%"
"Nov 13, 2019","5.76","5.30","5.76","5.08","363.80K","12.06%"
"Nov 12, 2019","5.14","5.14","5.15","5.05","16.90K","-1.15%"
"Nov 11, 2019","5.20","5.14","5.20","4.94","18.90K","1.17%"
"Nov 08, 2019","5.14","5.13","5.15","5.00","46.10K","1.18%"
"Nov 07, 2019","5.08","5.15","5.16","4.93","66.80K","-1.36%"
"Nov 06, 2019","5.15","4.60","5.15","4.55","1.55M","9.57%"
"Nov 05, 2019","4.70","4.81","4.82","4.65","6.80K","-1.05%"
"Nov 04, 2019","4.75","4.64","4.82","4.60","68.10K","3.26%"
"Nov 01, 2019","4.60","4.52","4.64","4.50","22.70K","2.22%"
"Oct 31, 2019","4.50","4.60","4.63","4.50","9.40K","-3.23%"
"Oct 30, 2019","4.65","4.49","4.70","4.47","29.30K","4.49%"
"Oct 29, 2019","4.45","4.60","4.60","4.40","61.10K","-2.41%"
"Oct 28, 2019","4.56","4.50","4.57","4.48","16.40K","0.44%"
"Oct 25, 2019","4.54","4.50","4.60","4.45","30.80K","1.11%"
"Oct 24, 2019","4.49","4.46","4.51","4.46","9.50K","0.90%"
"Oct 23, 2019","4.45","4.46","4.54","4.45","11.40K","-0.67%"
"Oct 22, 2019","4.48","4.43","4.52","4.43","40.80K","1.36%"
"Oct 21, 2019","4.42","4.50","4.51","4.42","27.50K","-2.21%"
"Oct 18, 2019","4.52","4.50","4.55","4.46","23.00K","-1.09%"
"Oct 17, 2019","4.57","4.60","4.62","4.46","33.00K","0.66%"
"Oct 16, 2019","4.54","4.60","4.60","4.53","7.50K","-0.22%"
"Oct 15, 2019","4.55","4.64","4.64","4.55","16.00K","-0.87%"
"Oct 14, 2019","4.59","4.59","4.64","4.55","4.40K","0.00%"
"Oct 11, 2019","4.59","4.50","4.65","4.50","4.10K","2.00%"
"Oct 10, 2019","4.50","4.52","4.60","4.46","13.80K","-0.22%"
"Oct 09, 2019","4.51","4.54","4.65","4.51","22.00K","-0.66%"
"Oct 08, 2019","4.54","4.59","4.59","4.48","28.40K","-0.22%"
"Oct 07, 2019","4.55","4.68","4.68","4.54","9.10K","-1.09%"
"Oct 04, 2019","4.60","4.62","4.64","4.60","9.00K","0.66%"
"Oct 03, 2019","4.57","4.62","4.65","4.52","39.10K","-0.87%"
"Oct 02, 2019","4.61","4.70","4.71","4.60","35.10K","-1.91%"
"Oct 01, 2019","4.70","4.61","4.72","4.61","21.80K","2.17%"
"Sep 30, 2019","4.60","4.71","4.80","4.60","81.10K","-4.17%"
