"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","5.86","5.54","5.86","5.37","3.26M","11.41%"
"May 15, 2020","5.26","5.11","5.49","5.11","3.44M","0.96%"
"May 14, 2020","5.21","5.11","5.33","5.06","3.22M","-1.14%"
"May 13, 2020","5.27","5.70","5.71","5.20","3.76M","-7.38%"
"May 12, 2020","5.69","5.72","5.96","5.64","1.65M","-0.35%"
"May 11, 2020","5.71","5.83","5.87","5.65","1.37M","-3.55%"
"May 08, 2020","5.92","6.06","6.07","5.82","1.96M","-0.84%"
"May 07, 2020","5.97","6.58","6.60","5.97","2.23M","-7.87%"
"May 06, 2020","6.48","6.61","6.77","6.37","1.14M","-1.97%"
"May 05, 2020","6.61","6.45","6.80","6.43","2.19M","5.09%"
"May 04, 2020","6.29","6.40","6.56","6.20","1.42M","-4.66%"
"Apr 30, 2020","6.60","6.89","7.03","6.60","2.65M","-6.65%"
"Apr 29, 2020","7.07","7.27","7.41","6.99","2.16M","-0.55%"
"Apr 28, 2020","7.11","6.66","7.11","6.57","1.66M","11.18%"
"Apr 27, 2020","6.39","6.25","6.60","6.16","1.98M","4.98%"
"Apr 24, 2020","6.09","7.06","7.28","6.00","5.49M","-15.49%"
"Apr 23, 2020","7.20","7.19","7.49","6.77","3.69M","1.80%"
"Apr 22, 2020","7.08","6.81","7.19","6.71","2.60M","5.24%"
"Apr 20, 2020","6.72","6.26","6.80","6.19","2.36M","4.89%"
"Apr 17, 2020","6.41","6.36","6.49","6.20","1.35M","3.64%"
"Apr 16, 2020","6.19","6.28","6.55","6.13","2.16M","-0.47%"
"Apr 15, 2020","6.22","5.96","6.34","5.87","2.38M","0.79%"
"Apr 14, 2020","6.17","6.39","6.74","6.17","3.08M","-0.32%"
"Apr 13, 2020","6.19","6.17","6.36","5.92","1.83M","-0.47%"
"Apr 09, 2020","6.22","6.20","6.52","6.05","2.24M","2.42%"
"Apr 08, 2020","6.07","5.68","6.26","5.48","2.53M","8.77%"
"Apr 07, 2020","5.58","5.69","6.00","5.55","4.08M","4.40%"
"Apr 06, 2020","5.34","5.60","5.78","5.30","4.31M","0.18%"
"Apr 03, 2020","5.33","5.14","5.33","4.98","4.34M","2.64%"
"Apr 02, 2020","5.20","5.62","5.66","5.09","6.63M","-4.32%"
"Apr 01, 2020","5.43","5.76","5.76","5.21","5.09M","-9.17%"
"Mar 31, 2020","5.98","7.00","7.05","5.98","3.53M","-11.71%"
"Mar 30, 2020","6.77","6.99","7.34","6.58","1.96M","-4.05%"
"Mar 27, 2020","7.06","7.26","7.40","6.84","2.90M","-7.11%"
"Mar 26, 2020","7.60","7.51","8.10","7.21","4.68M","0.66%"
"Mar 25, 2020","7.55","7.15","7.63","6.81","4.09M","6.64%"
"Mar 24, 2020","7.08","6.74","7.35","6.22","4.08M","22.70%"
"Mar 23, 2020","5.77","6.75","6.93","5.60","3.92M","-16.74%"
"Mar 20, 2020","6.93","7.80","8.29","6.57","4.77M","-6.22%"
"Mar 19, 2020","7.39","6.37","7.50","5.70","4.39M","13.52%"
"Mar 18, 2020","6.51","8.50","8.50","6.39","4.49M","-27.67%"
"Mar 17, 2020","9.00","9.03","9.37","8.56","3.46M","1.81%"
"Mar 16, 2020","8.84","9.69","9.81","8.70","2.46M","-19.85%"
"Mar 13, 2020","11.03","10.16","11.55","9.67","4.82M","17.84%"
"Mar 12, 2020","9.36","9.61","9.64","8.52","4.14M","-15.60%"
"Mar 11, 2020","11.09","11.79","11.86","10.19","2.26M","-6.81%"
"Mar 10, 2020","11.90","11.60","12.23","11.18","3.83M","8.18%"
"Mar 09, 2020","11.00","11.54","11.91","10.54","4.22M","-13.11%"
"Mar 06, 2020","12.66","12.60","13.13","12.49","3.27M","-6.22%"
"Mar 05, 2020","13.50","14.36","14.43","12.97","3.35M","-6.44%"
"Mar 04, 2020","14.43","14.60","15.05","14.05","1.95M","0.77%"
"Mar 03, 2020","14.32","14.40","15.20","14.11","3.23M","0.21%"
"Mar 02, 2020","14.29","14.34","14.84","14.19","3.56M","-0.35%"
"Feb 28, 2020","14.34","14.19","14.41","13.45","2.44M","0.21%"
"Feb 27, 2020","14.31","14.24","15.05","13.66","3.04M","-2.39%"
