"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","27.99","26.66","27.99","26.24","1.99M","7.90%"
"May 15, 2020","25.94","26.00","26.84","24.51","3.04M","1.33%"
"May 14, 2020","25.60","24.80","25.60","24.02","3.90M","2.40%"
"May 13, 2020","25.00","25.02","25.35","24.39","3.29M","0.40%"
"May 12, 2020","24.90","25.50","26.02","24.51","1.88M","-0.99%"
"May 11, 2020","25.15","26.25","26.29","25.15","2.01M","-4.37%"
"May 08, 2020","26.30","26.15","26.49","25.28","4.20M","2.69%"
"May 07, 2020","25.61","28.61","28.90","25.61","4.08M","-8.54%"
"May 06, 2020","28.00","29.31","29.93","27.77","2.43M","-3.45%"
"May 05, 2020","29.00","30.00","30.49","28.83","1.01M","-0.92%"
"May 04, 2020","29.27","29.00","29.56","28.60","1.50M","-3.11%"
"Apr 30, 2020","30.21","31.70","32.14","29.87","2.96M","-7.36%"
"Apr 29, 2020","32.61","33.64","34.06","31.35","3.27M","-1.50%"
"Apr 28, 2020","33.11","31.03","33.11","30.65","2.08M","10.23%"
"Apr 27, 2020","30.03","29.46","30.58","28.25","3.23M","5.57%"
"Apr 24, 2020","28.45","32.13","32.13","27.93","3.06M","-12.50%"
"Apr 23, 2020","32.51","35.75","36.57","32.21","2.29M","-7.74%"
"Apr 22, 2020","35.24","32.94","35.29","32.94","3.21M","7.50%"
"Apr 20, 2020","32.78","29.06","33.50","28.81","3.35M","11.27%"
"Apr 17, 2020","29.46","30.04","30.68","28.81","2.43M","0.92%"
"Apr 16, 2020","29.19","29.50","30.36","28.78","2.38M","1.90%"
"Apr 15, 2020","28.65","28.55","29.74","27.75","3.30M","-0.55%"
"Apr 14, 2020","28.80","30.63","30.63","28.55","1.95M","-1.82%"
"Apr 13, 2020","29.34","29.84","30.58","28.86","2.27M","-1.99%"
"Apr 09, 2020","29.93","31.29","32.27","29.74","3.33M","-1.18%"
"Apr 08, 2020","30.29","29.14","31.39","28.16","3.15M","4.66%"
"Apr 07, 2020","28.94","29.83","31.38","28.16","3.42M","4.81%"
"Apr 06, 2020","27.61","26.76","29.10","26.76","4.14M","10.12%"
"Apr 03, 2020","25.08","24.53","25.46","22.40","4.41M","2.22%"
"Apr 02, 2020","24.53","26.29","26.96","24.44","5.98M","-4.40%"
"Apr 01, 2020","25.66","27.95","28.48","25.50","4.94M","-12.83%"
"Mar 31, 2020","29.44","32.70","33.75","29.44","3.74M","-9.26%"
"Mar 30, 2020","32.44","34.05","35.39","32.24","1.60M","-4.02%"
"Mar 27, 2020","33.80","36.00","37.40","33.80","2.63M","-10.44%"
"Mar 26, 2020","37.74","34.62","41.43","34.62","3.94M","7.49%"
"Mar 25, 2020","35.11","34.69","37.97","33.92","4.78M","1.18%"
"Mar 24, 2020","34.70","29.99","35.66","29.59","3.66M","25.36%"
"Mar 23, 2020","27.68","29.99","30.49","27.26","3.82M","-7.73%"
"Mar 20, 2020","30.00","31.47","35.24","28.75","4.63M","5.82%"
"Mar 19, 2020","28.35","24.12","28.90","23.11","3.29M","8.50%"
"Mar 18, 2020","26.13","28.66","28.82","24.32","3.81M","-13.53%"
"Mar 17, 2020","30.22","32.35","33.07","30.12","2.61M","-2.80%"
"Mar 16, 2020","31.09","32.69","34.88","29.45","2.63M","-17.31%"
"Mar 13, 2020","37.60","38.15","40.53","33.72","4.28M","15.94%"
"Mar 12, 2020","32.43","34.31","34.38","30.04","2.81M","-19.33%"
"Mar 11, 2020","40.20","43.33","43.33","36.30","4.19M","-9.70%"
"Mar 10, 2020","44.52","41.13","45.24","41.02","5.06M","14.74%"
"Mar 09, 2020","38.80","38.51","43.47","36.33","5.86M","-12.02%"
"Mar 06, 2020","44.10","43.50","45.24","42.01","4.67M","-2.54%"
"Mar 05, 2020","45.25","49.50","50.11","44.15","2.49M","-9.86%"
"Mar 04, 2020","50.20","49.48","50.61","48.30","1.37M","4.32%"
"Mar 03, 2020","48.12","48.15","51.96","48.12","3.19M","0.04%"
"Mar 02, 2020","48.10","46.90","49.17","46.89","2.38M","3.44%"
"Feb 28, 2020","46.50","46.01","46.53","44.10","3.27M","0.02%"
"Feb 27, 2020","46.49","48.00","48.52","45.42","3.22M","-4.16%"
"Feb 26, 2020","48.51","49.20","49.20","47.55","1.63M","-5.75%"
"Feb 21, 2020","51.47","51.47","52.59","50.52","1.43M","-0.41%"
"Feb 20, 2020","51.68","52.22","52.72","51.00","1.38M","-1.02%"
"Feb 19, 2020","52.21","51.10","53.43","51.08","1.93M","2.67%"
"Feb 18, 2020","50.85","50.81","51.89","50.22","1.34M","-1.11%"
"Feb 17, 2020","51.42","51.60","51.98","50.30","1.10M","0.04%"
"Feb 14, 2020","51.40","51.71","52.25","50.71","1.04M","-0.58%"
"Feb 13, 2020","51.70","51.45","52.37","51.01","1.32M","-1.24%"
"Feb 12, 2020","52.35","52.27","53.00","50.52","2.05M","1.55%"
"Feb 11, 2020","51.55","49.95","52.00","49.72","2.78M","4.33%"
"Feb 10, 2020","49.41","51.49","52.57","48.57","3.44M","-4.24%"
"Feb 07, 2020","51.60","51.32","52.32","50.01","5.52M","-0.58%"
"Feb 06, 2020","51.90","53.95","53.96","51.26","3.29M","-2.28%"
"Feb 05, 2020","53.11","55.00","56.19","53.07","2.74M","-2.46%"
"Feb 04, 2020","54.45","55.39","58.40","54.37","3.90M","-0.51%"
"Feb 03, 2020","54.73","55.03","56.90","54.73","2.73M","-1.56%"
"Jan 31, 2020","55.60","56.70","57.26","55.60","1.41M","-2.34%"
"Jan 30, 2020","56.93","57.76","57.76","54.91","2.64M","-2.01%"
"Jan 29, 2020","58.10","59.01","59.60","58.04","1.69M","-0.65%"
"Jan 28, 2020","58.48","58.00","59.48","57.72","1.86M","0.58%"
"Jan 27, 2020","58.14","57.95","58.93","57.27","1.25M","-2.78%"
"Jan 24, 2020","59.80","60.50","60.70","59.17","1.14M","-0.60%"
"Jan 23, 2020","60.16","58.67","60.16","57.78","2.63M","1.97%"
"Jan 22, 2020","59.00","60.80","60.94","58.16","3.28M","-1.17%"
"Jan 21, 2020","59.70","59.03","60.91","59.03","1.91M","0.40%"
"Jan 20, 2020","59.46","58.77","60.04","58.77","1.55M","1.19%"
"Jan 17, 2020","58.76","57.85","59.53","57.74","1.96M","1.49%"
"Jan 16, 2020","57.90","58.01","59.34","57.13","1.57M","0.03%"
"Jan 15, 2020","57.88","57.43","58.60","56.91","2.25M","0.78%"
"Jan 14, 2020","57.43","56.30","57.58","55.92","2.08M","2.28%"
"Jan 13, 2020","56.15","56.48","56.85","56.01","2.40M","0.27%"
"Jan 10, 2020","56.00","55.61","56.84","55.30","1.95M","0.72%"
"Jan 09, 2020","55.60","55.00","55.97","54.45","1.47M","1.46%"
"Jan 08, 2020","54.80","54.50","54.99","53.25","1.79M","1.03%"
"Jan 07, 2020","54.24","53.69","54.36","52.75","1.41M","1.38%"
"Jan 06, 2020","53.50","53.25","53.66","52.26","1.17M","0.47%"
"Jan 03, 2020","53.25","52.20","54.35","51.87","2.20M","0.79%"
